q	t	sign	prime	exponent
12823	12587	-	41	1
12893	8452	+	11	2
12893	8452	+	139	1
12907	4616	-	11	1
12907	8290	-	11	1
12907	8290	-	41	1
12973	358	+	11	1
12973	358	-	11	1
12973	12614	+	11	1
12973	12614	+	19	1
12979	1197	+	31	1
12979	1197	-	31	1
12979	11781	+	11	1
12979	11781	-	709	1
13001	5320	-	11	1
13009	889	+	11	1
13033	1946	-	73	1
13109	1731	+	11	1
13171	2705	-	11	1
13171	2705	-	17	1
13177	4252	+	11	1
13217	385	-	11	1
13217	385	-	17	1
13217	385	-	181	1
13217	3349	+	11	1
13217	3772	+	11	1
13219	2069	+	19	1
13259	6050	-	11	1
13259	7208	+	11	1
13259	7208	-	17	1
13259	7208	-	19	1
13297	1379	+	31	1
13297	1379	-	11	1
13327	11426	-	17	1
13381	3411	-	11	1
13397	3282	-	11	1
13397	10114	+	59	1
13417	5933	+	19	1
13417	5933	-	11	1
13417	5933	-	59	1
13451	1164	-	11	1
13451	12286	+	11	1
13463	495	-	17	1
13463	3614	+	11	1
13463	6086	+	11	1
13463	6086	-	11	1
13463	6701	+	11	1
13463	6701	-	11	1
13463	6761	+	11	2
13463	6761	-	11	1
13463	6761	-	17	1
13463	12967	+	37	1
13469	4211	-	11	1
13469	6154	+	11	1
13469	6154	+	41	1
13469	6154	-	11	1
13469	9257	+	31	1
13477	3352	+	37	1
13477	10124	+	37	1
13477	10124	-	11	1
13487	9855	-	19	1
13513	904	+	11	1
13513	904	-	11	1
13523	2831	+	11	1
13523	2831	-	19	1
13523	5629	+	11	1
13523	5629	+	31	1
13523	5629	+	41	1
13523	5629	-	11	1
13523	5629	-	31	1
13567	12296	+	19	1
13567	12296	+	41	1
13567	12296	-	41	1
13613	5365	+	11	1
13613	8247	+	59	1
13627	3155	+	11	1
13627	3155	-	11	1
13627	10471	-	19	1
13627	10471	-	31	1
13697	3979	+	11	1
13697	3979	+	19	1
13697	3979	-	19	1
13697	9717	-	19	1
13709	7062	+	59	1
13711	338	-	11	1
13711	4119	+	11	1
13711	4503	+	11	1
13729	1566	+	11	1
13729	1566	-	11	1
13729	2221	-	17	1
13729	6675	+	61	1
13757	1783	-	11	1
13757	2014	+	11	1
13757	2014	-	11	1
13759	2630	+	11	1
13829	12229	+	11	1
13873	1104	-	11	1
13873	1104	-	31	1
13873	2596	-	11	1
13873	11276	-	11	1
13873	12768	-	17	1
13883	5225	-	11	1
13901	7768	+	19	2
13901	7768	-	11	1
13901	7768	-	17	1
13903	6159	-	17	1
13903	6159	-	61	1
13903	13624	-	61	1
13921	9257	+	19	1
13921	9257	-	19	1
13967	1976	+	11	1
13967	11990	-	11	1
13997	6101	-	11	1
13997	6101	-	19	1
13997	6101	-	31	1
14051	496	+	11	1
14051	13554	+	11	1
14051	13554	+	19	1
14057	6732	+	37	1
14057	6732	+	59	1
14057	6732	-	11	1
14057	7324	+	19	1
14057	7324	+	37	1
14087	427	+	11	1
14243	483	+	11	1
14243	13759	+	19	1
14243	13759	-	19	1
14251	5328	-	17	1
14251	8922	+	19	1
14251	8922	-	19	1
14251	9579	+	11	1
14251	9579	-	11	1
14323	505	+	11	1
14323	505	+	59	1
14323	13817	+	19	1
14323	13817	+	293	1
14369	11420	-	17	1
14369	11420	-	19	1
14401	4498	-	19	1
14401	4817	+	11	1
14401	4817	-	41	1
14411	1086	-	17	1
14411	13324	+	19	1
14411	13324	-	17	1
14419	541	+	11	1
14419	541	+	41	1
14419	541	-	41	1
14419	3956	-	17	1
14419	8198	-	11	1
14419	10462	+	11	1
14419	13877	-	11	1
14419	13877	-	59	1
14437	6690	-	61	1
14461	662	+	31	1
14461	662	-	17	1
14461	13798	+	19	1
14479	2616	+	11	1
14479	2616	-	17	1
14537	8050	+	11	1
14537	14137	+	11	1
14543	3901	+	11	1
14543	10641	-	17	1
14549	7368	+	11	1
14549	7368	-	11	1
14593	14066	-	17	1
14621	3926	+	11	1
14621	3926	+	97	1
14621	10694	-	17	1
14653	4915	-	17	1
14653	9395	+	19	1
14653	9395	-	17	1
14653	9395	-	19	1
14683	10404	-	17	1
14723	3681	+	11	1
14723	6524	+	11	1
14723	6524	-	31	1
14723	8198	-	97	1
14747	3004	+	19	1
14747	3004	-	19	1
14753	12188	+	41	1
14759	5403	+	11	1
14759	5403	-	11	1
14759	9355	+	31	1
14771	3823	+	11	1
14771	3823	-	11	1
14771	3823	-	17	1
14771	10947	-	17	1
14813	4416	+	19	1
14813	10396	+	19	1
14813	10396	-	17	1
14813	10396	-	19	1
14831	10562	-	17	1
14851	6082	+	11	1
14851	6082	-	11	1
14851	8768	+	11	1
14851	8768	+	31	1
14867	14711	+	181	1
14891	5	-	17	1
14951	6643	-	31	1
14951	8956	-	17	1
14957	9724	+	19	1
14957	9724	-	17	1
14969	6653	+	11	1
14969	6653	-	17	1
14969	10079	+	19	1
14969	10079	-	19	1
