q	t	sign	prime	exponent
3607	1793	-	19	1
3607	1813	-	17	1
3607	1813	-	37	1
3613	657	-	19	1
3613	2329	+	19	1
3613	2329	-	19	1
3613	2955	-	11	1
3613	2955	-	37	1
3623	361	-	11	1
3631	761	+	19	1
3727	1294	+	11	1
3727	2432	+	193	1
3727	2715	-	17	1
3733	1036	+	37	1
3779	568	+	11	1
3779	568	-	11	1
3797	2761	-	17	1
3821	3579	-	37	1
3833	565	-	17	1
3833	3267	+	31	1
3877	937	+	19	1
3877	937	-	19	1
3877	937	-	59	1
3877	968	+	19	1
3877	968	+	257	1
3877	968	-	19	1
3907	579	-	11	1
3917	2642	-	19	1
3923	1084	-	11	1
3923	1084	-	17	1
3923	2838	+	37	1
3943	2629	+	37	1
4013	1866	+	11	1
4013	2146	+	37	1
4019	212	-	11	1
4019	212	-	19	1
4021	1380	+	193	1
4021	2640	+	37	1
4027	418	-	37	1
4027	3608	-	11	1
4057	1469	+	11	1
4091	2990	-	17	1
4111	1267	+	11	1
4111	1267	-	11	1
4153	903	+	19	1
4153	3341	-	17	1
4157	2361	-	37	1
4201	138	+	11	1
4229	1020	+	11	1
4229	1020	-	11	1
4229	3208	+	11	1
4229	3208	-	17	1
4273	431	-	17	1
4273	3841	+	19	1
4273	3841	-	61	1
4283	18	+	11	1
4297	177	+	11	1
4297	177	-	11	1
4297	2359	-	41	1
4297	4119	-	11	1
4339	3892	+	11	1
4349	342	+	11	1
4373	4250	+	19	1
4373	4250	-	17	1
4373	4250	-	19	1
4441	3470	+	19	1
4441	3470	-	17	1
4451	947	-	11	1
4481	1736	+	19	1
4481	1736	-	11	1
4481	1736	-	19	1
4513	877	+	19	1
4513	877	-	19	1
4513	4114	+	19	1
4523	4190	+	19	1
4549	3103	+	19	1
4639	529	+	19	1
4639	529	-	17	1
4639	2865	-	41	1
4663	1929	+	11	1
4663	1929	+	163	1
4663	1929	-	11	1
4679	2322	+	19	1
4679	2322	-	19	1
4679	2356	+	11	1
4679	2356	+	19	1
4679	2356	-	19	1
4679	3203	+	11	1
4679	3203	+	19	1
4679	3203	-	17	1
4679	4265	+	379	1
4703	593	-	17	1
4703	4109	+	19	1
4723	2281	+	19	1
4723	4036	-	41	1
4789	1630	+	19	1
4789	1630	-	17	1
4789	1630	-	19	1
4789	3158	+	19	1
4871	825	+	61	1
4877	1990	+	11	1
4877	1990	+	19	1
4933	803	+	19	1
4933	803	-	19	1
4943	1017	+	19	1
4943	1017	-	19	1
4943	1017	-	41	1
4943	3925	+	59	1
4943	3925	-	17	1
4943	3925	-	19	1
4951	1063	+	19	1
4951	1063	+	37	1
4951	1063	-	19	1
4973	563	+	19	1
4973	4409	-	59	1
5011	1070	+	19	1
5011	1070	-	19	1
5011	3940	+	11	1
5021	1257	+	19	1
5021	1257	-	19	1
5023	4215	-	17	1
5099	1273	-	59	1
5099	3825	-	11	1
5099	3825	-	19	1
5101	650	+	11	1
5101	4450	-	37	1
5227	3422	+	11	1
5233	2094	+	59	1
5233	4949	+	331	1
5237	1290	-	17	1
5273	1928	+	59	1
5273	1928	-	11	1
5347	1132	+	11	1
5393	75	+	11	1
5393	75	+	59	1
5393	75	-	17	1
5407	412	+	11	1
5407	4476	+	11	1
5407	4994	+	19	1
5449	949	+	11	1
5449	3434	-	11	1
5449	4499	+	11	1
5449	4499	+	19	1
5477	429	+	11	1
5477	5047	+	19	1
5501	274	+	11	1
5501	274	+	37	1
5501	5226	+	19	1
5501	5226	-	19	1
5501	5226	-	31	1
5519	2173	-	11	1
5519	2173	-	17	1
5569	1046	+	97	1
5569	1046	-	19	1
5569	4522	+	19	1
5573	1304	+	19	1
5573	1304	+	31	1
5573	1304	+	227	1
5573	1304	-	17	1
5573	4268	+	19	2
5573	4268	+	59	1
5581	1871	+	59	1
5581	1871	-	17	1
5581	3709	+	19	1
5581	3709	+	179	1
5581	3709	-	11	1
5623	333	+	211	1
5639	467	+	59	1
5639	467	+	251	1
5641	5341	+	19	1
5641	5341	-	11	1
5647	1671	+	73	1
5647	3975	-	31	1
5647	4553	+	19	1
5647	4553	-	17	1
5647	4553	-	19	1
5647	4553	-	31	1
5683	1877	+	19	1
5683	1877	-	17	1
5683	1877	-	19	1
5683	3805	-	11	1
5717	307	+	19	1
5741	1058	-	17	1
5743	3799	+	19	2
5749	2715	+	11	1
5749	2715	+	19	1
5749	2715	-	19	1
5749	3033	+	19	1
5749	3033	+	31	1
5783	1839	+	11	1
5783	1839	-	11	1
5801	4025	+	19	1
5801	4025	+	59	2
5801	4025	-	19	1
5807	5220	+	19	1
5813	307	+	19	1
5813	5505	+	19	1
5827	1203	+	19	1
5827	1203	-	11	1
5827	4623	+	19	1
5839	180	+	19	1
5839	1503	+	11	1
5839	1503	-	41	1
5839	4335	-	17	1
5857	1688	+	19	1
5857	1688	-	19	1
5857	4168	+	11	1
5857	4168	-	11	1
5867	790	+	11	1
5867	790	-	11	1
5881	2413	+	19	1
5881	2413	-	37	1
5881	3467	+	181	1
5897	215	+	19	1
5897	1392	-	11	1
