rank,cyclic,linear,nearest_zero,sign,q,t,p,Z,selected
111,120475,120475,722079,-,8039791,601604,7175561,6,0
112,120859,120859,270460,+,3174167,149601,2820673,2,0
113,122142,122142,1307674,+,1375243,1185532,1359097,4,0
114,122229,122229,3625684,+,4379021,3747913,4289911,2,0
115,123377,123377,3449158,+,6557099,3325781,6168691,6,0
116,124140,124140,143921,+,1679417,19781,1485763,2,0
117,124591,124591,1102884,+,1409659,978293,1369793,2,0
118,124598,124598,197726,-,1510039,73128,1381229,2,0
119,125839,125839,1402194,+,2829557,1276355,2650931,2,0
120,126021,126021,224157,+,2239229,350178,2056741,2,0
121,127450,127450,411085,-,2851361,283635,2544403,2,0
122,127679,127679,220285,+,6989063,92606,6145753,2,0
123,129126,129126,1990438,+,3326417,2119564,3184057,2,0
124,129310,129310,6743156,+,7743097,6613846,7611377,4,0
125,130233,130233,1221902,+,5509429,1091669,5142259,2,0
126,130270,130270,175637,+,1398973,305907,1259129,2,0
127,130599,130599,400223,+,5981137,530822,5204503,2,0
128,131330,131330,1174513,+,3466913,1305843,3249749,2,0
129,133925,133925,473377,+,1495511,607302,1376003,2,0
130,134567,134567,373718,+,3919829,508285,3599137,6,0
131,138355,138355,618050,-,9541771,756405,8406253,4,0
132,139278,139278,661636,+,1840351,522358,1736213,2,0
133,139694,139694,1950320,+,4466471,1810626,4187189,2,0
134,140239,140239,1660989,+,2084287,1520750,2025211,4,0
135,140566,140566,387419,-,4425349,246853,4021733,2,0
136,140981,140981,227592,+,8729243,368573,7778891,4,0
137,141256,141256,106940,+,4100743,248196,3553243,6,0
138,142242,142242,235030,+,7150691,92788,6396661,4,0
139,144047,144047,479091,+,2245043,623138,2083847,4,0
140,145505,145505,195917,-,8674537,50412,8261879,4,0
141,146300,146300,163207,+,1341547,309507,1253737,2,0
142,147975,147975,736723,+,1076381,588748,1038187,4,0
143,148520,148520,796832,+,1829143,648312,1664909,2,0
144,149494,149494,207340,+,4142167,57846,3598601,2,0
145,151462,151462,65701,+,1597331,217163,1407053,2,0
146,155151,155151,2147260,+,4469627,1992109,4225147,4,0
147,157080,157080,2569511,+,5827937,2412431,5397493,4,0
148,157504,157504,678338,+,2326963,835842,2190653,4,0
149,157536,157536,2135120,+,3260891,2292656,3157577,2,0
150,158871,158871,198672,+,5136323,357543,4592171,2,0
151,161284,161284,408845,-,3620153,247561,3217727,2,0
152,161959,161959,1613572,+,2687329,1775531,2593529,2,0
153,163936,163936,479091,+,2245043,643027,2083847,4,0
154,164532,164532,285086,+,1120799,120554,982187,2,0
155,164678,164678,1646706,+,3668953,1482028,3368837,2,0
156,167245,167245,615131,+,2762167,447886,2486623,4,0
157,167422,167422,853296,+,1028329,685874,996511,2,0
158,170268,170268,350695,+,4575833,520963,4174967,2,0
159,170300,170300,2040126,+,2891257,1869826,2787559,2,0
160,170398,170398,174426,-,1807187,4028,1593833,2,0
161,173363,173363,1320500,+,5736833,1493863,5351257,2,0
162,173894,173894,209328,-,1965443,35434,1825489,2,0
163,177014,177014,1896657,+,3494807,2073671,3317231,2,0
164,179193,179193,642656,+,5024861,463463,4567399,4,0
165,179879,179879,350769,+,1196537,530648,1116491,2,0
166,180273,180273,221530,+,7096853,401803,6377081,4,0
167,182362,182362,161861,+,1142789,344223,1065689,2,0
168,182723,182723,795944,+,3465851,613221,3136403,2,0
169,183964,183964,622971,-,4820489,439007,4251563,2,0
170,189198,189198,253608,+,2184331,442806,1954427,2,0
171,189359,189359,552429,+,1476529,363070,1340617,2,0
172,194686,194686,1660989,+,2084287,1466303,2025211,4,0
173,195254,195254,463285,+,3311299,658539,2998097,2,0
174,195569,195569,742166,+,6508367,937735,5928047,2,0
175,195830,195830,626044,+,6363923,821874,5901617,2,0
176,201107,201107,2278990,+,7980061,2480097,7416313,4,0
177,201399,201399,2040126,+,2891257,1838727,2787559,2,0
178,201440,201440,8142,+,7683593,209582,6982081,2,0
179,201452,201452,1536271,+,2428787,1334819,2287633,4,0
180,202442,202442,1734670,+,2027549,1532228,1960009,2,0
181,203049,203049,6034898,+,7743097,6237947,7611377,4,0
182,205122,205122,1510283,+,6113161,1715405,5566073,2,0
183,205638,205638,642656,+,5024861,437018,4567399,4,0
184,205869,205869,271627,+,1057117,477496,977023,2,0
185,207301,207301,342281,+,1831877,134980,1619507,4,0
186,208650,208650,386359,+,6924193,177709,6296611,2,0
187,208802,208802,701247,+,5823497,910049,5263493,4,0
188,212498,212498,221066,-,1011271,8568,875593,4,0
189,213445,213445,254860,-,2318033,41415,2150411,2,0
190,213929,213929,207164,+,2110099,421093,1956881,2,0
