lo_exclusive,hi_inclusive,primes,qZ,qA,sumZ,sumA,occ,hits,maxZ,maxA,maxK,meanZ,meanA,meanAlog,heur_sum,heur_log,heur_log2,median_linear,median_norm
1000000,1250000,17971,7119,40,18034,56,56,0,8,2,1,1.0035056479884259,0.0031161315452673754,0.04341797569655316,6.6564862047153612e-05,0.00092746776592184826,0.012922680681208552,216730,0.20072433689809005
1250000,1500000,17686,7018,46,18046,66,66,0,10,2,1,1.0203550831165893,0.0037317652380413889,0.052744636609717593,5.6239151602518416e-05,0.00079488216039830955,0.011234836069098701,140112.5,0.10108575696242235
1500000,1750000,17453,6815,54,17256,75,75,0,10,2,1,0.98871254225634564,0.0042972554861628372,0.061455129664295428,4.070269917302919e-05,0.00058209004873454554,0.0083244804821274269,337818,0.21777130988709509
1750000,2000000,17325,6740,43,17314,65,65,0,12,2,1,0.99936507936507935,0.0037518037518037518,0.054191500671291901,2.8231916107995183e-05,0.00040778516199914091,0.0058900974949969188,247510,0.13566152277481106
2000000,2250000,17148,6824,49,17348,70,70,0,10,2,1,1.0116631677163517,0.0040821087007231168,0.059473394286438407,3.1224202300912118e-05,0.00045491421979838696,0.0066277737179767709,144047,0.067283920112729198
2250000,2500000,16991,6713,32,17094,43,43,0,8,2,1,1.0060620328409158,0.0025307515743628979,0.037152718721934423,1.7615941001866441e-05,0.00025861096272529124,0.0037965403059998875,295817.5,0.12239990558106315
2500000,2750000,16921,6600,41,16670,56,56,0,10,2,1,0.98516636132616275,0.0033094970746409785,0.048916324178502467,2.6897278428438739e-05,0.00039755768367545163,0.005876137701808541,447968,0.1694230268159046
2750000,3000000,16823,6567,47,16788,61,61,0,10,2,1,0.99791951494977116,0.0036259882303988585,0.053924113247638877,2.2482217854893189e-05,0.00033434572442944536,0.0049722435822727564,194729.5,0.068748550998061306
3000000,3250000,16761,6662,41,16934,55,55,0,10,2,1,1.0103215798580036,0.0032814271224867251,0.049073561617051197,1.770232171392553e-05,0.00026473724479209493,0.003959130893264504,341707,0.10933726113202899
3250000,3500000,16573,6567,46,16816,59,59,0,10,2,1,1.0146624027031919,0.0035600072406926928,0.053513693782359095,1.9640267394515558e-05,0.00029523065097734267,0.0044378793590582593,336826,0.098939101045507002
3500000,3750000,16567,6589,32,16666,43,43,0,10,2,1,1.0059757348946701,0.0025955212168769239,0.039201103904729237,9.8061538260809817e-06,0.00014810591897395652,0.002236897730155903,440125.5,0.12140295098249979
3750000,4000000,16429,6555,42,16764,58,58,0,10,2,1,1.0203907724146326,0.0035303426867125207,0.05355549703601168,1.5066727207073565e-05,0.00022856309879430467,0.0034673150587029148,623321.5,0.16257820992619509
4000000,4250000,16437,6526,42,16676,57,57,0,10,2,1,1.0145403662468819,0.0034677860923526191,0.052823317207020888,1.6975837688466037e-05,0.00025858574756102906,0.0039389272016383432,185562,0.045748865313725434
4250000,4500000,16365,6531,54,16566,74,74,0,10,2,1,1.012282309807516,0.0045218454017720748,0.069145423999710659,2.0114561765971053e-05,0.00030758015330010672,0.0047033364089575517,599909,0.13593943070354114
4500000,4750000,16271,6433,48,16398,66,66,0,10,2,1,1.007805297769037,0.0040562964783971483,0.062251929033820402,1.2490743693115048e-05,0.00019169528019083475,0.0029419449594260587,665953.5,0.14226590003181488
4750000,5000000,16294,6428,44,16272,65,65,0,10,4,1,0.99864980974591877,0.0039891984779673499,0.061432183199761597,1.3109472621344588e-05,0.00020188103654773608,0.0031088934005804548,346034,0.070873718630015167
5000000,5250000,16172,6295,40,15952,56,56,0,10,2,1,0.98639624041553298,0.0034627751669552313,0.053498633480544754,1.0516139268538644e-05,0.00016247057727764586,0.0025101121054856151,358438,0.068578957025412279
5250000,5500000,16115,6305,43,16032,63,63,0,10,2,1,0.99484951908160102,0.0039094011790257524,0.060585042216234196,9.6810649424849573e-06,0.00015003006889784652,0.0023250563555991294,604210,0.11328143821923477
5500000,5750000,16026,6239,32,16132,45,45,0,10,2,1,1.0066142518407588,0.0028079371022089105,0.043643012465522532,9.6129247291692576e-06,0.00014941110805339193,0.0023222567364960065,498400,0.087932670109755293
5750000,6000000,16023,6327,37,16252,49,49,0,10,2,1,1.0142919553142358,0.0030581039755351682,0.047664271003041277,8.5232502675554583e-06,0.00013284522495949892,0.0020705544528849592,297948,0.051388126891495037
6000000,6250000,15967,6391,36,16198,47,47,0,10,2,1,1.0144673388864534,0.0029435711154255652,0.046001803580921152,4.894919456170195e-06,7.6497259463906682e-05,0.0011954907037564941,828481,0.13322991727907188
6250000,6500000,15941,6211,40,15854,54,54,0,10,2,1,0.99454237500784137,0.0033874913744432597,0.053074857979202889,5.3018643205447677e-06,8.3069051617633846e-05,0.0013015171493381582,1297774,0.20665200954713833
6500000,6750000,15950,6198,47,15684,67,67,0,10,4,1,0.9833228840125392,0.004200626959247649,0.065976563153545428,1.176390792020266e-05,0.00018476818374006594,0.0029020357821718345,431452,0.064056843719494716
6750000,7000000,15941,6174,30,15646,41,41,0,10,2,1,0.98149426008405993,0.0025719841917069193,0.040491781585985404,4.914335871048584e-06,7.7368366171259799e-05,0.0012180413063083778,466036.5,0.067315572582216293
7000000,7250000,15846,6194,41,15806,58,58,0,12,2,1,0.99747570364760818,0.0036602297109680675,0.057755204876871219,5.8901575859688157e-06,9.2941505041417883e-05,0.0014665351874355841,830728,0.11714967584039659
7250000,7500000,15767,6209,42,15740,57,57,0,12,2,1,0.9982875626308112,0.0036151455571763812,0.057168489137492166,7.0448126090276999e-06,0.00011140389418494952,0.0017616973407734583,799982.5,0.10829409134536636
7500000,7750000,15765,6076,36,15496,49,49,0,10,2,1,0.98293688550586744,0.0031081509673326988,0.049254690843160781,7.5865765888115852e-06,0.00012022404586111519,0.0019051835876186254,620378,0.081363514094656503
7750000,8000000,15751,6103,35,15586,44,44,0,12,2,1,0.98952447463653104,0.0027934734302583965,0.04435813374882501,6.3371409784753304e-06,0.00010062875274327072,0.0015979044671817595,601002,0.076487226543892367
8000000,8250000,15702,6135,31,15604,45,45,0,10,2,1,0.99375875684626158,0.0028658769583492548,0.045597410067386539,4.943260854563289e-06,7.8649535737714362e-05,0.0012513500002832619,689458,0.085581032548716199
8250000,8500000,15640,6222,32,15842,40,40,0,10,2,1,1.0129156010230178,0.0025575447570332483,0.040769211344438373,4.7586047566327729e-06,7.5855784143874207e-05,0.0012091989737247446,1438210,0.16953392169595927
8500000,8750000,15731,6127,41,15604,55,55,0,10,2,1,0.99192676880045771,0.0034962812281482424,0.055836224883891256,6.0201515788246898e-06,9.6142877376143365e-05,0.0015354186267796156,350243,0.040881646522691141
8750000,9000000,15639,6147,34,15458,43,43,0,12,2,1,0.98842636997250466,0.0027495364153718267,0.043989142682588876,4.7362401636386719e-06,7.5773917076539188e-05,0.0012122878719712387,1402969,0.15891014736610592
9000000,9250000,15568,6205,20,15774,27,27,0,10,2,1,1.0132322713257964,0.0017343268242548818,0.027795238203409969,4.1630639930844036e-06,6.6719463555281152e-05,0.0010692813813333658,912682,0.099209320794616349
9250000,9500000,15521,6092,33,15400,42,42,0,12,2,1,0.99220411055988655,0.0027060112106178725,0.043441105563589426,4.2603343123863491e-06,6.8393520276029853e-05,0.0010979592850607989,1119558,0.11960677712918236
9500000,9750000,15597,6251,36,15994,47,47,0,10,2,1,1.0254536128742706,0.0030134000128229786,0.048455093838077307,5.8076175663261641e-06,9.3385761251250013e-05,0.0015016313152300448,2257432,0.2344762442702199
9750000,10000000,15404,6077,28,15376,41,41,0,8,3,1,0.99818229031420413,0.0026616463256297065,0.042867189796079577,5.6660892617183514e-06,9.1255296184456416e-05,0.0014697137120616734,1509950.5,0.15284220668930373
