dictionary,degree,split,p,samples,columns,rank,nullity
linear,1,all,937,4,6,3,3
linear,1,all,947,1,6,1,5
linear,1,all,953,2,6,2,4
linear,1,all,977,2,6,2,4
linear,1,all,991,1,6,1,5
linear,1,all,1049,14,6,5,1
linear,1,all,1069,13,6,5,1
linear,1,all,1087,9,6,3,3
linear,1,all,1097,4,6,3,3
linear,1,all,1117,5,6,3,3
linear,1,all,1129,13,6,4,2
linear,1,all,1153,2,6,2,4
linear,1,all,1193,5,6,3,3
linear,1,all,1201,3,6,3,3
linear,1,all,1217,5,6,3,3
linear,1,all,1229,5,6,3,3
linear,1,all,1259,5,6,3,3
linear,1,all,1297,1,6,1,5
linear,1,all,1381,6,6,3,3
linear,1,all,1427,6,6,3,3
linear,1,all,1433,5,6,3,3
linear,1,all,1447,6,6,3,3
linear,1,all,1453,4,6,3,3
linear,1,all,1471,2,6,2,4
linear,1,all,1487,4,6,3,3
linear,1,all,1489,5,6,3,3
linear,1,all,1499,6,6,3,3
linear,1,all,1523,3,6,3,3
linear,1,all,1531,3,6,3,3
linear,1,all,1559,8,6,3,3
linear,1,all,1619,2,6,2,4
linear,1,all,1621,6,6,4,2
linear,1,all,1637,1,6,1,5
linear,1,all,1657,4,6,3,3
linear,1,all,1669,3,6,3,3
linear,1,all,1709,6,6,4,2
linear,1,all,1723,5,6,3,3
linear,1,all,1741,5,6,3,3
linear,1,all,1759,4,6,3,3
linear,1,all,1823,6,6,3,3
linear,1,all,1831,8,6,4,2
linear,1,all,1847,7,6,4,2
linear,1,all,1867,1,6,1,5
linear,1,all,1873,7,6,4,2
linear,1,all,1907,4,6,3,3
linear,1,all,1931,5,6,3,3
linear,1,all,1933,1,6,1,5
linear,1,all,1949,3,6,3,3
linear,1,all,1951,4,6,3,3
linear,1,all,1973,3,6,3,3
linear,1,all,2011,8,6,4,2
quadratic,2,training,139,2,21,2,19
quadratic,2,training,151,1,21,1,20
quadratic,2,training,163,2,21,2,19
quadratic,2,training,179,3,21,3,18
quadratic,2,training,181,4,21,4,17
quadratic,2,training,191,3,21,3,18
quadratic,2,training,193,4,21,4,17
quadratic,2,training,197,3,21,3,18
quadratic,2,training,211,2,21,2,19
quadratic,2,training,227,2,21,2,19
quadratic,2,training,233,1,21,1,20
quadratic,2,training,241,2,21,2,19
quadratic,2,training,251,1,21,1,20
quadratic,2,training,257,1,21,1,20
quadratic,2,training,271,3,21,3,18
quadratic,2,training,283,1,21,1,20
quadratic,2,training,293,2,21,2,19
quadratic,2,training,307,1,21,1,20
quadratic,2,training,331,1,21,1,20
quadratic,2,training,347,1,21,1,20
quadratic,2,training,367,2,21,2,19
quadratic,2,training,379,2,21,2,19
quadratic,2,training,419,2,21,2,19
quadratic,2,training,431,1,21,1,20
quadratic,2,training,439,2,21,2,19
quadratic,2,training,443,4,21,4,17
quadratic,2,training,463,1,21,1,20
quadratic,2,training,499,5,21,5,16
quadratic,2,training,503,1,21,1,20
quadratic,2,training,541,4,21,4,17
quadratic,2,training,571,3,21,3,18
quadratic,2,training,577,1,21,1,20
quadratic,2,training,593,4,21,4,17
quadratic,2,training,599,2,21,2,19
quadratic,2,training,617,3,21,3,18
quadratic,2,training,631,4,21,4,17
quadratic,2,training,659,4,21,4,17
quadratic,2,training,691,2,21,2,19
quadratic,2,training,701,2,21,2,19
quadratic,2,training,709,5,21,5,16
quadratic,2,training,733,2,21,2,19
quadratic,2,training,751,1,21,1,20
quadratic,2,training,757,1,21,1,20
quadratic,2,training,761,2,21,2,19
quadratic,2,training,769,4,21,4,17
quadratic,2,training,787,1,21,1,20
quadratic,2,training,821,4,21,4,17
quadratic,2,training,857,5,21,5,16
quadratic,2,training,881,3,21,3,18
quadratic,2,training,887,2,21,2,19
quadratic,2,training,907,4,21,4,17
quadratic,2,training,911,2,21,2,19
quadratic,2,training,937,4,21,4,17
quadratic,2,training,947,1,21,1,20
quadratic,2,training,953,2,21,2,19
quadratic,2,training,977,2,21,2,19
quadratic,2,training,991,1,21,1,20
quadratic,2,holdout,1049,14,21,12,9
quadratic,2,holdout,1069,13,21,11,10
quadratic,2,holdout,1087,9,21,6,15
quadratic,2,holdout,1097,4,21,4,17
quadratic,2,holdout,1117,5,21,5,16
quadratic,2,holdout,1129,13,21,9,12
quadratic,2,holdout,1153,2,21,2,19
quadratic,2,holdout,1193,5,21,5,16
quadratic,2,holdout,1201,3,21,3,18
quadratic,2,holdout,1217,5,21,5,16
quadratic,2,holdout,1229,5,21,5,16
quadratic,2,holdout,1259,5,21,5,16
quadratic,2,holdout,1297,1,21,1,20
quadratic,2,holdout,1381,6,21,6,15
quadratic,2,holdout,1427,6,21,6,15
quadratic,2,holdout,1433,5,21,5,16
quadratic,2,holdout,1447,6,21,6,15
quadratic,2,holdout,1453,4,21,4,17
quadratic,2,holdout,1471,2,21,2,19
quadratic,2,holdout,1487,4,21,4,17
quadratic,2,holdout,1489,5,21,5,16
quadratic,2,holdout,1499,6,21,6,15
quadratic,2,holdout,1523,3,21,3,18
quadratic,2,holdout,1531,3,21,3,18
quadratic,2,holdout,1559,8,21,6,15
quadratic,2,holdout,1619,2,21,2,19
quadratic,2,holdout,1621,6,21,6,15
quadratic,2,holdout,1637,1,21,1,20
quadratic,2,holdout,1657,4,21,4,17
quadratic,2,holdout,1669,3,21,3,18
quadratic,2,holdout,1709,6,21,6,15
quadratic,2,holdout,1723,5,21,5,16
quadratic,2,holdout,1741,5,21,5,16
quadratic,2,holdout,1759,4,21,4,17
quadratic,2,holdout,1823,6,21,6,15
quadratic,2,holdout,1831,8,21,8,13
quadratic,2,holdout,1847,7,21,7,14
quadratic,2,holdout,1867,1,21,1,20
quadratic,2,holdout,1873,7,21,7,14
quadratic,2,holdout,1907,4,21,4,17
quadratic,2,holdout,1931,5,21,5,16
quadratic,2,holdout,1933,1,21,1,20
quadratic,2,holdout,1949,3,21,3,18
quadratic,2,holdout,1951,4,21,4,17
quadratic,2,holdout,1973,3,21,3,18
quadratic,2,holdout,2011,8,21,8,13
quadratic,2,all,139,2,21,2,19
quadratic,2,all,151,1,21,1,20
quadratic,2,all,163,2,21,2,19
quadratic,2,all,179,3,21,3,18
quadratic,2,all,181,4,21,4,17
quadratic,2,all,191,3,21,3,18
quadratic,2,all,193,4,21,4,17
quadratic,2,all,197,3,21,3,18
quadratic,2,all,211,2,21,2,19
quadratic,2,all,227,2,21,2,19
quadratic,2,all,233,1,21,1,20
quadratic,2,all,241,2,21,2,19
quadratic,2,all,251,1,21,1,20
quadratic,2,all,257,1,21,1,20
quadratic,2,all,271,3,21,3,18
quadratic,2,all,283,1,21,1,20
quadratic,2,all,293,2,21,2,19
quadratic,2,all,307,1,21,1,20
quadratic,2,all,331,1,21,1,20
quadratic,2,all,347,1,21,1,20
quadratic,2,all,367,2,21,2,19
quadratic,2,all,379,2,21,2,19
quadratic,2,all,419,2,21,2,19
quadratic,2,all,431,1,21,1,20
quadratic,2,all,439,2,21,2,19
quadratic,2,all,443,4,21,4,17
quadratic,2,all,463,1,21,1,20
quadratic,2,all,499,5,21,5,16
quadratic,2,all,503,1,21,1,20
quadratic,2,all,541,4,21,4,17
quadratic,2,all,571,3,21,3,18
quadratic,2,all,577,1,21,1,20
quadratic,2,all,593,4,21,4,17
quadratic,2,all,599,2,21,2,19
quadratic,2,all,617,3,21,3,18
quadratic,2,all,631,4,21,4,17
quadratic,2,all,659,4,21,4,17
quadratic,2,all,691,2,21,2,19
quadratic,2,all,701,2,21,2,19
quadratic,2,all,709,5,21,5,16
quadratic,2,all,733,2,21,2,19
quadratic,2,all,751,1,21,1,20
quadratic,2,all,757,1,21,1,20
quadratic,2,all,761,2,21,2,19
quadratic,2,all,769,4,21,4,17
quadratic,2,all,787,1,21,1,20
quadratic,2,all,821,4,21,4,17
quadratic,2,all,857,5,21,5,16
quadratic,2,all,881,3,21,3,18
quadratic,2,all,887,2,21,2,19
quadratic,2,all,907,4,21,4,17
quadratic,2,all,911,2,21,2,19
quadratic,2,all,937,4,21,4,17
quadratic,2,all,947,1,21,1,20
quadratic,2,all,953,2,21,2,19
quadratic,2,all,977,2,21,2,19
quadratic,2,all,991,1,21,1,20
quadratic,2,all,1049,14,21,12,9
quadratic,2,all,1069,13,21,11,10
quadratic,2,all,1087,9,21,6,15
quadratic,2,all,1097,4,21,4,17
quadratic,2,all,1117,5,21,5,16
quadratic,2,all,1129,13,21,9,12
quadratic,2,all,1153,2,21,2,19
quadratic,2,all,1193,5,21,5,16
quadratic,2,all,1201,3,21,3,18
quadratic,2,all,1217,5,21,5,16
quadratic,2,all,1229,5,21,5,16
quadratic,2,all,1259,5,21,5,16
quadratic,2,all,1297,1,21,1,20
quadratic,2,all,1381,6,21,6,15
quadratic,2,all,1427,6,21,6,15
quadratic,2,all,1433,5,21,5,16
quadratic,2,all,1447,6,21,6,15
quadratic,2,all,1453,4,21,4,17
quadratic,2,all,1471,2,21,2,19
quadratic,2,all,1487,4,21,4,17
quadratic,2,all,1489,5,21,5,16
quadratic,2,all,1499,6,21,6,15
quadratic,2,all,1523,3,21,3,18
quadratic,2,all,1531,3,21,3,18
quadratic,2,all,1559,8,21,6,15
quadratic,2,all,1619,2,21,2,19
quadratic,2,all,1621,6,21,6,15
quadratic,2,all,1637,1,21,1,20
quadratic,2,all,1657,4,21,4,17
quadratic,2,all,1669,3,21,3,18
quadratic,2,all,1709,6,21,6,15
quadratic,2,all,1723,5,21,5,16
quadratic,2,all,1741,5,21,5,16
quadratic,2,all,1759,4,21,4,17
quadratic,2,all,1823,6,21,6,15
quadratic,2,all,1831,8,21,8,13
quadratic,2,all,1847,7,21,7,14
quadratic,2,all,1867,1,21,1,20
quadratic,2,all,1873,7,21,7,14
quadratic,2,all,1907,4,21,4,17
quadratic,2,all,1931,5,21,5,16
quadratic,2,all,1933,1,21,1,20
quadratic,2,all,1949,3,21,3,18
quadratic,2,all,1951,4,21,4,17
quadratic,2,all,1973,3,21,3,18
quadratic,2,all,2011,8,21,8,13
