lo_exclusive,hi_inclusive,prime_count,q_with_z,q_with_a,q_with_both,total_z,total_a,assigned_occurrences,actual_occurrences,max_z,max_a,mean_z,mean_a,mean_a_times_log_mid,heuristic_sum,heuristic_times_log_mid,heuristic_times_log_mid_squared,norm_gap_q25,norm_gap_median,norm_gap_q75,scaled_gap_median
2000000,2250000,17148,6824,49,17,17348,70,70,0,10,2,1.0116631677163517,0.0040821087007231168,0.059473394286438407,3.1224202300912118e-05,0.00045491421979838696,0.0066277737179767709,0.036936273327328406,0.067283920112729198,0.14084096266330126,0.40553357923016881
2250000,2500000,16991,6713,32,10,17094,43,43,0,8,2,1.0060620328409158,0.0025307515743628979,0.037152718721934423,1.7615941001866441e-05,0.00025861096272529124,0.0037965403059998875,0.053651291018431475,0.12239990558106315,0.17570902082152495,0.51025800804403476
2500000,2750000,16921,6600,41,21,16670,56,56,0,10,2,0.98516636132616275,0.0033094970746409785,0.048916324178502467,2.6897278428438739e-05,0.00039755768367545163,0.005876137701808541,0.10133955533474294,0.1694230268159046,0.23540293266645818,0.80276997910498893
2750000,3000000,16823,6567,47,20,16788,61,61,0,10,2,0.99791951494977116,0.0036259882303988585,0.053924113247638877,2.2482217854893189e-05,0.00033434572442944536,0.0049722435822727564,0.030486762821328773,0.068748550998061306,0.19910561464076815,0.39609115432146136
3000000,3250000,16761,6662,41,18,16934,55,55,0,10,2,1.0103215798580036,0.0032814271224867251,0.049073561617051197,1.770232171392553e-05,0.00026473724479209493,0.003959130893264504,0.045652849317702811,0.10933726113202899,0.15381560641500314,0.53500332830897923
3250000,3500000,16573,6567,46,21,16816,59,59,0,10,2,1.0146624027031919,0.0035600072406926928,0.053513693782359095,1.9640267394515558e-05,0.00029523065097734267,0.0044378793590582593,0.038818344182343943,0.098939101045507002,0.24895597060813532,0.50375920189205903
3500000,3750000,16567,6589,32,12,16666,43,43,0,10,2,1.0059757348946701,0.0025955212168769239,0.039201103904729237,9.8061538260809817e-06,0.00014810591897395652,0.002236897730155903,0.067965279384208765,0.12140295098249979,0.20436490558012288,0.48561180392999914
3750000,4000000,16429,6555,42,14,16764,58,58,0,10,2,1.0203907724146326,0.0035303426867125207,0.05355549703601168,1.5066727207073565e-05,0.00022856309879430467,0.0034673150587029148,0.044224040417157044,0.16257820992619509,0.26036229188409421,0.67304821866504239
