X,prime_count,active_prime_count,sum_Z,lambda_X,max_K,first_argmax,number_of_argmax,X_2over3_lambda,max_over_X_2over3_lambda,X_lambda,max_over_X_lambda,mean_K
16,5,3,6,0.287426345750524,2,8,8,1.82504353443103,1.09586426968358,4.59882153200839,0.434894023627519,0.28515625
32,7,4,8,0.16951973218958,2,56,11,1.70865183166554,1.17051347906874,5.42463143006654,0.368688642866095,0.169921875
64,13,2,4,0.0480158169750035,2,362,2,0.768253071600056,2.60330882352941,3.07301228640023,0.650827205882353,0.048095703125
128,23,13,30,0.157664789233247,3,321,10,4.00443603659521,0.749169164542521,20.1810930218556,0.148653989987117,0.15771484375
256,43,17,46,0.126285537941188,3,1667,10,5.09151384158082,0.589215721167235,32.3290977129442,0.0927956612534484,0.126266479492188
512,75,30,70,0.0927717387918101,3,18808,25,5.93739128267585,0.505272409577151,47.4991302614068,0.0631590511971439,0.0927848815917969
1024,137,47,120,0.0822441540519633,4,15468,1,8.35548522626056,0.478727433737583,84.2180137492104,0.0474957769950672,0.0822477340698242
2048,255,94,231,0.0775209261537996,4,212794,8,12.5017915735703,0.319954142289197,158.762856762981,0.0251948099294512,0.0775189399719238
4096,464,177,458,0.0768283279318959,4,2108283,14,19.6680519505653,0.203375505111223,314.688831209046,0.0127109690694514,0.0768280625343323
