p,Z,scale,K0,signed_frequency_count,literal_signed_offdiag,signed_total_including_diag,signed_diagonal,task_prediction,literal_over_task_prediction,signed_total_prediction,signed_total_ratio,signed_off_poisson_prediction,signed_off_poisson_ratio,signed_off_fixed_margin_prediction,signed_off_fixed_margin_ratio,signed_total_fixed_margin_prediction,signed_total_fixed_margin_ratio,positive_offdiag,positive_total
1289,0,cuberoot,10,20,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1291,0,sqrt,35,70,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1291,0,cuberoot,10,20,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1297,4,sqrt,36,72,32,320,288,159.98766384,0.200015421389,351.950655359,0.909218366632,63.0624518119,0.507433489828,47.3698841699,0.675534689619,335.36988417,0.954170350722,12,156
1297,4,cuberoot,10,20,0,80,80,41.233616037,0,84.934464148,0.941902687001,4.68774094063,0,3.52123552124,0,83.5212355212,0.957840236686,0,40
1301,0,sqrt,36,72,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1301,0,cuberoot,10,20,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1303,0,sqrt,36,72,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1303,0,cuberoot,10,20,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1307,0,sqrt,36,72,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1307,0,cuberoot,10,20,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1319,0,sqrt,36,72,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1319,0,cuberoot,10,20,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1321,0,sqrt,36,72,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1321,0,cuberoot,10,20,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1327,0,sqrt,36,72,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1327,0,cuberoot,10,20,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1361,0,sqrt,36,72,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1361,0,cuberoot,11,22,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1367,0,sqrt,36,72,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1367,0,cuberoot,11,22,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1373,0,sqrt,37,74,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1373,0,cuberoot,11,22,0,0,0,0,nan,0,nan,0,nan,0,nan,0,nan,0,0
1381,2,sqrt,37,74,16,164,148,77.9652425778,0.205219652642,163.860970311,1.00084846128,15.6466328747,1.02258422806,7.83466279913,2.04220659015,155.834662799,1.05239743876,0,74
