p,Z,cloud_size,pencil_line_count,vertical_line_count,slope_zero_count,max_line,max_nonzero_line,line_energy,nonzero_line_energy,random_raw_energy,raw_energy_ratio,forced_diagonal_prediction,forced_diagonal_ratio,random_nonzero_energy,nonzero_energy_ratio,line_count_distribution,pencil_line_count_distribution,nonzero_line_distribution
1213,2,4,1214,0,2,2,1,6,2,4.0098928277,1.49629934211,6.00165152766,0.999724821134,2.00165152766,0.999174917492,"{""0"": 1210, ""1"": 2, ""2"": 1}","{""0"": 1211, ""1"": 2, ""2"": 1}","{""0"": 1210, ""1"": 2}"
1217,2,4,1218,0,2,2,1,6,2,4.00986031224,1.49631147541,6.00164609053,0.999725726824,2.00164609053,0.999177631579,"{""0"": 1214, ""1"": 2, ""2"": 1}","{""0"": 1215, ""1"": 2, ""2"": 1}","{""0"": 1214, ""1"": 2}"
1229,2,4,1230,0,2,2,1,6,2,4.0097640358,1.4963474026,6.00162999185,0.999728408474,2.00162999185,0.999185667752,"{""0"": 1226, ""1"": 2, ""2"": 1}","{""0"": 1227, ""1"": 2, ""2"": 1}","{""0"": 1226, ""1"": 2}"
1259,2,4,1260,0,2,2,1,6,2,4.00953137411,1.49643423138,6.0015910899,0.999734888653,2.0015910899,0.99920508744,"{""0"": 1256, ""1"": 2, ""2"": 1}","{""0"": 1257, ""1"": 2, ""2"": 1}","{""0"": 1256, ""1"": 2}"
1297,4,16,1298,0,4,4,1,28,12,16.1850424056,1.72999237805,28.1019305019,0.996372829193,12.1019305019,0.991577335375,"{""0"": 1284, ""1"": 12, ""4"": 1}","{""0"": 1285, ""1"": 12, ""4"": 1}","{""0"": 1284, ""1"": 12}"
1381,2,4,1382,0,2,2,1,6,2,4.00868935554,1.49674855491,6.00145032632,0.999758337361,2.00145032632,0.999275362319,"{""0"": 1378, ""1"": 2, ""2"": 1}","{""0"": 1379, ""1"": 2, ""2"": 1}","{""0"": 1378, ""1"": 2}"
1427,2,4,1428,0,2,2,1,6,2,4.00840925018,1.49685314685,6.00140350877,0.999766136576,2.00140350877,0.999298737728,"{""0"": 1424, ""1"": 2, ""2"": 1}","{""0"": 1425, ""1"": 2, ""2"": 1}","{""0"": 1424, ""1"": 2}"
1433,2,4,1434,0,2,2,1,6,2,4.00837404047,1.49686629526,6.00139762404,0.999767116907,2.00139762404,0.999301675978,"{""0"": 1430, ""1"": 2, ""2"": 1}","{""0"": 1431, ""1"": 2, ""2"": 1}","{""0"": 1430, ""1"": 2}"
1447,2,4,1448,0,2,2,1,6,2,4.00829302004,1.49689655172,6.00138408304,0.999769372694,2.00138408304,0.999308437068,"{""0"": 1444, ""1"": 2, ""2"": 1}","{""0"": 1445, ""1"": 2, ""2"": 1}","{""0"": 1444, ""1"": 2}"
1453,2,4,1454,0,2,2,1,6,2,4.00825877495,1.49690934066,6.00137835975,0.999770326137,2.00137835975,0.999311294766,"{""0"": 1450, ""1"": 2, ""2"": 1}","{""0"": 1451, ""1"": 2, ""2"": 1}","{""0"": 1450, ""1"": 2}"
1471,2,4,1472,0,2,2,1,6,2,4.00815771584,1.49694708277,6.00136147039,0.999773139746,2.00136147039,0.999319727891,"{""0"": 1468, ""1"": 2, ""2"": 1}","{""0"": 1469, ""1"": 2, ""2"": 1}","{""0"": 1468, ""1"": 2}"
1487,2,4,1488,0,2,2,1,6,2,4.00806993948,1.49697986577,6.00134680135,0.999775583483,2.00134680135,0.99932705249,"{""0"": 1484, ""1"": 2, ""2"": 1}","{""0"": 1485, ""1"": 2, ""2"": 1}","{""0"": 1484, ""1"": 2}"
1489,2,4,1490,0,2,2,1,6,2,4.00805910007,1.49698391421,6.00134498991,0.999775885253,2.00134498991,0.999327956989,"{""0"": 1486, ""1"": 2, ""2"": 1}","{""0"": 1487, ""1"": 2, ""2"": 1}","{""0"": 1486, ""1"": 2}"
1499,2,4,1500,0,2,2,1,6,2,4.00800533689,1.49700399467,6.00133600534,0.999777382012,2.00133600534,0.999332443258,"{""0"": 1496, ""1"": 2, ""2"": 1}","{""0"": 1497, ""1"": 2, ""2"": 1}","{""0"": 1496, ""1"": 2}"
1523,2,4,1524,0,2,2,1,6,2,4.00787918582,1.49705111402,6.00131492439,0.999780893953,2.00131492439,0.999342969777,"{""0"": 1520, ""1"": 2, ""2"": 1}","{""0"": 1521, ""1"": 2, ""2"": 1}","{""0"": 1520, ""1"": 2}"
1531,2,4,1532,0,2,2,1,6,2,4.00783801437,1.49706649283,6.00130804447,0.999782040105,2.00130804447,0.999346405229,"{""0"": 1528, ""1"": 2, ""2"": 1}","{""0"": 1529, ""1"": 2, ""2"": 1}","{""0"": 1528, ""1"": 2}"
