lo_exclusive,hi_inclusive,prime_count,q_with_z,q_with_a,q_with_both,total_z,total_a,assigned_occurrences,actual_occurrences,max_z,max_a,mean_z,mean_a,mean_a_times_log_mid,heuristic_sum,heuristic_times_log_mid,heuristic_times_log_mid_squared,norm_gap_q25,norm_gap_median,norm_gap_q75,scaled_gap_median
14000000,14250000,15160,5899,37,18,14944,51,51,0,10,2,0.98575197889182054,0.0033641160949868074,0.055384980117733226,4.2490954548295844e-06,6.9954799608367869e-05,0.001151697823753214,0.057673130550165319,0.14135603857345783,0.28562127526232323,0.74006054262296161
14250000,14500000,15218,6105,33,7,15568,44,44,0,12,2,1.0229990800367985,0.0028913129189118147,0.047651731526120268,1.8115020749667348e-06,2.985536777105842e-05,0.00049204635040869154,0.06426161770792585,0.1228287729696755,0.18179546382828521,0.75418251580594931
14500000,14750000,15144,5830,37,16,14790,54,54,0,10,2,0.97662440570522979,0.0035657686212361333,0.058828917020499111,3.8289381273923666e-06,6.3170751470380978e-05,0.0010422064051607781,0.037594053358491107,0.052977867484978083,0.10515056845323503,0.27254954776933565
14750000,15000000,15105,6070,38,21,15372,53,53,0,10,2,1.0176762661370407,0.0035087719298245615,0.057948043892617429,4.4430356313173619e-06,7.3377588777311884e-05,0.0012118450045325987,0.047177334485547652,0.10818457526595203,0.21921611549307646,0.46306880495827074
15000000,15250000,15103,6001,40,12,15234,54,54,0,10,2,1.0086737734224989,0.0035754485863735684,0.059108813900654415,3.1788695435986095e-06,5.2552624860313531e-05,0.00086879261379892885,0.012629003875851792,0.10230140206960642,0.14651897064115688,0.43249624545368248
15250000,15500000,15055,5927,25,12,15194,36,36,0,10,2,1.0092328130189305,0.0023912321487877782,0.039570715468591616,2.3403202976066049e-06,3.8728213255625479e-05,0.00064088428558565006,0.04944389040330846,0.092988996228870274,0.27687751403548777,0.3719559849154811
15500000,15750000,15164,5978,38,13,15272,50,50,0,12,2,1.0071221313637562,0.0032972830387760486,0.054617458301196055,3.0702776160568365e-06,5.0857253592135271e-05,0.00084241901429635269,0.10457338996544954,0.11501548894034418,0.14659954274317133,0.58639817097268532
15750000,16000000,15104,5881,26,13,14812,34,34,0,10,2,0.98066737288135597,0.0022510593220338984,0.037323140061789127,2.5200128603128644e-06,4.1782458606193291e-05,0.00069276386429294428,0.093645404019181325,0.18996587959718061,0.23494608467409292,0.80958172991420763
