p,zp_size
5039,0
5051,0
5059,0
5077,0
5081,0
5087,0
5099,4
5101,2
5107,0
5113,0
5119,0
5147,0
5153,0
5167,0
5171,0
5179,0
5189,0
5197,0
5209,2
5227,2
5231,0
5233,4
5237,2
5261,0
5273,2
5279,0
5281,0
5297,2
5303,0
5309,0
5323,0
5333,0
5347,4
5351,0
5381,0
5387,0
5393,4
5399,0
5407,4
5413,0
5417,0
5419,0
5431,0
5437,0
5441,0
5443,2
5449,4
5471,0
5477,2
5479,2
5483,0
5501,2
5503,0
5507,0
5519,2
5521,0
5527,2
5531,0
5557,0
5563,0
5569,2
5573,2
5581,2
5591,0
5623,2
5639,2
5641,2
5647,6
5651,0
5653,0
5657,0
5659,0
5669,0
5683,2
5689,0
5693,0
5701,0
5711,0
5717,2
5737,0
5741,2
5743,2
5749,2
5779,0
5783,2
5791,0
5801,4
5807,2
5813,2
5821,0
5827,2
5839,4
5843,0
5849,0
5851,0
5857,2
5861,0
5867,2
5869,0
5879,0
5881,2
5897,6
5903,2
5923,0
5927,0
5939,0
5953,2
5981,0
5987,0
6007,0
6011,0
6029,0
6037,2
6043,4
6047,0
6053,0
6067,0
6073,0
6079,0
6089,2
6091,2
6101,0
6113,0
6121,2
6131,4
6133,2
6143,2
6151,2
6163,0
6173,2
6197,0
6199,2
6203,4
6211,0
6217,0
6221,0
6229,0
6247,6
6257,2
6263,2
6269,4
6271,0
6277,0
6287,0
6299,0
6301,0
6311,2
6317,0
6323,0
6329,0
6337,0
6343,0
6353,0
6359,0
6361,0
6367,2
6373,0
6379,2
6389,2
6397,4
6421,0
6427,2
6449,0
6451,0
6469,0
6473,0
6481,0
6491,0
6521,2
6529,0
6547,4
6551,0
6553,2
6563,0
6569,0
6571,0
6577,2
6581,2
6599,0
6607,0
6619,0
6637,2
6653,0
6659,2
6661,0
6673,0
6679,2
6689,2
6691,0
6701,0
6703,2
6709,0
6719,2
6733,2
6737,0
6761,0
6763,0
6779,4
6781,6
6791,0
6793,0
6803,0
6823,0
6827,4
6829,0
6833,2
6841,8
6857,0
6863,0
6869,0
6871,0
6883,2
6899,2
6907,0
6911,0
6917,0
6947,2
6949,4
6959,0
6961,0
6967,0
6971,0
6977,0
6983,0
6991,0
6997,0
7001,2
7013,0
7019,0
7027,0
7039,0
7043,0
7057,0
7069,2
7079,0
7103,0
7109,2
7121,0
7127,0
7129,0
7151,0
7159,0
7177,0
7187,0
7193,0
7207,0
7211,2
7213,0
7219,0
7229,2
7237,4
7243,0
7247,2
7253,2
7283,2
7297,4
7307,2
7309,0
7321,0
7331,0
7333,4
7349,0
7351,2
7369,0
7393,2
7411,0
7417,0
7433,2
7451,2
7457,0
7459,2
7477,4
7481,2
7487,0
7489,6
7499,0
7507,2
7517,0
7523,0
7529,4
7537,4
7541,0
7547,2
7549,4
7559,2
7561,4
7573,0
7577,0
7583,0
7589,0
7591,0
7603,0
7607,0
7621,0
7639,4
7643,0
7649,0
7669,0
7673,0
7681,0
7687,2
7691,0
7699,0
7703,0
7717,0
7723,2
7727,6
7741,0
7753,2
7757,0
7759,0
7789,0
7793,0
7817,0
7823,2
7829,0
7841,2
7853,0
7867,0
7873,2
7877,2
7879,2
7883,2
7901,0
7907,0
7919,0
7927,2
7933,2
7937,2
7949,0
7951,0
7963,0
7993,0
8009,2
8011,4
8017,2
8039,2
8053,2
8059,2
8069,0
8081,0
8087,2
8089,4
8093,4
8101,0
8111,2
8117,0
8123,0
8147,0
8161,0
8167,0
8171,0
8179,0
8191,0
8209,0
8219,0
8221,0
8231,2
8233,2
8237,4
8243,2
8263,0
8269,0
8273,2
8287,0
8291,0
8293,2
8297,0
8311,2
8317,0
8329,2
8353,0
8363,0
8369,2
8377,0
8387,0
8389,2
8419,0
8423,0
8429,2
8431,0
8443,0
8447,0
8461,2
8467,0
8501,2
8513,0
8521,0
8527,2
8537,4
8539,0
8543,0
8563,2
8573,4
8581,2
8597,0
8599,0
8609,4
8623,0
8627,0
8629,0
8641,0
8647,4
8663,4
8669,2
8677,0
8681,2
8689,0
8693,0
8699,2
8707,0
8713,0
8719,0
8731,2
8737,2
8741,0
8747,0
8753,6
8761,2
8779,2
8783,2
8803,0
8807,0
8819,0
8821,0
8831,0
8837,0
8839,0
8849,0
8861,0
8863,2
8867,0
8887,0
8893,2
8923,0
8929,2
8933,0
8941,2
8951,2
8963,0
8969,2
8971,2
8999,0
9001,0
9007,0
9011,0
9013,0
9029,2
9041,2
9043,0
9049,2
9059,2
9067,2
9091,4
9103,0
9109,0
9127,0
9133,0
9137,2
9151,0
9157,4
9161,0
9173,2
9181,0
9187,0
9199,2
9203,0
9209,0
9221,0
9227,2
9239,0
9241,0
9257,2
9277,0
9281,0
9283,0
9293,2
9311,0
9319,2
9323,0
9337,4
9341,0
9343,0
9349,0
9371,0
9377,0
9391,4
9397,2
9403,2
9413,2
9419,2
9421,0
9431,2
9433,0
9437,0
9439,0
9461,4
9463,2
9467,0
9473,0
9479,0
9491,0
9497,0
9511,0
9521,2
9533,0
9539,2
9547,0
9551,0
9587,0
9601,2
9613,2
9619,0
9623,2
9629,0
9631,2
9643,2
9649,0
9661,0
9677,2
9679,4
9689,0
9697,0
9719,0
9721,2
9733,2
9739,0
9743,0
9749,0
9767,2
9769,0
9781,2
9787,6
9791,2
9803,0
9811,0
9817,0
9829,0
9833,0
9839,0
9851,4
9857,2
9859,2
9871,0
9883,0
9887,2
9901,0
9907,2
9923,0
9929,2
9931,0
9941,0
9949,2
9967,0
9973,0
10007,2
10009,0
10037,2
10039,2
10061,0
10067,4
10069,2
10079,0
10091,4
10093,2
10099,0
10103,0
10111,0
10133,2
10139,0
10141,0
10151,0
10159,4
10163,0
10169,0
10177,2
10181,0
10193,0
10211,2
10223,2
10243,0
10247,0
10253,0
10259,0
10267,2
10271,2
10273,0
10289,2
10301,0
10303,0
10313,2
10321,2
10331,2
10333,2
10337,2
10343,0
10357,2
10369,0
10391,4
10399,0
10427,0
10429,0
10433,2
10453,0
10457,2
10459,2
10463,0
10477,0
10487,0
10499,0
10501,2
10513,2
10529,0
10531,0
10559,0
10567,0
10589,2
10597,2
10601,0
10607,4
10613,0
10627,0
10631,2
10639,0
10651,2
10657,0
10663,0
10667,0
10687,2
10691,0
10709,0
10711,0
10723,0
10729,4
10733,2
10739,2
10753,0
10771,2
10781,0
10789,0
10799,0
10831,0
10837,0
10847,6
10853,0
10859,0
10861,0
10867,2
10883,2
10889,0
10891,0
10903,0
10909,0
10937,0
10939,0
10949,0
10957,0
10973,0
10979,2
10987,4
10993,0
11003,0
11027,0
11047,0
11057,0
11059,4
11069,0
11071,2
