q	t	sign	n6	nOther	rawGcdBits	rawGcdSha256	qVal	qFreeGcd	primitiveGcd	factors	omega	rawWindow	m5Capable	rawLeaves	assignedLeaves	sizeCertified	thresholdRatio
15313	6338	+	98216	190094	19	38428e78aa5c1a9319577f62d360cc4476e8c4f10985924b946317ffa48f797f	1	25	1	1	0	true	false	0	0	true	0.00000000000000
15313	6338	-	98216	8974	19	38428e78aa5c1a9319577f62d360cc4476e8c4f10985924b946317ffa48f797f	1	25	1	1	0	false	false	0	0	true	NA
15313	8974	+	100852	192730	30	daed8b473712474148339f3a763cccf5e81f812f27848e36f8d87c46e5638040	1	53125	1	1	0	true	false	0	0	true	0.00000000000000
15313	8974	-	100852	6338	21	a0a6b4c62aaa6f4ae9441fb5dfb916bc8bff9438d552141473009feb13bb199d	1	125	1	1	0	false	false	0	0	true	NA
15329	6643	+	98617	190591	25	610014897d3aab3bfe5dc42b18d83b7da8c671cff0a656bfaac310d97f2f1945	1	2125	1	1	0	true	false	0	0	true	0.00000000000000
15329	6643	-	98617	8685	23	a1cb5e7618847d817be5b992e6a7329f0e6f75ad57aa1f095f6b7e830531b84a	1	425	17	17	1	false	false	0	0	true	NA
15329	8685	+	100659	192633	32	ef32ecdc7dfe972710412d9e9af11be2cd0ba1f36a41a971422eec2cad123169	1	265625	1	1	0	true	false	0	0	true	0.00000000000000
15329	8685	-	100659	6643	25	610014897d3aab3bfe5dc42b18d83b7da8c671cff0a656bfaac310d97f2f1945	1	2125	17	17	1	false	false	0	0	true	NA
15349	1025	+	93119	185213	30	7d286edbd991e28e1309a73ddf690cafe0b981d71752da6cdf0e9801f03d2fb6	1	40375	19	19	1	true	false	0	0	true	0.155032554524155
15349	1025	-	93119	14323	17	2476103a3b881d421893ae3760f8cea859dbf559f76524ec1aa3987eaae4579e	1	5	1	1	0	true	false	0	0	true	0.00000000000000
15349	14323	+	106417	198511	29	a4657788dd473aea68ad36314de15dc29f8659584f243d9b346c49bb7a5383b3	1	34375	11	11	1	true	false	0	0	true	0.124499133741599
15349	14323	-	106417	1025	29	bb070b41bb4d798f43347edde84ed033f31b224cc6c2bd9246e2632f3a6f53dd	1	23375	187	11*17	2	false	false	0	0	true	NA
15373	488	+	92726	184964	24	0c2d70fd51263fce989fd0269ab676abb270639cd3432fb854137e7e676bd87c	1	625	1	1	0	true	false	0	0	true	0.00000000000000
15373	488	-	92726	14884	25	e522f6cbf5942518f4c9c6f4181aa1700b7d1e9357f1446a5bf18437c7ad3c0c	1	1525	61	61	1	true	true	0	0	true	0.216551496095614
15373	14884	+	107122	199360	21	e5c9e253f1ffdb117cf992dd74a74794d98ad68cec62a4f2cde7152f5b2a38b0	1	125	1	1	0	true	false	0	0	true	0.00000000000000
15373	14884	-	107122	488	24	0c2d70fd51263fce989fd0269ab676abb270639cd3432fb854137e7e676bd87c	1	625	1	1	0	false	false	0	0	true	NA
15377	6378	+	98640	190902	24	0bb95e17298c6f6e3d154f580f4854ac8288a8c5d2fceaed7849df7accd8f87b	1	625	1	1	0	true	false	0	0	true	0.00000000000000
15377	6378	-	98640	8998	19	68e11d305d2d5beb335508307f5ed3d5b7b683534770c37fae1b719ef916055c	1	25	1	1	0	false	false	0	0	true	NA
15377	8998	+	101260	193522	19	68e11d305d2d5beb335508307f5ed3d5b7b683534770c37fae1b719ef916055c	1	25	1	1	0	true	false	0	0	true	0.00000000000000
