q	t	sign	prime	exponent
17789	14095	+	11	1
17789	14095	-	11	1
17789	14095	-	19	1
17827	7822	-	31	1
17827	10004	-	31	1
17851	5830	+	19	1
17851	12020	-	17	1
17863	3992	+	11	1
17863	3992	-	379	1
17863	13967	-	17	1
17903	6226	+	37	1
17903	6226	-	19	1
17903	6226	-	37	1
17903	11676	+	11	1
17903	11676	+	41	1
17903	11676	-	11	1
17911	6433	+	11	1
17929	13101	+	11	1
17929	13101	-	41	1
17929	13200	+	19	2
17939	13213	-	41	1
17939	14213	+	19	1
17939	14213	-	19	1
17959	3867	-	11	1
17959	14091	+	11	1
17959	14091	-	17	1
18097	14292	+	11	1
18119	1098	-	31	1
18119	17020	+	11	1
18211	10873	+	41	1
18217	11421	-	41	2
18311	10123	+	41	1
18341	3114	+	19	1
18353	17179	+	11	1
18353	17179	+	19	1
18397	875	+	11	1
18397	3718	+	499	1
18397	3718	-	17	2
18397	3718	-	31	1
18397	14678	+	11	1
18397	14678	-	19	1
18427	1080	-	17	1
18433	17719	+	11	1
18433	17719	+	31	1
18433	17719	+	37	1
18433	17719	-	11	1
18433	17719	-	19	1
18433	17719	-	37	1
18481	3143	-	17	1
18481	15337	+	31	1
18481	15337	-	31	1
18503	2845	+	41	1
18503	15657	+	19	1
18517	17053	+	11	1
18553	9133	-	41	1
18553	9419	+	19	1
18617	6106	+	19	1
18617	6106	-	19	1
18617	12510	+	11	1
18617	12510	+	193	1
18617	12510	-	11	1
18617	12510	-	17	1
18661	5652	+	19	1
18661	5652	-	41	1
18661	5922	-	19	1
18661	6357	+	19	1
18661	6357	-	19	1
18661	12303	+	11	1
18661	12303	-	11	1
18661	12738	+	11	1
18661	12738	+	31	1
18661	13008	+	11	1
18679	2655	-	17	2
18701	18402	+	11	1
18701	18402	-	11	1
18731	9061	+	41	1
18731	9061	-	17	1
18731	9061	-	41	1
18757	8648	+	19	1
18859	130	-	17	2
18859	18728	+	31	1
18911	4063	-	19	1
18917	1167	-	17	1
18917	3361	-	17	1
18917	15555	+	11	1
18917	15555	-	11	1
18917	17749	-	19	1
18947	18224	+	11	1
18947	18224	+	31	1
18947	18224	-	11	1
18959	15346	+	181	1
18959	15346	-	181	1
19013	13453	+	31	1
19013	13453	+	37	1
19013	14211	+	37	1
19031	3569	-	17	1
19031	5109	-	19	1
19031	13921	+	37	1
19031	15461	+	11	1
19031	15461	+	19	1
19031	15461	-	11	1
19031	16466	+	11	1
19081	18363	-	37	1
19081	18363	-	59	1
19121	12606	+	31	1
19139	4109	+	59	1
19139	4109	-	17	1
19163	1831	-	17	2
19163	1831	-	19	1
19163	17331	+	11	1
19163	17331	-	11	1
19213	7013	+	97	1
19213	7013	-	41	1
19213	12199	+	11	1
19213	12199	+	31	1
19213	12199	-	11	1
19213	12261	+	11	1
19213	12261	+	31	1
19213	12261	-	11	1
19259	14066	+	61	1
19267	6178	+	11	1
19273	9457	+	11	1
19273	9815	-	1973	1
19333	7287	+	31	1
19333	12045	+	61	1
19333	12045	+	73	1
19379	6486	-	73	1
19379	12892	+	11	1
19381	19003	+	97	1
19381	19003	-	17	1
19387	8029	+	11	1
19387	8029	-	11	1
19387	8029	-	19	1
19387	11357	+	31	1
19387	11357	-	17	1
19387	11357	-	31	1
19417	9369	-	17	1
19417	10047	+	11	1
19417	10047	+	19	1
19423	6726	+	31	1
19423	12696	+	97	1
19429	5848	+	59	1
19429	13580	+	19	1
19433	2489	+	11	1
19433	5643	+	31	1
19433	16943	+	19	1
19441	3934	+	11	1
19441	3934	-	17	1
19463	9710	+	19	1
19463	9710	+	31	1
19463	9710	-	19	1
19463	9752	+	19	1
19463	9752	-	17	1
19469	17986	+	31	1
19471	7828	+	11	1
19471	7828	+	31	1
19471	11642	+	11	1
19471	11642	-	11	1
19477	4073	+	11	1
19489	8664	-	19	1
19489	10824	+	31	1
19489	14992	+	31	1
19489	14992	-	19	1
19501	4452	+	19	1
19507	1622	-	41	1
19507	1622	-	193	1
19553	521	+	11	1
19553	521	+	31	1
19553	10858	+	31	1
19553	10858	-	17	1
19553	19031	-	17	1
19571	7562	+	11	1
19577	1664	+	11	1
19577	1664	-	11	1
19577	1664	-	17	1
19577	5941	+	11	1
19577	13635	+	11	1
19577	13635	-	11	1
19583	1454	-	17	2
19583	6933	+	11	2
19583	6933	-	11	2
19597	3576	-	17	1
19603	5012	+	11	1
19661	9281	+	31	1
19681	1332	-	17	1
19681	1332	-	41	1
19681	5742	+	11	1
19681	5742	-	11	1
19681	5742	-	17	1
19681	18348	+	11	1
19687	1492	+	19	1
19687	1492	-	41	1
19687	18194	-	19	1
19697	8765	+	19	1
19697	8765	+	31	1
19697	10931	+	19	1
19699	5504	+	31	1
19699	14194	-	11	1
19699	14194	-	41	1
19717	5875	+	11	1
19717	5875	+	31	1
19739	3873	+	31	1
19739	3873	-	17	1
19751	7163	+	11	1
19751	7163	-	11	1
19751	12587	+	11	1
19751	12587	+	61	1
19751	12587	-	11	1
19751	12587	-	61	1
19801	1201	+	19	1
19843	4833	+	11	1
19843	4833	-	11	1
19843	4833	-	17	1
19853	6750	+	31	1
19861	3038	+	11	1
19861	16822	+	31	1
19891	3070	-	59	1
19913	1304	+	19	1
19913	1304	-	19	1
19913	2022	+	11	1
19913	2022	+	19	1
19913	2022	-	19	1
19919	1239	+	19	1
19919	1239	+	31	1
19927	3314	+	11	1
19927	3314	+	193	1
19927	3314	-	11	1
19927	3314	-	17	2
19927	4362	+	11	1
19927	4362	-	17	2
19927	15564	+	11	1
19927	16612	+	11	1
19927	16612	+	31	1
19927	16612	-	11	1
19927	16612	-	163	1
19937	5201	+	11	1
19937	5201	+	97	1
19937	14735	+	19	1
19949	593	-	17	1
