lo_exclusive,hi_inclusive,prime_count,q_with_z,q_with_a,q_with_both,total_z,total_a,assigned_occurrences,actual_occurrences,max_z,max_a,mean_z,mean_a,mean_a_times_log_mid,heuristic_sum,heuristic_times_log_mid,heuristic_times_log_mid_squared,norm_gap_q25,norm_gap_median,norm_gap_q75,scaled_gap_median
10000000,10250000,15484,6118,53,23,15494,68,68,0,8,2,1.0006458279514336,0.0043916300697494186,0.070839268640213615,7.8909965253425023e-06,0.00012728586283899482,0.0020531869234303303,0.068305025848856268,0.13129156229991323,0.22963665724820698,0.66847943494135142
10250000,10500000,15546,6062,36,13,15386,52,52,0,12,2,0.98970796346327028,0.0033449118744371541,0.054036749032047721,5.3842027629712407e-06,8.6981309033527812e-05,0.0014051751864209052,0.024249914128372074,0.073462298529789902,0.10671487399165042,0.35213231013096591
10500000,10750000,15499,6131,35,17,15744,47,47,0,10,2,1.0158074714497709,0.0030324537066907542,0.049061220260688654,5.6476933116197885e-06,9.1372450275117463e-05,0.0014782893136391459,0.04288653122175666,0.092332112110721856,0.34031124428156345,0.61685423607908918
10750000,11000000,15409,5985,32,14,15322,43,43,0,14,2,0.9943539489908495,0.0027905769355571421,0.045212863703185016,5.6979176278474147e-06,9.2317531123149805e-05,0.0014957265284112947,0.024873295298922168,0.067684060575513072,0.22144912978167219,0.44826156914583248
11000000,11250000,15424,5972,45,19,15142,60,60,0,14,2,0.98171680497925307,0.0038900414937759337,0.063114777175894365,5.7593621410315927e-06,9.3443953949615244e-05,0.0015161006229370076,0.086550503562547731,0.14618064525606192,0.27338163536098925,0.69588015229795108
11250000,11500000,15347,6057,33,12,15438,44,44,0,10,2,1.005929497621685,0.0028670098390564929,0.04658010392931887,3.3423629466628448e-06,5.4303131891690737e-05,0.00088225910240855043,0.03708768429650202,0.12957527750526576,0.17227218968423602,0.64805725913975898
11500000,11750000,15418,5983,39,17,15420,54,54,0,10,2,1.0001297185108315,0.0035023997924503829,0.056979381210898655,4.6414428693697414e-06,7.5510095447269636e-05,0.0012284487119476302,0.034968205768398569,0.047706719098895727,0.12525103411874081,0.27974564614718855
11750000,12000000,15354,6100,26,15,15528,38,38,0,12,2,1.0113325517780383,0.0024749251009508924,0.040316396020556804,5.0476722731106095e-06,8.2226308289702653e-05,0.0013394621142443304,0.037900141578090282,0.063888456083510042,0.1519734686393665,0.40836753972754497
