lo_exclusive,hi_inclusive,prime_count,q_with_z,q_with_a,q_with_both,total_z,total_a,assigned_occurrences,actual_occurrences,max_z,max_a,mean_z,mean_a,mean_a_times_log_mid,heuristic_sum,heuristic_times_log_mid,heuristic_times_log_mid_squared,norm_gap_q25,norm_gap_median,norm_gap_q75,scaled_gap_median
4000000,4250000,16437,6526,42,18,16676,57,57,0,10,2,1.0145403662468819,0.0034677860923526191,0.052823317207020888,1.6975837688466037e-05,0.00025858574756102906,0.0039389272016383432,0.021133602853301743,0.045748865313725434,0.19849856629290152,0.25970262927195714
4250000,4500000,16365,6531,54,23,16566,74,74,0,10,2,1.012282309807516,0.0045218454017720748,0.069145423999710659,2.0114561765971053e-05,0.00030758015330010672,0.0047033364089575517,0.08607395396284806,0.13593943070354114,0.22127269978220671,0.75438424280327354
4500000,4750000,16271,6433,48,18,16398,66,66,0,10,2,1.007805297769037,0.0040562964783971483,0.062251929033820402,1.2490743693115048e-05,0.00019169528019083475,0.0029419449594260587,0.065681691370079107,0.14226590003181488,0.25297159224914195,0.81103539134121194
4750000,5000000,16294,6428,44,14,16272,65,65,0,10,4,0.99864980974591877,0.0039891984779673499,0.061432183199761597,1.3109472621344588e-05,0.00020188103654773608,0.0031088934005804548,0.021425696748030621,0.070873718630015167,0.10301963986134233,0.35571222267483626
5000000,5250000,16172,6295,40,15,15952,56,56,0,10,2,0.98639624041553298,0.0034627751669552313,0.053498633480544754,1.0516139268538644e-05,0.00016247057727764586,0.0025101121054856151,0.033296083418438829,0.068578957025412279,0.14400859497811297,0.45193386211109049
5250000,5500000,16115,6305,43,15,16032,63,63,0,10,2,0.99484951908160102,0.0039094011790257524,0.060585042216234196,9.6810649424849573e-06,0.00015003006889784652,0.0023250563555991294,0.064989884674843651,0.11328143821923477,0.14529132553758412,0.45312575287693907
5500000,5750000,16026,6239,32,15,16132,45,45,0,10,2,1.0066142518407588,0.0028079371022089105,0.043643012465522532,9.6129247291692576e-06,0.00014941110805339193,0.0023222567364960065,0.050492795479176344,0.087932670109755293,0.17551435215266015,0.43057211448742011
5750000,6000000,16023,6327,37,15,16252,49,49,0,10,2,1.0142919553142358,0.0030581039755351682,0.047664271003041277,8.5232502675554583e-06,0.00013284522495949892,0.0020705544528849592,0.024394039917007053,0.051388126891495037,0.26145337474637531,0.28684070756797847
