X,q,width,scan_mode,shell_prime_count,candidate_row_count,event_row_count,rows_scanned,low_active_rows,singular_active_rows,low_target_events,singular_events,distinct_low_target_primes,distinct_singular_primes,multi_low_hit_rows,max_low_hits_in_row,target_support_preserved_rows,intersection_changed_from_width1_rows,carrier_changed_from_width1_rows,nuisance_free_rows,distinct_nuisance_primes,max_log_Gamma_intersection_over_X,mean_log_Gamma_intersection_over_X,max_log_capped_carrier_over_X,mean_log_capped_carrier_over_X,max_log_target_radical_over_X,mean_log_target_radical_over_X_on_low_active_rows,max_log_nuisance_part_over_X,mean_log_nuisance_part_over_X,mean_log_removed_from_width1_over_X,max_log_removed_from_width1_over_X
64,2,8,event-supported,13,247,75,75,4,73,4,73,73;97,73,0,1,75,32,30,15,5;11;17;31;41;59;61;97;151;163;179;181;193,0.150642941996,0.042322169402,0.150642941996,0.042322169402,0.071479859039,0.069259143904,0.150642941996,0.038628348393,0.014690957952,0.058024563542
64,3,1,event-supported,13,307,4,4,4,0,4,0,73;97,-,0,1,4,0,0,0,5;73;151,0.200169791253,0.137051834685,0.200169791253,0.137051834685,0.071479859039,0.069259143904,0.128689932214,0.067792690782,0.000000000000,0.000000000000
64,3,2,event-supported,13,307,4,4,4,0,4,0,73;97,-,0,1,4,1,1,0,5;73;151,0.175022323871,0.130764967840,0.175022323871,0.130764967840,0.071479859039,0.069259143904,0.103542464832,0.061505823936,0.006286866845,0.025147467382
64,3,4,event-supported,13,307,4,4,4,0,4,0,73;97,-,0,1,4,1,1,0,5;73;151,0.175022323871,0.130764967840,0.175022323871,0.130764967840,0.071479859039,0.069259143904,0.103542464832,0.061505823936,0.006286866845,0.025147467382
64,3,8,event-supported,13,307,4,4,4,0,4,0,73;97,-,0,1,4,1,1,0,5;73;151,0.149874856489,0.124478100994,0.149874856489,0.124478100994,0.071479859039,0.069259143904,0.078394997450,0.055218957091,0.012573733691,0.050294934764
128,1,1,event-supported,23,371,25,25,25,0,30,0,139;151;163;179;181;191;193;197;211;227;233;241;251,-,4,3,25,0,0,3,5;11;17;19;31;37;41;61;73;139,0.136875478125,0.086593431693,0.136875478125,0.086090482345,0.123452610377,0.049330523657,0.073258790544,0.036759958688,0.000000000000,0.000000000000
128,1,2,event-supported,23,371,25,25,25,0,30,0,139;151;163;179;181;191;193;197;211;227;233;241;251,-,4,3,25,1,0,3,5;11;17;19;31;37;41;61;73;139,0.136875478125,0.086090482345,0.136875478125,0.086090482345,0.123452610377,0.049330523657,0.073258790544,0.036759958688,0.000000000000,0.000000000000
128,1,4,event-supported,23,371,25,25,25,0,30,0,139;151;163;179;181;191;193;197;211;227;233;241;251,-,4,3,25,4,3,3,5;11;17;19;31;37;41;61;139,0.136026344068,0.083361385252,0.136026344068,0.083361385252,0.123452610377,0.049330523657,0.073258790544,0.034030861595,0.002729097093,0.033519214384
128,1,8,event-supported,23,371,25,25,25,0,30,0,139;151;163;179;181;191;193;197;211;227;233;241;251,-,4,3,25,8,7,4,5;11;17;19;31;37;41;61;139,0.136026344068,0.079718226666,0.136026344068,0.079718226666,0.123452610377,0.049330523657,0.066015503451,0.030387703009,0.006372255679,0.058666681766
128,2,1,event-supported,23,491,29,29,29,0,30,0,139;151;163;179;181;191;193;197;211;227;233;241;251,-,1,2,29,0,0,1,5;11;17;19;31;37;41;73;97;139;193;271;293;307;463,0.173058848786,0.089684335717,0.173058848786,0.089684335717,0.080472527856,0.042526313497,0.130208872743,0.047158022220,0.000000000000,0.000000000000
128,2,2,event-supported,23,491,29,29,29,0,30,0,139;151;163;179;181;191;193;197;211;227;233;241;251,-,1,2,29,0,0,1,5;11;17;19;31;37;41;73;97;139;193;271;293;307;463,0.173058848786,0.089684335717,0.173058848786,0.089684335717,0.080472527856,0.042526313497,0.130208872743,0.047158022220,0.000000000000,0.000000000000
128,2,4,event-supported,23,491,29,29,29,0,30,0,139;151;163;179;181;191;193;197;211;227;233;241;251,-,1,2,29,6,6,1,5;11;17;19;31;37;41;73;97;139;193;271;293;307;463,0.173058848786,0.087082873575,0.173058848786,0.087082873575,0.080472527856,0.042526313497,0.130208872743,0.044556560077,0.002601462143,0.012573733691
128,2,8,event-supported,23,491,29,29,29,0,30,0,139;151;163;179;181;191;193;197;211;227;233;241;251,-,1,2,29,9,9,1,5;11;17;19;31;37;41;73;97;139;193;271;293;307;463,0.160485115095,0.085018884598,0.160485115095,0.085018884598,0.080472527856,0.042526313497,0.117635139052,0.042492571101,0.004665451120,0.025147467382
128,3,1,event-supported,23,611,29,29,29,0,30,0,139;151;163;179;181;191;193;197;211;227;233;241;251,-,1,2,29,0,0,6,5;11;17;19;41;73;181;307,0.136273412546,0.070029047346,0.136273412546,0.069595470322,0.083086420799,0.042526313497,0.087829934418,0.027069156825,0.000000000000,0.000000000000
128,3,2,event-supported,23,611,29,29,29,0,30,0,139;151;163;179;181;191;193;197;211;227;233;241;251,-,1,2,29,1,0,6,5;11;17;19;41;73;181;307,0.136273412546,0.069595470322,0.136273412546,0.069595470322,0.083086420799,0.042526313497,0.087829934418,0.027069156825,0.000000000000,0.000000000000
128,3,4,event-supported,23,611,29,29,29,0,30,0,139;151;163;179;181;191;193;197;211;227;233;241;251,-,1,2,29,3,2,7,5;11;17;19;41;73;181;307,0.136273412546,0.068728316274,0.136273412546,0.068728316274,0.083086420799,0.042526313497,0.087829934418,0.026202002777,0.000867154048,0.012573733691
128,3,8,event-supported,23,611,29,29,29,0,30,0,139;151;163;179;181;191;193;197;211;227;233;241;251,-,1,2,29,5,4,7,5;11;17;19;41;73;181;307,0.136273412546,0.067097904322,0.136273412546,0.067097904322,0.083086420799,0.042526313497,0.087829934418,0.024571590824,0.002497566000,0.025147467382
