lo_exclusive,hi_inclusive,prime_count,q_with_z,q_with_a,q_with_both,total_z,total_a,assigned_occurrences,actual_occurrences,max_z,max_a,mean_z,mean_a,mean_a_times_log_mid,heuristic_sum,heuristic_times_log_mid,heuristic_times_log_mid_squared,norm_gap_q25,norm_gap_median,norm_gap_q75,scaled_gap_median
6000000,6250000,15967,6391,36,12,16198,47,47,0,10,2,1.0144673388864534,0.0029435711154255652,0.046001803580921152,4.894919456170195e-06,7.6497259463906682e-05,0.0011954907037564941,0.084061679420251514,0.13322991727907188,0.16011326971968881,0.53291966911628752
6250000,6500000,15941,6211,40,11,15854,54,54,0,10,2,0.99454237500784137,0.0033874913744432597,0.053074857979202889,5.3018643205447677e-06,8.3069051617633846e-05,0.0013015171493381582,0.077198609551716479,0.20665200954713833,0.35139780372176377,0.95580256865549962
6500000,6750000,15950,6198,47,16,15684,67,67,0,10,4,0.9833228840125392,0.004200626959247649,0.065976563153545428,1.176390792020266e-05,0.00018476818374006594,0.0029020357821718345,0.03622771072250671,0.064056843719494716,0.12949215489032273,0.27785593997374936
6750000,7000000,15941,6174,30,12,15646,41,41,0,10,2,0.98149426008405993,0.0025719841917069193,0.040491781585985404,4.914335871048584e-06,7.7368366171259799e-05,0.0012180413063083778,0.031669743326215083,0.067315572582216293,0.18721464367886412,0.26926229032886517
7000000,7250000,15846,6194,41,12,15806,58,58,0,12,2,0.99747570364760818,0.0036602297109680675,0.057755204876871219,5.8901575859688157e-06,9.2941505041417883e-05,0.0014665351874355841,0.082940649986264992,0.11714967584039659,0.22085100351131207,0.62001214370470725
7250000,7500000,15767,6209,42,14,15740,57,57,0,12,2,0.9982875626308112,0.0036151455571763812,0.057168489137492166,7.0448126090276999e-06,0.00011140389418494952,0.0017616973407734583,0.044027220956875862,0.10829409134536636,0.17673479777149947,0.54677709634423877
7500000,7750000,15765,6076,36,13,15496,49,49,0,10,2,0.98293688550586744,0.0031081509673326988,0.049254690843160781,7.5865765888115852e-06,0.00012022404586111519,0.0019051835876186254,0.0281373716339463,0.081363514094656503,0.20020917658580117,0.54294747583727521
7750000,8000000,15751,6103,35,16,15586,44,44,0,12,2,0.98952447463653104,0.0027934734302583965,0.04435813374882501,6.3371409784753304e-06,0.00010062875274327072,0.0015979044671817595,0.027088297716336297,0.076487226543892367,0.22953113369991679,0.30594890617556947
