lo_exclusive,hi_inclusive,primes,qZ,qA,sumZ,sumA,occ,hits,maxZ,maxA,maxK,meanZ,meanA,meanAlog,heur_sum,median_linear,median_norm
7000000,7250000,15846,6194,41,15806,58,58,0,12,2,1,0.99747570364760818,0.0036602297109680675,0.057755204876871219,5.8901575859688157e-06,830728,0.11714967584039659
7250000,7500000,15767,6209,42,15740,57,57,0,12,2,1,0.9982875626308112,0.0036151455571763812,0.057168489137492166,7.0448126090276999e-06,799982.5,0.10829409134536636
7500000,7750000,15765,6076,36,15496,49,49,0,10,2,1,0.98293688550586744,0.0031081509673326988,0.049254690843160781,7.5865765888115852e-06,620378,0.081363514094656503
7750000,8000000,15751,6103,35,15586,44,44,0,12,2,1,0.98952447463653104,0.0027934734302583965,0.04435813374882501,6.3371409784753304e-06,601002,0.076487226543892367
8000000,8250000,15702,6135,31,15604,45,45,0,10,2,1,0.99375875684626158,0.0028658769583492548,0.045597410067386539,4.943260854563289e-06,689458,0.085581032548716199
8250000,8500000,15640,6222,32,15842,40,40,0,10,2,1,1.0129156010230178,0.0025575447570332483,0.040769211344438373,4.7586047566327729e-06,1438210,0.16953392169595927
8500000,8750000,15731,6127,41,15604,55,55,0,10,2,1,0.99192676880045771,0.0034962812281482424,0.055836224883891256,6.0201515788246898e-06,350243,0.040881646522691141
8750000,9000000,15639,6147,34,15458,43,43,0,12,2,1,0.98842636997250466,0.0027495364153718267,0.043989142682588876,4.7362401636386719e-06,1402969,0.15891014736610592
9000000,9250000,15568,6205,20,15774,27,27,0,10,2,1,1.0132322713257964,0.0017343268242548818,0.027795238203409969,4.1630639930844036e-06,912682,0.099209320794616349
9250000,9500000,15521,6092,33,15400,42,42,0,12,2,1,0.99220411055988655,0.0027060112106178725,0.043441105563589426,4.2603343123863491e-06,1119558,0.11960677712918236
9500000,9750000,15597,6251,36,15994,47,47,0,10,2,1,1.0254536128742706,0.0030134000128229786,0.048455093838077307,5.8076175663261641e-06,2257432,0.2344762442702199
9750000,10000000,15404,6077,28,15376,41,41,0,8,3,1,0.99818229031420413,0.0026616463256297065,0.042867189796079577,5.6660892617183514e-06,1509950.5,0.15284220668930373
10000000,10250000,15484,6118,53,15494,68,68,0,8,2,1,1.0006458279514336,0.0043916300697494186,0.070839268640213615,7.8909965253425023e-06,1345360,0.13129156229991323
10250000,10500000,15546,6062,36,15386,52,52,0,12,2,1,0.98970796346327028,0.0033449118744371541,0.054036749032047721,5.3842027629712407e-06,771099,0.073462298529789902
10500000,10750000,15499,6131,35,15744,47,47,0,10,2,1,1.0158074714497709,0.0030324537066907542,0.049061220260688654,5.6476933116197885e-06,987897,0.092332112110721856
10750000,11000000,15409,5985,32,15322,43,43,0,14,2,1,0.9943539489908495,0.0027905769355571421,0.045212863703185016,5.6979176278474147e-06,736473,0.067684060575513072
11000000,11250000,15424,5972,45,15142,60,60,0,14,2,1,0.98171680497925307,0.0038900414937759337,0.063114777175894365,5.7593621410315927e-06,1612111,0.14618064525606192
11250000,11500000,15347,6057,33,15438,44,44,0,10,2,1,1.005929497621685,0.0028670098390564929,0.04658010392931887,3.3423629466628448e-06,1475194.5,0.12957527750526576
11500000,11750000,15418,5983,39,15420,54,54,0,10,2,1,1.0001297185108315,0.0035023997924503829,0.056979381210898655,4.6414428693697414e-06,554829,0.047706719098895727
11750000,12000000,15354,6100,26,15528,38,38,0,12,2,1,1.0113325517780383,0.0024749251009508924,0.040316396020556804,5.0476722731106095e-06,750785,0.063888456083510042
12000000,12250000,15298,6069,41,15496,54,54,0,10,2,1,1.0129428683488038,0.0035298731860373906,0.05757498494695662,4.9469132217935712e-06,1485615.5,0.12188939373481963
12250000,12500000,15345,6024,42,15392,58,58,0,8,2,1,1.0030628869338547,0.0037797328119908765,0.061727530417224091,5.3306273773005713e-06,1238825.5,0.10029149575790883
12500000,12750000,15323,6050,25,15284,31,31,0,12,2,1,0.9974548065000326,0.0020231025256150885,0.033080132841277594,2.2135904490913735e-06,922235,0.073288067832573314
12750000,13000000,15226,5954,40,15142,57,57,0,10,2,1,0.99448312097727576,0.0037435964797057665,0.061285661779673074,4.3457294186930012e-06,612115,0.047581739111334218
13000000,13250000,15194,5859,34,15004,46,46,0,10,2,1,0.98749506384098984,0.0030275108595498221,0.049620991895243535,4.1182710196982118e-06,1276985,0.096498294937467685
13250000,13500000,15194,5864,33,14818,50,50,0,10,2,1,0.97525338949585361,0.00329077267342372,0.053997952648237278,4.3343994284896168e-06,1493129.5,0.11226001127742216
13500000,13750000,15237,6048,32,15344,44,44,0,10,2,1,1.0070223797335434,0.0028877075539804425,0.047437575870223639,2.6319632946383295e-06,1699589,0.12440072840333091
13750000,14000000,15200,6021,40,15326,51,51,0,10,2,1,1.0082894736842105,0.003355263157894737,0.055179313164304959,4.1825133725564363e-06,2086556,0.15045939540525996
14000000,14250000,15160,5899,37,14944,51,51,0,10,2,1,0.98575197889182054,0.0033641160949868074,0.055384980117733226,4.2490954548295844e-06,1985550,0.14135603857345783
14250000,14500000,15218,6105,33,15568,44,44,0,12,2,1,1.0229990800367985,0.0028913129189118147,0.047651731526120268,1.8115020749667348e-06,1763202,0.1228287729696755
14500000,14750000,15144,5830,37,14790,54,54,0,10,2,1,0.97662440570522979,0.0035657686212361333,0.058828917020499111,3.8289381273923666e-06,777228.5,0.052977867484978083
14750000,15000000,15105,6070,38,15372,53,53,0,10,2,1,1.0176762661370407,0.0035087719298245615,0.057948043892617429,4.4430356313173619e-06,1599051,0.10818457526595203
15000000,15250000,15103,6001,40,15234,54,54,0,10,2,1,1.0086737734224989,0.0035754485863735684,0.059108813900654415,3.1788695435986095e-06,1536870.5,0.10230140206960642
15250000,15500000,15055,5927,25,15194,36,36,0,10,2,1,1.0092328130189305,0.0023912321487877782,0.039570715468591616,2.3403202976066049e-06,1434286,0.092988996228870274
15500000,15750000,15164,5978,38,15272,50,50,0,12,2,1,1.0071221313637562,0.0032972830387760486,0.054617458301196055,3.0702776160568365e-06,1805139,0.11501548894034418
15750000,16000000,15104,5881,26,14812,34,34,0,10,2,1,0.98066737288135597,0.0022510593220338984,0.037323140061789127,2.5200128603128644e-06,3016313,0.18996587959718061
16000000,16250000,15022,5906,28,14976,40,40,0,10,2,1,0.99693782452403146,0.0026627612834509385,0.044190870511639224,2.8488440923709462e-06,763645,0.047557085535246311
16250000,16500000,15046,5863,32,14988,41,41,0,10,2,1,0.99614515485843413,0.0027249767380034561,0.045265314363878054,1.5875559490882799e-06,1229560.5,0.074892051911102972
16500000,16750000,15023,5931,23,14982,36,36,0,12,2,1,0.99727085136124605,0.0023963256340278241,0.039842312001745518,1.3244479846345568e-06,612432,0.036725082922451462
16750000,17000000,15093,6030,33,15296,48,48,0,10,2,1,1.0134499436825017,0.0031802822500496919,0.05292417028733172,3.7888666422348498e-06,1912404,0.1137343449824757
17000000,17250000,14953,5851,37,14814,50,50,0,12,2,1,0.99070420651374302,0.0033438106065672439,0.055694676459949723,2.8059508231470622e-06,731283.5,0.042601684356271513
17250000,17500000,15122,5882,37,14998,53,53,0,12,2,1,0.99180002645152754,0.0035048274037825684,0.058427375765044434,2.645671228325213e-06,3175188.5,0.18269926075760096
17500000,17750000,14931,5882,38,15038,48,48,0,10,2,1,1.0071662983055387,0.0032147880249146074,0.053638188166888028,2.9448214215903153e-06,3214905.5,0.18130222422695794
17750000,18000000,15047,5945,35,15094,50,50,0,10,2,1,1.0031235462218382,0.0033229215125938727,0.055489179393049599,2.0151013458285601e-06,1835847,0.10208927316556117
18000000,18250000,14884,5922,39,15024,52,52,0,10,2,1,1.0094060736361192,0.0034936844934157483,0.058389259839603642,2.7528241872966359e-06,1716483,0.094184332828396417
18250000,18500000,14907,5864,42,14836,59,59,0,10,2,1,0.99523713691554305,0.0039578721406050852,0.066201354704550033,2.9436891507807159e-06,2660932,0.14560735276277176
18500000,18750000,14975,5937,31,15080,45,45,0,10,2,1,1.0070116861435727,0.0030050083472454091,0.050303885776316885,3.0057714921329054e-06,1967733.5,0.10514993694772015
18750000,19000000,14917,5843,30,14914,40,40,0,10,2,1,0.99979888717570553,0.0026815043239257225,0.044924177389821983,1.4831852960667806e-06,1166894.5,0.061918352574687793
19000000,19250000,14850,5808,33,14664,47,47,0,8,2,1,0.98747474747474751,0.0031649831649831648,0.053065712193320742,2.091631980301052e-06,4415620,0.23112818107980801
19250000,19500000,14933,5899,42,15002,55,55,0,12,2,1,1.0046206388535459,0.0036831179267394361,0.061800855643621685,1.8595695365460792e-06,2816431,0.14575567851693935
19500000,19750000,14849,5906,26,14954,36,36,0,10,2,1,1.007071183244663,0.0024244056838844366,0.0407113834991433,1.9360979235360653e-06,1658976,0.084759391989963198
19750000,19999999,14925,5952,34,15142,45,45,0,8,2,1,1.0145393634840871,0.003015075376884422,0.050668260884464633,2.8168434031471413e-06,3596000,0.18193847757464068
