lo_exclusive,hi_inclusive,log_span,primes,sumZ,sumA,qA,candidate_with_Z,occ,hits,maxZ,maxA,maxK,meanZ,meanA,meanAlog,heur_sum,heur_per_log,heur_per_log_times_log,heur_per_log_times_log2,min_cyclic,median_cyclic,median_normalized,median_scaled_A
1000000,2000000,0.69314718055994529,70435,70650,262,183,82,262,0,12,2,1,1.0030524597146304,0.0037197416057357848,0.05267929363015536,0.00019173862893069639,0.00027662036910516483,0.0039175209443857275,0.055480261266899943,1350,216730,0.15853010781186772,0.97138957767094314
2000000,4000000,0.69314718055994529,134213,135080,445,330,133,445,0,10,2,1,1.0064598809355279,0.0033156251629871919,0.04925437879577884,0.00016043510972770612,0.00023145893718863831,0.0034383760550563817,0.051077871693283726,185,306758,0.10486887739271085,0.68988411794696647
4000000,8000000,0.69314718055994529,256631,256290,892,647,239,892,0,12,4,1,0.99867124392610407,0.0034758076771707236,0.05404317339040416,0.00015475771030689468,0.00022326818119908779,0.0034714581903807144,0.053975545923471618,1896,585025,0.091612831495049729,0.64664415370676775
8000000,16000000,0.69314718055994529,491353,491518,1513,1115,471,1513,0,14,3,1,1.0003358074541113,0.0030792525943669825,0.050011760117176729,0.00014131307213347252,0.00020387166837974516,0.0033111869394373142,0.053778727741012236,280,1320233,0.11076516105005785,0.70496109910698668
16000000,19999999,0.22314350131420851,239477,239802,745,540,206,745,0,12,2,1,1.0013571240661943,0.0031109459363529691,0.051951773731888924,3.8850872457027158e-05,0.00017410712043243069,0.0029075316353521182,0.048554821822202138,5309,1740075,0.099619780749203413,0.72778070442345433
