sign,q,t,p,r,a_plus,a_minus,raw_plus,raw_minus,Zq,selected,nearest_zero,linear,cyclic,scaled_A
+,4626007,594001,4103543,3728785,2760026,-1,1,0,0,0,-1,-1,-1,-1
+,4634111,31264,4143499,2974936,1775109,-1,1,0,4,0,726050,694786,694786,1.19943
-,4636847,2274,4603843,200298,-1,30729,0,1,0,0,-1,-1,-1,-1
+,4653827,471737,4304633,2566901,357432,-1,1,0,0,0,-1,-1,-1,-1
+,4653827,1852036,4304633,3947200,1737731,-1,1,0,0,0,-1,-1,-1,-1
-,4657901,348632,4081669,3806024,-1,227599,0,1,2,0,1764864,1416232,1416232,1.2162
+,4660067,471991,4078457,3961651,3372854,-1,1,0,2,0,713116,241125,241125,0.206971
+,4662689,1152244,4355669,2994364,480815,-1,1,0,0,0,-1,-1,-1,-1
+,4662689,2032733,4355669,3874853,1361304,-1,1,0,0,0,-1,-1,-1,-1
+,4666289,1379101,4404943,2947177,110310,-1,1,0,0,0,-1,-1,-1,-1
+,4666289,2726556,4404943,4294632,1457765,-1,1,0,0,0,-1,-1,-1,-1
+,4671671,2917381,4497217,3964105,513612,-1,1,0,0,0,-1,-1,-1,-1
+,4671671,2936880,4497217,3983604,533111,-1,1,0,0,0,-1,-1,-1,-1
-,4675037,55072,4307041,2263048,-1,312923,0,1,4,0,469829,414757,414757,0.709739
+,4676333,1010641,4364023,2884501,394338,-1,1,0,0,0,-1,-1,-1,-1
+,4676333,2095824,4364023,3969684,1479521,-1,1,0,0,0,-1,-1,-1,-1
-,4681037,410853,4180819,3412161,-1,89364,0,1,4,0,306866,103987,103987,0.177716
+,4684259,333859,4204027,3215251,1892616,-1,1,0,2,0,2012793,1678934,1678934,1.43368
-,4685623,132369,4360457,2083365,-1,192796,0,1,0,0,-1,-1,-1,-1
+,4699151,1828975,4295479,4251007,2377560,-1,1,0,6,0,774116,1054859,1054859,2.69374
+,4700039,1262809,4363069,3284629,943380,-1,1,0,2,0,885180,377629,377629,0.642767
+,4700039,1397868,4363069,3419688,1078439,-1,1,0,2,0,885180,512688,512688,0.872653
+,4706213,1869944,4467017,3305120,273279,-1,1,0,0,0,-1,-1,-1,-1
+,4706213,2758561,4467017,4193737,1161896,-1,1,0,0,0,-1,-1,-1,-1
+,4710833,329165,4184507,3487121,2460570,-1,1,0,2,0,1551341,1222176,1222176,1.03776
-,4715453,93394,4344253,2320594,-1,277805,0,1,0,0,-1,-1,-1,-1
+,4717597,144738,4275707,2796078,1171711,-1,1,0,0,0,-1,-1,-1,-1
+,4717597,452655,4275707,3103995,1479628,-1,1,0,0,0,-1,-1,-1,-1
+,4724309,455375,4208261,3551663,2439690,-1,1,0,0,0,-1,-1,-1,-1
+,4730953,583979,4200263,3768119,2751996,-1,1,0,2,0,1017395,433416,433416,0.366451
+,4733329,750559,4196789,3969799,2992250,-1,1,0,2,0,113438,637121,637121,0.538413
-,4733381,364248,4310219,2903220,-1,58913,0,1,0,0,-1,-1,-1,-1
+,4734673,1637318,4456861,3304190,514201,-1,1,0,0,0,-1,-1,-1,-1
+,4734673,2275787,4456861,3942659,1152670,-1,1,0,0,0,-1,-1,-1,-1
+,4755857,721752,4365811,3062028,1036493,-1,1,0,2,0,425867,295885,295885,0.497719
+,4755857,989041,4365811,3329317,1303782,-1,1,0,2,0,425867,563174,563174,0.947335
+,4762969,1222705,4481677,2910457,116532,-1,1,0,0,0,-1,-1,-1,-1
+,4762969,2677392,4481677,4365144,1571219,-1,1,0,0,0,-1,-1,-1,-1
+,4764373,7128,4138451,3762660,3379741,-1,1,0,0,0,-1,-1,-1,-1
-,4774883,40915,4480013,1810135,-1,253954,0,1,0,0,-1,-1,-1,-1
+,4789963,3109886,4625611,4095998,456499,-1,1,0,2,0,3698738,588852,588852,0.983476
+,4789963,3182999,4625611,4169111,529612,-1,1,0,2,0,3698738,515739,515739,0.861366
+,4790363,1083260,4486973,2903600,236967,-1,1,0,0,0,-1,-1,-1,-1
+,4790363,2429665,4486973,4250005,1583372,-1,1,0,0,0,-1,-1,-1,-1
-,4799261,154927,4539203,1715275,-1,105130,0,1,0,0,-1,-1,-1,-1
+,4801697,1694040,4510091,3443676,683221,-1,1,0,2,0,1267698,426342,426342,0.710319
+,4801697,2077233,4510091,3826869,1066414,-1,1,0,2,0,1267698,809535,809535,1.34875
+,4803439,1062529,4439389,3246829,991740,-1,1,0,0,0,-1,-1,-1,-1
+,4803439,1263348,4439389,3447648,1192559,-1,1,0,0,0,-1,-1,-1,-1
-,4808393,280145,4308881,3277217,-1,219366,0,1,0,0,-1,-1,-1,-1
+,4814801,1638077,4529297,3351101,534828,-1,1,0,0,0,-1,-1,-1,-1
+,4814801,2281444,4529297,3994468,1178195,-1,1,0,0,0,-1,-1,-1,-1
-,4820489,439007,4251563,3852563,-1,129918,0,1,2,0,622971,183964,183964,0.152652
+,4826501,239166,4419379,2681898,705251,-1,1,0,0,0,-1,-1,-1,-1
+,4826501,1271395,4419379,3714127,1737480,-1,1,0,0,0,-1,-1,-1,-1
-,4827523,53662,4543321,1758874,-1,230539,0,1,2,0,1833705,1780043,1780043,1.47491
+,4844141,564189,4290491,3886089,2917498,-1,1,0,0,0,-1,-1,-1,-1
+,4856711,454240,4483651,2692600,447309,-1,1,0,0,0,-1,-1,-1,-1
+,4856711,1797981,4483651,4036341,1791050,-1,1,0,0,0,-1,-1,-1,-1
-,4859081,583497,4260019,4177869,-1,15564,0,1,4,0,660497,77000,77000,0.126773
+,4864667,393696,4321019,3655584,2596453,-1,1,0,0,0,-1,-1,-1,-1
+,4865227,168261,4499377,2363361,59084,-1,1,0,0,0,-1,-1,-1,-1
+,4865227,2245192,4499377,4440292,2136015,-1,1,0,0,0,-1,-1,-1,-1
+,4867301,1384300,4441289,3940372,2055155,-1,1,0,2,0,2106557,722257,722257,0.593559
+,4871953,101936,4483097,2435072,285111,-1,1,0,0,0,-1,-1,-1,-1
+,4871953,1864849,4483097,4197985,2048024,-1,1,0,0,0,-1,-1,-1,-1
+,4880101,21980,4332577,3307124,2259691,-1,1,0,0,0,-1,-1,-1,-1
+,4880951,1325103,4387567,4285407,2858144,-1,1,0,0,0,-1,-1,-1,-1
-,4884553,92234,4209349,4143458,-1,582969,0,1,0,0,-1,-1,-1,-1
+,4886333,1889741,4613507,3526697,550146,-1,1,0,4,0,1916597,26856,26856,0.175877
+,4886333,2203307,4660933,3555707,247174,-1,1,0,4,0,1916597,286710,286710,1.87763
+,4886333,2426404,4613507,4063360,1086809,-1,1,0,4,0,1916597,509807,509807,3.33866
+,4886333,3061358,4660933,4413758,1105225,-1,1,0,4,0,2969735,91623,91623,0.600028
+,4889147,360217,4515209,2603845,332264,-1,1,0,2,0,795675,435458,435458,0.71253
+,4889147,1939316,4515209,4182944,1911363,-1,1,0,2,0,795675,1143641,1143641,1.87131
+,4890341,290131,4386419,3313663,1950776,-1,1,0,2,0,1792007,1501876,1501876,1.22844
-,4895347,143841,4681997,1423941,-1,69508,0,1,0,0,-1,-1,-1,-1
+,4896127,247052,4381787,3333092,2037345,-1,1,0,0,0,-1,-1,-1,-1
-,4896491,140004,4424059,2974596,-1,332427,0,1,4,0,389665,249661,249661,0.407902
-,4907359,12234,4760999,890394,-1,134125,0,1,0,0,-1,-1,-1,-1
+,4912073,427247,4323751,3957179,3163360,-1,1,0,0,0,-1,-1,-1,-1
+,4913873,2627781,4728743,3738561,120598,-1,1,0,0,0,-1,-1,-1,-1
+,4913873,3497364,4728743,4608144,990181,-1,1,0,0,0,-1,-1,-1,-1
+,4914937,1502405,4619039,3277793,434142,-1,1,0,0,0,-1,-1,-1,-1
+,4914937,2409508,4619039,4184896,1341245,-1,1,0,0,0,-1,-1,-1,-1
+,4925017,1321411,4579451,3394807,888752,-1,1,0,2,0,1328770,7359,7359,0.0119537
+,4925017,1617302,4579451,3690698,1184643,-1,1,0,2,0,1328770,288532,288532,0.46868
+,4927873,500158,4297817,4280494,3763013,-1,1,0,0,0,-1,-1,-1,-1
+,4929731,3648277,4814749,4338169,213312,-1,1,0,0,0,-1,-1,-1,-1
+,4929731,3911544,4814749,4601436,476579,-1,1,0,0,0,-1,-1,-1,-1
+,4933529,150082,4395389,3378922,2212373,-1,1,0,0,0,-1,-1,-1,-1
-,4944803,38231,4586297,2189267,-1,320274,0,1,0,0,-1,-1,-1,-1
-,4956703,38371,4326011,3822523,-1,592320,0,1,0,0,-1,-1,-1,-1
+,4961599,789626,4624381,2812934,211861,-1,1,0,0,0,-1,-1,-1,-1
+,4961599,2389211,4624381,4412519,1811446,-1,1,0,0,0,-1,-1,-1,-1
-,4978217,237920,4467017,3305120,-1,273279,0,1,0,0,-1,-1,-1,-1
+,4981393,916657,4501829,3794041,2169596,-1,1,0,4,0,1312840,396183,396183,0.636261
+,4989503,1965864,4736839,3481848,260993,-1,1,0,4,0,2010540,44676,44676,0.143264
+,4989503,2959861,4736839,4475845,1254990,-1,1,0,4,0,2978962,19101,19101,0.0612518
-,5010041,291325,4676369,2293357,-1,42346,0,1,2,0,612484,321159,321159,0.256412
+,5016953,890624,4605791,3357596,1218777,-1,1,0,0,0,-1,-1,-1,-1
+,5016953,920041,4605791,3387013,1248194,-1,1,0,0,0,-1,-1,-1,-1
+,5024861,437018,4567399,3181790,1359163,-1,1,0,4,0,642656,205638,205638,0.654786
+,5024861,463463,4567399,3208235,1385608,-1,1,0,4,0,642656,179193,179193,0.570581
-,5027537,407086,4613359,2892154,-1,7091,0,1,0,0,-1,-1,-1,-1
-,5042393,96153,4531609,3160857,-1,414630,0,1,0,0,-1,-1,-1,-1
+,5042971,860523,4446317,4440447,3574054,-1,1,0,0,0,-1,-1,-1,-1
+,5044423,397394,4438843,4030874,3225511,-1,1,0,0,0,-1,-1,-1,-1
+,5050091,1728921,4724089,3684933,916856,-1,1,0,2,0,1126796,602125,602125,0.953844
+,5050091,1851220,4724089,3807232,1039155,-1,1,0,2,0,1126796,724424,724424,1.14758
+,5050897,76851,4430969,3796419,3085018,-1,1,0,0,0,-1,-1,-1,-1
+,5063489,2431079,4849049,3717719,155310,-1,1,0,0,0,-1,-1,-1,-1
+,5063489,3407098,4849049,4693738,1131329,-1,1,0,0,0,-1,-1,-1,-1
+,5071019,1128844,4765157,2964016,34031,-1,1,0,0,0,-1,-1,-1,-1
+,5071019,2895953,4765157,4731125,1801140,-1,1,0,0,0,-1,-1,-1,-1
-,5073457,535279,4527473,3811183,-1,10704,0,1,0,0,-1,-1,-1,-1
+,5078119,134061,4551023,3296637,1908190,-1,1,0,0,0,-1,-1,-1,-1
+,5085637,842902,4550857,4051582,2709405,-1,1,0,2,0,1766293,923391,923391,0.726274
+,5090117,1372571,4621711,4183007,2371732,-1,1,0,0,0,-1,-1,-1,-1
+,5110423,3439338,4959083,4347378,296335,-1,1,0,2,0,4632717,1193379,1193379,1.86815
+,5110423,3754707,4959083,4662747,611704,-1,1,0,2,0,4632717,878010,878010,1.37446
+,5114827,474243,4622081,3430719,1765114,-1,1,0,0,0,-1,-1,-1,-1
+,5124781,250720,4692593,2843848,744383,-1,1,0,0,0,-1,-1,-1,-1
+,5124781,1355081,4692593,3948209,1848744,-1,1,0,0,0,-1,-1,-1,-1
+,5136323,357543,4592171,3622455,2295196,-1,1,0,2,0,198672,158871,158871,0.123724
+,5143447,146784,4473143,4168608,3717289,-1,1,0,0,0,-1,-1,-1,-1
+,5145197,3166910,4979617,4160390,174253,-1,1,0,2,0,3143215,23695,23695,0.0368421
+,5145197,3811883,4979617,4805363,819226,-1,1,0,2,0,3143215,668668,668668,1.03968
+,5152841,1275439,4683967,4088683,2217960,-1,1,0,2,0,2126617,851178,851178,0.660745
-,5152843,137272,4529363,3878152,-1,486207,0,1,0,0,-1,-1,-1,-1
-,5167583,13161,4969163,1203681,-1,185258,0,1,0,0,-1,-1,-1,-1
+,5171801,1761758,4880021,3512438,383097,-1,1,0,4,0,2133393,371635,371635,1.14973
+,5171801,2746243,4880021,4496923,1367582,-1,1,0,4,0,3038407,292164,292164,0.903868
-,5177803,16394,5077829,616238,-1,83579,0,1,0,0,-1,-1,-1,-1
+,5181641,1624421,4869517,3497165,500392,-1,1,0,0,0,-1,-1,-1,-1
+,5181641,2496380,4869517,4369124,1372351,-1,1,0,0,0,-1,-1,-1,-1
-,5187151,26510,4956691,1409270,-1,203949,0,1,0,0,-1,-1,-1,-1
+,5189357,1409164,4725431,4192720,2250845,-1,1,0,4,0,1789134,379970,379970,0.585768
+,5191057,2866490,4959833,4253834,681345,-1,1,0,2,0,2949633,83143,83143,0.128133
+,5191057,2891143,4959833,4278487,705998,-1,1,0,2,0,2949633,58490,58490,0.0901396
+,5201593,3287574,5030593,4313574,308981,-1,1,0,0,0,-1,-1,-1,-1
+,5201593,3695611,5030593,4721611,717018,-1,1,0,0,0,-1,-1,-1,-1
+,5206819,85188,4713259,3046548,1294649,-1,1,0,2,0,2025887,1940699,1940699,2.98178
+,5206819,457249,4713259,3418609,1666710,-1,1,0,2,0,2025887,1568638,1568638,2.41013
+,5210189,2711437,4969313,4156693,632636,-1,1,0,0,0,-1,-1,-1,-1
+,5210189,2891420,4969313,4336676,812619,-1,1,0,0,0,-1,-1,-1,-1
+,5218883,339482,4612451,3978074,3004215,-1,1,0,0,0,-1,-1,-1,-1
+,5221849,675240,4863611,2824668,110485,-1,1,0,0,0,-1,-1,-1,-1
+,5221849,2603697,4863611,4753125,2038942,-1,1,0,0,0,-1,-1,-1,-1
+,5226647,1185424,4725431,4192720,2474585,-1,1,0,2,0,826986,358438,358438,0.274316
+,5226733,940162,4877849,3033466,248921,-1,1,0,0,0,-1,-1,-1,-1
+,5226733,2535623,4877849,4628927,1844382,-1,1,0,0,0,-1,-1,-1,-1
-,5233639,229075,4689449,3494215,-1,315114,0,1,0,0,-1,-1,-1,-1
+,5242907,348033,4628279,4035801,3095290,-1,1,0,2,0,416591,68558,68558,0.0523053
-,5245067,200836,4576277,4213576,-1,467953,0,1,2,0,845093,644257,644257,0.491324
+,5254229,163782,4656241,3751710,2683397,-1,1,0,2,0,225407,61625,61625,0.0469146
-,5258303,300124,4868011,2641876,-1,90167,0,1,2,0,1848032,1547908,1547908,1.1775
+,5258867,3562619,5092193,4562663,470514,-1,1,0,2,0,2932754,629865,629865,0.958176
+,5258867,3621634,5092193,4621678,529529,-1,1,0,2,0,2932754,688880,688880,1.04795
-,5260597,543722,4603297,4487522,-1,113577,0,1,0,0,-1,-1,-1,-1
+,5261359,598548,4797497,3381720,1367395,-1,1,0,0,0,-1,-1,-1,-1
+,5261359,646929,4797497,3430101,1415776,-1,1,0,0,0,-1,-1,-1,-1
+,5269811,581116,4639387,4363660,3506817,-1,1,0,0,0,-1,-1,-1,-1
+,5283497,144211,4635341,4033147,3286742,-1,1,0,0,0,-1,-1,-1,-1
+,5286373,3061223,5080661,4295495,449106,-1,1,0,0,0,-1,-1,-1,-1
+,5286373,3397282,5080661,4631554,785165,-1,1,0,0,0,-1,-1,-1,-1
-,5293637,202807,4987819,2037715,-1,103010,0,1,0,0,-1,-1,-1,-1
+,5307439,343289,4641787,4337201,3689326,-1,1,0,0,0,-1,-1,-1,-1
+,5311217,3086835,5121979,4222263,235712,-1,1,0,2,0,4433252,1346417,1346417,2.02804
+,5311217,3750838,5121979,4886266,899715,-1,1,0,2,0,4433252,682414,682414,1.02788
+,5321851,324323,4675037,4205207,3411054,-1,1,0,0,0,-1,-1,-1,-1
+,5329967,4009018,5198287,4799098,390891,-1,1,0,2,0,4448139,439121,439121,0.659098
+,5329967,4017315,5198287,4807395,399188,-1,1,0,2,0,4448139,430824,430824,0.646644
-,5330513,105748,5155309,1156972,-1,69455,0,1,0,0,-1,-1,-1,-1
+,5330879,304639,4737907,3862471,2682396,-1,1,0,0,0,-1,-1,-1,-1
+,5333483,651102,4699733,4453602,3556369,-1,1,0,0,0,-1,-1,-1,-1
+,5333707,90722,4752277,3579302,2315605,-1,1,0,2,0,694932,604210,604210,0.453126
+,5340103,872656,4961563,3143896,453573,-1,1,0,2,0,812889,59767,59767,0.0895368
+,5340103,2236749,4961563,4507989,1817666,-1,1,0,2,0,812889,1423860,1423860,2.13308
+,5350843,105518,4844311,3144710,1339591,-1,1,0,2,0,23530,81988,81988,0.12258
+,5350843,465527,4844311,3504719,1699600,-1,1,0,2,0,23530,441997,441997,0.660826
-,5360881,153832,5121527,1589956,-1,85521,0,1,2,0,912129,758297,758297,0.5658
+,5365751,2985879,5172347,4146303,134380,-1,1,0,0,0,-1,-1,-1,-1
+,5365751,3877542,5172347,5037966,1026043,-1,1,0,0,0,-1,-1,-1,-1
+,5367577,2038251,5074787,3794991,476944,-1,1,0,0,0,-1,-1,-1,-1
+,5367577,2841102,5074787,4597842,1279795,-1,1,0,0,0,-1,-1,-1,-1
+,5374517,1045972,4811137,4426252,2995395,-1,1,0,0,0,-1,-1,-1,-1
+,5376883,4748753,5319689,5091917,115392,-1,1,0,0,0,-1,-1,-1,-1
+,5376883,4861132,5319689,5204296,227771,-1,1,0,0,0,-1,-1,-1,-1
+,5379203,514525,4852451,3675037,1983098,-1,1,0,2,0,959552,445027,445027,0.330924
+,5390023,519293,4820441,3936785,2533836,-1,1,0,2,0,1374764,855471,855471,0.634855
+,5397113,4180972,5285219,4852336,238481,-1,1,0,2,0,5225205,1044233,1044233,1.54784
+,5397113,4375373,5285219,5046737,432882,-1,1,0,2,0,5225205,849832,849832,1.25968
+,5405251,1120892,4997843,3565340,1011945,-1,1,0,0,0,-1,-1,-1,-1
+,5405251,1541449,4997843,3985897,1432502,-1,1,0,0,0,-1,-1,-1,-1
+,5411011,3635,4697383,4285403,3869788,-1,1,0,0,0,-1,-1,-1,-1
+,5414657,2391481,5163607,3897781,240474,-1,1,0,0,0,-1,-1,-1,-1
+,5414657,3416832,5163607,4923132,1265825,-1,1,0,0,0,-1,-1,-1,-1
+,5429899,57485,4998667,2644877,233602,-1,1,0,2,0,1724471,1666986,1666986,2.45601
+,5429899,2177672,4998667,4765064,2353789,-1,1,0,2,0,1724471,453201,453201,0.667712
-,5450351,159210,4778029,4193142,-1,513111,0,1,0,0,-1,-1,-1,-1
-,5459761,322800,4730647,4697484,-1,406313,0,1,0,0,-1,-1,-1,-1
+,5460607,4548,4829729,3789816,2745355,-1,1,0,0,0,-1,-1,-1,-1
+,5465459,3533180,5302837,4508912,181807,-1,1,0,2,0,4960375,1427195,1427195,2.08904
+,5465459,4145297,5302837,5121029,793924,-1,1,0,2,0,4960375,815078,815078,1.19306
+,5467351,1283780,5071903,3656468,957253,-1,1,0,0,0,-1,-1,-1,-1
+,5467351,1741961,5071903,4114649,1415434,-1,1,0,0,0,-1,-1,-1,-1
+,5468083,282795,5024183,2946195,585412,-1,1,0,0,0,-1,-1,-1,-1
+,5468083,1775370,5024183,4438770,2077987,-1,1,0,0,0,-1,-1,-1,-1
+,5474333,630889,4786981,4755001,4092132,-1,1,0,0,0,-1,-1,-1,-1
+,5477971,2370254,5217271,3934454,281383,-1,1,0,0,0,-1,-1,-1,-1
+,5477971,3371687,5217271,4935887,1282816,-1,1,0,0,0,-1,-1,-1,-1
+,5484397,1909700,5194907,3646640,188673,-1,1,0,4,0,2484657,574957,574957,1.67736
+,5484397,3269293,5194907,5006233,1548266,-1,1,0,4,0,2999739,269554,269554,0.786388
-,5484851,181356,5033341,2890416,-1,270153,0,1,0,0,-1,-1,-1,-1
+,5486911,44537,4962619,3190289,1373422,-1,1,0,0,0,-1,-1,-1,-1
+,5486911,443444,4962619,3589196,1772329,-1,1,0,0,0,-1,-1,-1,-1
-,5498573,478752,4799623,4672452,-1,220197,0,1,0,0,-1,-1,-1,-1
-,5505083,579106,4859201,4454398,-1,66775,0,1,0,0,-1,-1,-1,-1
+,5507461,1478396,4997383,4538864,2601949,-1,1,0,2,0,2095312,616916,616916,0.448058
+,5509429,1091669,5142259,3294689,355450,-1,1,0,2,0,1221902,130233,130233,0.189106
+,5509429,2583788,5142259,4786808,1847569,-1,1,0,2,0,1221902,1361886,1361886,1.97753
-,5516627,52273,5073511,2710969,-1,390842,0,1,0,0,-1,-1,-1,-1
+,5528779,1118668,5093519,3730228,1248269,-1,1,0,2,0,852517,266151,266151,0.385114
+,5528779,1233689,5093519,3845249,1363290,-1,1,0,2,0,852517,381172,381172,0.551546
-,5539439,56570,5376619,1033490,-1,106249,0,1,0,0,-1,-1,-1,-1
+,5547709,1755197,5048353,4751333,2699116,-1,1,0,2,0,331106,1424091,1424091,1.0268
+,5552171,1794875,5225287,3756179,492196,-1,1,0,0,0,-1,-1,-1,-1
+,5552171,2771786,5225287,4733090,1469107,-1,1,0,0,0,-1,-1,-1,-1
+,5561849,630053,5118637,3289325,829960,-1,1,0,2,0,1322314,692261,692261,0.995728
+,5561849,1629404,5118637,4288676,1829311,-1,1,0,2,0,1322314,307090,307090,0.441709
+,5565047,564217,5096249,3377005,1093544,-1,1,0,2,0,1946366,1382149,1382149,1.9869
+,5565047,1189916,5096249,4002704,1719243,-1,1,0,2,0,1946366,756450,756450,1.08743
-,5582699,401633,5112949,3220133,-1,68116,0,1,0,0,-1,-1,-1,-1
+,5596907,555343,5026817,3975883,2369606,-1,1,0,2,0,2408158,1852815,1852815,1.32417
+,5598091,1527275,5092193,4562663,2505858,-1,1,0,2,0,323126,1204149,1204149,0.8604
+,5610433,2539539,5329981,4222251,574982,-1,1,0,4,0,2236184,303355,303355,0.865117
+,5610433,3072286,5329981,4754998,1107729,-1,1,0,4,0,3374248,301962,301962,0.861144
+,5641291,237639,4898059,4697031,4258364,-1,1,0,0,0,-1,-1,-1,-1
-,5643641,135141,4973347,4156905,-1,535152,0,1,0,0,-1,-1,-1,-1
+,5657051,62529,5052169,3691821,2268944,-1,1,0,0,0,-1,-1,-1,-1
+,5662733,334576,5028431,4140388,2917769,-1,1,0,4,0,633831,299255,299255,0.422771
+,5667313,1262528,5254801,3737600,957871,-1,1,0,0,0,-1,-1,-1,-1
+,5667313,1821857,5254801,4296929,1517200,-1,1,0,0,0,-1,-1,-1,-1
+,5667973,1177999,5319689,3267703,37718,-1,1,0,2,0,679599,498400,498400,0.703461
+,5667973,3192266,5319689,5281970,2051985,-1,1,0,2,0,4988373,1796107,1796107,2.5351
+,5668309,60065,4936391,4451573,3906690,-1,1,0,0,0,-1,-1,-1,-1
-,5670619,121056,5416679,1644696,-1,132883,0,1,0,0,-1,-1,-1,-1
+,5674693,3012295,5422973,4522615,609962,-1,1,0,0,0,-1,-1,-1,-1
+,5674693,3302690,5422973,4813010,900357,-1,1,0,0,0,-1,-1,-1,-1
-,5682763,413356,5248303,3020116,-1,21103,0,1,2,0,2335111,1921755,1921755,1.35269
+,5684867,1289026,5295247,3626746,669219,-1,1,0,0,0,-1,-1,-1,-1
+,5684867,2288307,5295247,4626027,1668500,-1,1,0,0,0,-1,-1,-1,-1
+,5695531,300340,5111833,3802528,2192883,-1,1,0,0,0,-1,-1,-1,-1
+,5701909,503612,5132429,3920492,2204943,-1,1,0,0,0,-1,-1,-1,-1
+,5710919,1187842,5278001,3785350,1104857,-1,1,0,2,0,2236221,1048379,1048379,1.4686
+,5710919,1575635,5278001,4173143,1492650,-1,1,0,2,0,2236221,660586,660586,0.925366
+,5712757,1947555,5237839,4797063,2408732,-1,1,0,0,0,-1,-1,-1,-1
+,5717681,921101,5241881,3775901,1388820,-1,1,0,2,0,995237,74136,74136,0.103729
+,5717681,998260,5241881,3853060,1465979,-1,1,0,2,0,995237,3023,3023,0.00422969
+,5736833,1493863,5351257,3807319,769518,-1,1,0,2,0,1320500,173363,173363,0.241754
+,5736833,2268282,5351257,4581738,1543937,-1,1,0,2,0,1320500,947782,947782,1.32168
-,5742809,359228,5194907,3646640,-1,188673,0,1,0,0,-1,-1,-1,-1
-,5753479,193076,5137973,3886112,-1,422429,0,1,0,0,-1,-1,-1,-1
+,5766311,2301441,5301991,5087361,2571290,-1,1,0,0,0,-1,-1,-1,-1
+,5767409,4713654,5684641,5210262,22229,-1,1,0,2,0,5147599,433945,433945,0.601927
+,5767409,5165803,5684641,5662411,474378,-1,1,0,2,0,5147599,18204,18204,0.0252509
-,5783891,368231,5101541,4462331,-1,314118,0,1,2,0,2088149,1719918,1719918,1.18945
+,5785069,2757697,5495813,4493233,732956,-1,1,0,0,0,-1,-1,-1,-1
+,5785069,3027320,5495813,4762856,1002579,-1,1,0,0,0,-1,-1,-1,-1
+,5787149,571410,5203249,4074810,2374961,-1,1,0,0,0,-1,-1,-1,-1
+,5797993,3354448,5571689,4712272,498407,-1,1,0,2,0,3056500,297948,297948,0.411105
+,5797993,3715457,5571689,5073281,859416,-1,1,0,2,0,3056500,658957,658957,0.909221
+,5804069,773717,5122427,4863569,3830994,-1,1,0,0,0,-1,-1,-1,-1
-,5805941,156262,5178889,3918574,-1,470789,0,1,2,0,1671740,1515478,1515478,1.04409
+,5812199,4152460,5649649,5127760,453411,-1,1,0,2,0,4477478,325018,325018,0.44736
+,5812199,4220937,5649649,5196237,521888,-1,1,0,2,0,4477478,256541,256541,0.353107
+,5822491,3900349,5633161,5036329,539148,-1,1,0,0,0,-1,-1,-1,-1
+,5822491,3958032,5633161,5094012,596831,-1,1,0,0,0,-1,-1,-1,-1
+,5823497,910049,5263493,4270073,2366604,-1,1,0,4,0,701247,208802,208802,0.286841
+,5825399,788180,5110337,5078552,4258587,-1,1,0,0,0,-1,-1,-1,-1
+,5825591,220007,5104289,4547819,3771342,-1,1,0,0,0,-1,-1,-1,-1
+,5827937,634562,5397493,3217226,402397,-1,1,0,4,0,241421,393141,393141,1.07933
+,5827937,2412431,5397493,4995095,2180266,-1,1,0,4,0,2569511,157080,157080,0.431247
+,5836189,545723,5313173,3683819,1508742,-1,1,0,0,0,-1,-1,-1,-1
+,5836189,666334,5313173,3804430,1629353,-1,1,0,0,0,-1,-1,-1,-1
+,5857307,2020366,5318683,5252110,3165171,-1,1,0,2,0,2761169,740803,740803,0.5059
+,5861621,98815,5242487,3813619,2285936,-1,1,0,2,0,96919,1896,1896,0.00129384
+,5867591,1939297,5494639,4177009,920082,-1,1,0,0,0,-1,-1,-1,-1
+,5867591,2336844,5494639,4574556,1317629,-1,1,0,0,0,-1,-1,-1,-1
+,5887577,27789,5156101,4416645,3649400,-1,1,0,0,0,-1,-1,-1,-1
+,5909837,1865047,5340949,5278375,3350754,-1,1,0,2,0,14039,1851008,1851008,1.25283
+,5927723,801498,5315837,4472814,2828293,-1,1,0,0,0,-1,-1,-1,-1
+,5934527,296163,5314667,4015323,2419816,-1,1,0,0,0,-1,-1,-1,-1
+,5935789,476670,5289743,4352946,2939479,-1,1,0,0,0,-1,-1,-1,-1
+,5938181,2319392,5613109,4269824,607147,-1,1,0,2,0,417659,1901733,1901733,2.56204
+,5938181,3055529,5613109,5005961,1343284,-1,1,0,2,0,5520521,2464992,2464992,3.32087
-,5940007,222344,5376649,3602492,-1,341013,0,1,0,0,-1,-1,-1,-1
+,5948143,328849,5155309,5085853,4687548,-1,1,0,0,0,-1,-1,-1,-1
+,5952959,730662,5213777,5165754,4387069,-1,1,0,0,0,-1,-1,-1,-1
-,5964527,339677,5562059,2754485,-1,62790,0,1,2,0,1901696,1562019,1562019,1.04754
+,5971639,1105757,5284781,5226905,4063272,-1,1,0,0,0,-1,-1,-1,-1
+,5976023,338270,5460797,3429626,1060185,-1,1,0,2,0,1354528,1016258,1016258,1.36045
+,5976023,1309255,5460797,4400611,2031170,-1,1,0,2,0,1354528,45273,45273,0.0606062
+,5978279,24530,5295061,4123838,2928085,-1,1,0,0,0,-1,-1,-1,-1
-,5980967,326728,5252783,4695832,-1,401455,0,1,0,0,-1,-1,-1,-1
+,5981137,530822,5204503,5190626,4645927,-1,1,0,2,0,400223,130599,130599,0.0873406
