sign,q,t,p,r,a_plus,a_minus,raw_plus,raw_minus,Zq,selected,nearest_zero,linear,cyclic,scaled_A
-,1331411,41690,1236329,612182,-1,53391,0,1,4,0,638617,596927,596927,3.58673
+,1331719,208021,1189553,1061017,724460,-1,1,0,2,0,641510,433489,433489,1.30204
+,1341547,309507,1253737,836367,109490,-1,1,0,2,0,163207,146300,146300,0.872426
+,1341547,617386,1253737,1144246,417369,-1,1,0,2,0,163207,454179,454179,2.70839
-,1347481,22908,1177711,1041528,-1,146861,0,1,0,0,-1,-1,-1,-1
+,1362407,787421,1315451,1069157,35442,-1,1,0,4,0,692579,94842,94842,1.11382
+,1362407,998272,1315451,1280008,246293,-1,1,0,4,0,1100251,101979,101979,1.19763
-,1371137,86320,1191781,1162456,-1,93035,0,1,4,0,163155,76835,76835,0.448299
+,1374019,327787,1286693,851743,89006,-1,1,0,0,0,-1,-1,-1,-1
+,1374019,673730,1286693,1197686,434949,-1,1,0,0,0,-1,-1,-1,-1
-,1375037,29180,1200499,1076408,-1,145357,0,1,0,0,-1,-1,-1,-1
+,1375243,1185532,1359097,1282408,20187,-1,1,0,4,0,1307674,122142,122142,1.42104
+,1375243,1242033,1359097,1338909,76688,-1,1,0,4,0,1307674,65641,65641,0.763688
-,1389943,16438,1195459,1183342,-1,178045,0,1,0,0,-1,-1,-1,-1
+,1392229,812671,1339001,1132039,112406,-1,1,0,0,0,-1,-1,-1,-1
+,1392229,907226,1339001,1226594,206961,-1,1,0,0,0,-1,-1,-1,-1
+,1398973,305907,1259129,1144971,724906,-1,1,0,2,0,175637,130270,130270,0.372473
+,1409659,978293,1369793,1217489,86892,-1,1,0,2,0,1102884,124591,124591,0.70707
+,1409659,1043704,1369793,1282900,152303,-1,1,0,2,0,1102884,59180,59180,0.335854
+,1410527,690618,1346123,1077042,117343,-1,1,0,0,0,-1,-1,-1,-1
+,1410527,842355,1346123,1228779,269080,-1,1,0,0,0,-1,-1,-1,-1
+,1412629,3991,1286833,758767,226710,-1,1,0,0,0,-1,-1,-1,-1
+,1412629,305346,1286833,1060122,528065,-1,1,0,0,0,-1,-1,-1,-1
-,1416551,92870,1290539,848942,-1,33141,0,1,4,0,212890,120020,120020,0.677815
+,1423159,524168,1351667,953120,30405,-1,1,0,2,0,462577,61591,61591,0.346221
+,1423159,892309,1351667,1321261,398546,-1,1,0,2,0,960581,68272,68272,0.383777
-,1426987,38737,1345457,527917,-1,42792,0,1,2,0,12497,26240,26240,0.0735536
-,1439359,17231,1330751,668879,-1,91376,0,1,0,0,-1,-1,-1,-1
-,1441367,49134,1267103,1094718,-1,125129,0,1,0,0,-1,-1,-1,-1
+,1444913,191987,1280863,1176287,879724,-1,1,0,2,0,161973,30014,30014,0.0830887
+,1452169,574346,1365167,1096358,253203,-1,1,0,2,0,306758,267588,267588,1.47414
+,1452169,589951,1365167,1111963,268808,-1,1,0,2,0,306758,283193,283193,1.56011
+,1456709,749974,1398979,1096354,43755,-1,1,0,0,0,-1,-1,-1,-1
+,1456709,1008843,1398979,1355223,302624,-1,1,0,0,0,-1,-1,-1,-1
+,1459153,555229,1371061,1083781,241272,-1,1,0,2,0,228766,326463,326463,1.78988
+,1459153,601236,1371061,1129788,287279,-1,1,0,2,0,228766,372470,372470,2.04212
+,1460741,521769,1387921,958689,7688,-1,1,0,0,0,-1,-1,-1,-1
+,1460741,943312,1387921,1380232,429231,-1,1,0,0,0,-1,-1,-1,-1
-,1462693,67827,1380781,559299,-1,14084,0,1,2,0,490238,422411,422411,1.15516
