rank,q,t,p,sign,type,zq_size,nearest_zero,linear_distance,cyclic_distance,normalized_distance,zp_size,x,y,h
62,1426987,38737,1345457,-,M+,2,12497,26240,26240,0.018388394568415831,6,42792,817539,774747
63,1691033,179456,1489751,+,P,2,147763,31693,31693,0.018741798652066519,6,102602,384661,282059
64,4886333,3061358,4660933,+,P,4,2969735,91623,91623,0.018750871051972921,6,247174,3555707,3308533
65,6557099,3325781,6168691,+,P,6,3449158,123377,123377,0.018815790336549745,4,512461,4350704,3838243
66,3351841,327716,3000887,-,M+,2,392867,65151,65151,0.01943737784698021,6,23237,567446,544209
67,7150691,92788,6396661,+,P,4,235030,142242,142242,0.019892063578191253,4,1779692,3652173,1872481
68,1027883,256448,960077,+,P,4,277056,20608,20608,0.020048974445535144,4,296792,850033,553241
69,4469627,2057544,4225147,+,P,4,2147260,89716,89716,0.020072368454906862,4,700722,3458989,2758267
70,4090103,99383,3553787,-,M-,2,183037,83654,83654,0.02045278566334393,4,236507,436932,200425
71,1444913,191987,1280863,+,P,2,161973,30014,30014,0.020772184899713685,4,104575,401138,296563
72,2462827,93413,2171011,+,P,2,144718,51305,51305,0.020831751479092928,4,326701,746816,420115
73,4083931,322938,3747649,-,M+,4,408688,85750,85750,0.02099692673553985,4,13343,1407018,1393675
74,2555191,109122,2298977,-,M+,4,163447,54325,54325,0.021260641572391263,4,147091,652570,505479
75,4067513,2306568,3921079,+,P,2,2394197,87629,87629,0.021543631206587414,4,735906,3778381,3042475
76,5981137,530822,5204503,+,P,2,400223,130599,130599,0.021835146060021699,6,13876,558575,544699
77,3906953,153754,3588787,+,P,2,68274,85480,85480,0.021878942490477872,4,1526036,3205827,1679791
78,4243091,1293957,3923687,+,P,4,1387855,93898,93898,0.022129622013763079,4,713305,2720568,2007263
79,4681037,410853,4180819,-,M+,4,306866,103987,103987,0.022214522124050718,8,89364,768657,679293
80,1765573,203410,1629623,+,P,2,161862,41548,41548,0.023532303677049886,4,610512,1424435,813923
81,2928749,614888,2708221,+,P,2,545670,69218,69218,0.0236339816078469,4,770164,2155217,1385053
82,9365299,641101,8333309,+,P,4,862467,221366,221366,0.023636832096871653,4,1500267,3641636,2141369
83,5509429,1091669,5142259,+,P,2,1221902,130233,130233,0.023638202797422382,6,1847569,4786808,2939239
84,7980061,2480097,7416313,+,P,4,2278990,201107,201107,0.025201185805471912,4,1553727,5587552,4033825
85,1731407,119113,1586617,+,P,2,162882,43769,43769,0.025279440362664583,8,598763,1316640,717877
86,8813983,1979854,8224747,+,P,2,1756492,223362,223362,0.025341777945339809,4,2709476,7398807,4689331
87,2912033,465669,2599741,+,P,4,391806,73863,73863,0.025364753764809671,4,260319,986308,725989
88,7096853,401803,6377081,+,P,4,221530,180273,180273,0.025401822469762303,6,1656645,3715094,2058449
89,2428787,699674,2287633,+,P,4,761936,62262,62262,0.025635018632757835,8,741034,2181743,1440709
90,7683593,209582,6982081,+,P,2,8142,201440,201440,0.026216901389753466,4,2563426,5336435,2773009
91,7743097,6237947,7611377,+,P,4,6034898,203049,203049,0.026223228250918204,4,583109,7404166,6821057
92,2631071,266419,2341477,-,M+,4,336708,70289,70289,0.02671497652476881,6,23174,337493,314319
93,5827937,2412431,5397493,+,P,4,2569511,157080,157080,0.02695293377399241,6,402397,3217226,2814829
94,1015967,42793,902719,+,P,4,14659,28134,28134,0.027691844321715176,6,180437,403668,223231
95,4379021,3747913,4289911,+,P,2,3625684,122229,122229,0.027912403251777053,4,7337,3762588,3755251
96,7660417,734833,6878671,+,P,2,519289,215544,215544,0.0281373716339463,6,1453361,3641556,2188195
97,3843677,143710,3449119,+,P,2,34683,109027,109027,0.028365286677314458,4,938060,2019831,1081771
98,8492797,2704066,7837127,+,P,2,2459478,244588,244588,0.028799463827994476,4,1199040,5102147,3903107
99,9443909,596338,8625059,-,M+,2,316399,279939,279939,0.029642280542940429,8,222511,3115620,2893109
100,2135719,36720,1882229,-,M+,2,100108,63388,63388,0.029679934485763341,6,216769,324568,107799
101,6508367,937735,5928047,+,P,2,742166,195569,195569,0.030048858646108925,4,1508391,3954518,2446127
102,6924193,177709,6296611,+,P,2,386359,208650,208650,0.030133475482269197,4,2353409,4884528,2531119
103,5736833,1493863,5351257,+,P,2,1320500,173363,173363,0.030219286494830858,4,1543937,4581738,3037801
104,6363923,821874,5901617,+,P,2,626044,195830,195830,0.030771899660005313,6,2305906,5433687,3127781
105,5136323,357543,4592171,+,P,2,198672,158871,158871,0.030930881877950431,4,969715,2296974,1327259
106,3472171,181459,3097781,-,M+,4,73372,108087,108087,0.031129515222608563,6,192930,669981,477051
107,7779461,711839,6788891,+,P,4,468542,243297,243297,0.031274274657331659,6,133631,979102,845471
108,4466471,1810626,4187189,+,P,2,1950320,139694,139694,0.031276146201329867,6,700870,3212367,2511497
109,4425349,246853,4021733,-,M+,2,387419,140566,140566,0.03176382246914311,4,156762,1353183,1196421
