rank,q,t,p,sign,type,zq_size,nearest_zero,linear_distance,cyclic_distance,normalized_distance,zp_size,x,y,h
270,1510039,73128,1381229,-,M+,2,197726,124598,124598,0.0825131006550162,4,55681,535240,479559
271,5350843,465527,4844311,+,P,2,23530,441997,441997,0.082603245881069584,4,1339591,3144710,1805119
272,6690379,4317150,6469423,+,P,2,4870145,552995,552995,0.082655257646838842,4,826536,5970223,5143687
273,5379203,514525,4852451,+,P,2,959552,445027,445027,0.082731029113420701,4,1177413,2869352,1691939
274,2428787,1334819,2287633,+,P,4,1536271,201452,201452,0.082943461077484362,8,105889,1546598,1440709
275,4261589,2817359,4130261,+,P,2,2463026,354333,354333,0.083145746809464738,4,524933,3867226,3342293
276,5429899,2177672,4998667,+,P,2,1724471,453201,453201,0.08346398340005956,6,233602,2644877,2411275
277,7177481,2931100,6721541,+,P,4,3531726,600626,600626,0.083682004870510973,4,1054800,5040701,3985901
278,1416551,92870,1290539,-,M+,4,212890,120020,120020,0.084726917703633692,6,33141,441596,408455
279,1273121,44323,1136741,-,M+,2,152414,108091,108091,0.084902377700155754,4,92056,274137,182081
280,9687823,4144433,8984707,+,P,2,3319871,824562,824562,0.085113239579211963,4,621577,5387588,4766011
281,7243937,2759277,6606487,+,P,2,3376569,617292,617292,0.085214987374959222,4,22509,2804296,2781787
282,3187643,90388,2963437,-,M+,2,362540,272152,272152,0.085377189352760022,6,133817,1527812,1393995
283,8056201,2591537,7422167,+,P,4,1902079,689458,689458,0.085581032548716199,4,1026425,4644388,3617963
284,3053881,1970854,2952913,+,P,2,1707501,263353,263353,0.086235514743370809,6,376250,2723355,2347105
285,3775763,1291170,3464977,+,P,2,1616935,325765,325765,0.086277925812610595,4,309090,1909351,1600261
286,2184331,442806,1954427,+,P,2,253608,189198,189198,0.086615993638326796,6,132196,707199,575003
287,9843371,1497472,8796863,+,P,4,644193,853279,853279,0.086685648646180252,4,1020342,3538157,2517815
288,8514697,3380217,8018887,+,P,2,2641480,738737,738737,0.086760221767139808,4,1663809,6707836,5044027
289,9729173,233182,8927341,-,M+,2,1085273,852091,852091,0.087581030782369687,8,568649,3883166,3314517
290,2511389,432347,2248139,+,P,2,652459,220112,220112,0.087645522059704814,4,236291,904930,668639
291,3740519,2244856,3619877,+,P,2,1916737,328119,328119,0.087720180007105963,6,651168,3547193,2896025
292,7014131,1733991,6560053,+,P,2,2349958,615967,615967,0.087818006250524827,4,2101593,5937178,3835585
293,5667973,1177999,5319689,+,P,2,679599,498400,498400,0.087932670109755293,8,2051985,5281970,3229985
294,1409659,978293,1369793,+,P,2,1102884,124591,124591,0.088383786433456596,4,152303,1282900,1130597
295,1965443,35434,1825489,-,M+,2,209328,173894,173894,0.088475727863896333,8,104519,950330,845811
296,6544883,1228755,5881339,+,P,2,648685,580070,580070,0.088629544638154728,4,671319,2571394,1900075
297,4675037,55072,4307041,-,M+,4,469829,414757,414757,0.088717372718119664,4,312923,2043992,1731069
298,4801697,1694040,4510091,+,P,2,1267698,426342,426342,0.0887898590852359,4,1066414,3826869,2760455
299,1375243,1185532,1359097,+,P,4,1307674,122142,122142,0.088814849448424757,4,76688,1338909,1262221
300,4276031,531615,3984479,+,P,4,912191,380576,380576,0.089002161116231382,4,1703551,3938718,2235167
301,4889147,360217,4515209,+,P,2,795675,435458,435458,0.089066252252182232,6,1911363,4182944,2271581
302,1495511,607302,1376003,+,P,2,473377,133925,133925,0.089551330615421754,6,51652,710607,658955
303,8415383,3342564,8002639,+,P,2,4102087,759523,759523,0.090254121529584577,6,2183610,7709785,5526175
304,4379021,3227928,4289911,+,P,2,3625684,397756,397756,0.09083217458879507,4,527322,4282573,3755251
305,3326417,1686069,3184057,+,P,2,1990438,304369,304369,0.091500554500533154,4,643827,2973724,2329897
306,4730953,583979,4200263,+,P,2,1017395,433416,433416,0.091612831495049729,4,432143,1448266,1016123
307,3886457,1296616,3521071,+,P,2,1652700,356084,356084,0.091621752151123767,6,32138,1360893,1328755
308,2318033,41415,2150411,-,M+,2,254860,213445,213445,0.092080224914830811,4,126206,1103263,977057
309,9404881,1217900,8235371,+,P,2,350038,867862,867862,0.09227782892734103,4,410,1218721,1218311
310,8895851,1032108,8165761,+,P,2,208450,823658,823658,0.092589005818555184,4,2753112,6538333,3785221
311,4466471,1536675,4187189,+,P,2,1950320,413645,413645,0.092611146473356706,6,974821,3486318,2511497
312,1398973,305907,1259129,+,P,2,175637,130270,130270,0.093118308930908597,6,114157,534222,420065
313,2084287,1466303,2025211,+,P,4,1660989,194686,194686,0.093406522230383815,4,204451,1875206,1670755
314,1807187,4028,1593833,-,M+,2,174426,170398,170398,0.094289080211400367,4,209325,309680,100355
315,1597331,217163,1407053,+,P,2,65701,151462,151462,0.094821924823345949,4,48221,313606,265385
316,8650517,3170198,8161627,+,P,4,3992544,822346,822346,0.095063219920844044,4,2058088,7286375,5228287
317,2928749,832049,2708221,+,P,2,545670,286379,286379,0.097782022290063095,4,553003,1938056,1385053
318,6079159,1679360,5721389,+,P,2,1077988,601372,601372,0.098923551761024839,4,1895408,5470177,3574769
319,3404377,196267,3140861,-,M+,2,533093,336826,336826,0.098939101045507002,6,67248,1363497,1296249
320,9199559,692107,8058881,-,M+,6,1604789,912682,912682,0.099209320794616349,4,448570,522705,74135
321,4468903,3101215,4300487,+,P,2,3545004,443789,443789,0.099306026557300531,4,188775,3478766,3289991
322,9780499,4272786,9313349,+,P,2,3299004,973782,973782,0.099563631671553771,4,2237662,8748111,6510449
323,2027549,1532228,1960009,+,P,2,1734670,202442,202442,0.099845675739525894,4,22540,1577309,1554769
324,2604521,239869,2341477,-,M+,4,503810,263941,263941,0.10133955533474294,6,23174,523343,500169
325,2110099,421093,1956881,+,P,2,207164,213929,213929,0.1013833948075422,4,616479,1654052,1037573
326,7345931,788190,6490111,+,P,4,1538301,750111,750111,0.10211244837448105,8,567000,1922191,1355191
327,8052601,1370149,7370609,+,P,2,538852,831297,831297,0.10323335280116325,6,1908507,5187164,3278657
328,8056201,840184,7422167,+,P,4,1680467,840283,840283,0.10430263594465927,4,2777778,6395741,3617963
329,4886333,2426404,4613507,+,P,4,1916597,509807,509807,0.10433324949404799,4,550146,3526697,2976551
330,5484397,1909700,5194907,+,P,4,2484657,574957,574957,0.10483504385258763,4,1548266,5006233,3457967
331,2362331,709118,2223563,+,P,2,461383,247735,247735,0.10486887739271085,4,681836,2072791,1390955
332,6924193,1119036,6296611,+,P,2,386359,732677,732677,0.10581406381942271,4,1412082,3943201,2531119
333,4789963,3182999,4625611,+,P,2,3698738,515739,515739,0.1076707690643957,4,456499,4095998,3639499
334,4311533,868680,3819923,+,P,6,1334332,465652,465652,0.10800149274051712,6,1582,871845,870263
335,4242677,99059,4093403,-,M+,4,557308,458249,458249,0.10800940066849303,6,50214,3098699,3048485
336,8871019,1047905,7814087,+,P,4,2012256,964351,964351,0.10870803004705547,4,424589,1897084,1472495
337,1341547,309507,1253737,+,P,2,163207,146300,146300,0.1090532049939361,6,417369,1144246,726877
338,4700039,1397868,4363069,+,P,2,885180,512688,512688,0.10908164804589919,4,943380,3284629,2341249
339,6684449,2612408,6359231,+,P,6,3342195,729787,729787,0.10917683716339223,4,1795514,6203437,4407923
340,8415383,5233321,8002639,+,P,2,4313295,920026,920026,0.1093266937464403,6,292853,5819028,5526175
341,4103839,503921,3792821,+,P,4,45241,458680,458680,0.11176851723471608,4,1422791,3349504,1926713
342,5507461,1478396,4997383,+,P,2,2095312,616916,616916,0.11201459256815437,4,458518,2395433,1936915
343,9561551,819980,8331223,+,P,4,1892300,1072320,1072320,0.11214916910446851,6,129274,1078529,949255
344,2605439,636012,2444809,+,P,2,343436,292576,292576,0.11229431969046291,8,845016,2326045,1481029
345,6053251,160286,5434129,-,M+,2,842241,681955,681955,0.11265929663250376,8,458835,1559110,1100275
346,1831877,134980,1619507,+,P,4,342281,207301,207301,0.11316316543086681,4,210306,555593,345287
347,5333707,90722,4752277,+,P,2,694932,604210,604210,0.11328143821923477,4,1172974,2436671,1263697
348,2239229,478519,2056741,+,P,2,224157,254362,254362,0.11359356278433336,4,483293,1445106,961813
349,5797993,3715457,5571689,+,P,2,3056500,658957,658957,0.11365260358196362,4,498407,4712272,4213865
350,7423879,6558357,7347871,+,P,2,5708503,849854,849854,0.11447573431625165,4,333465,7225288,6891823
351,7528021,2875648,7133843,+,P,4,3742102,866454,866454,0.11509718158331386,10,1893126,6661901,4768775
352,2762029,794067,2502293,+,P,6,475684,318383,318383,0.11527141822189413,6,149809,1093686,943877
353,1028329,734423,996511,+,P,2,853296,118873,118873,0.11559821808001136,4,71179,876782,805603
354,5710919,1575635,5278001,+,P,2,2236221,660586,660586,0.11567070028484032,4,1104857,3785350,2680493
355,3951481,1136773,3661501,+,P,2,674547,462226,462226,0.11697538214153123,4,784847,2706468,1921621
356,6497347,1480042,6085741,+,P,4,2247027,766985,766985,0.11804587318485529,6,2136062,5752167,3616105
357,8628293,4041607,7991311,+,P,2,3021405,1020202,1020202,0.11823914649166412,8,127811,4297230,4169419
358,8979011,1250281,7914383,+,P,2,2313355,1063074,1063074,0.11839544466534233,4,276333,1802948,1526615
359,6741961,2621613,6310673,+,P,2,1823293,798320,798320,0.11841065233097611,6,1101331,4824276,3722945
360,4755857,989041,4365811,+,P,2,425867,563174,563174,0.118416933057491,8,1036493,3062028,2025535
361,5050091,1728921,4724089,+,P,2,1126796,602125,602125,0.11923052475688062,4,1039155,3807232,2768077
362,5258867,3562619,5092193,+,P,2,2932754,629865,629865,0.11977199651559928,6,529529,4621678,4092149
363,6212203,1535180,5770321,+,P,2,784302,750878,750878,0.12087145252658356,6,1583848,4702877,3119029
364,6544277,1052496,6082751,+,P,2,260380,792116,792116,0.12103949756405483,4,2261098,5574693,3313595
365,2520367,257350,2214599,+,P,2,564108,306758,306758,0.12171163961438949,4,122640,502631,379991
366,5245067,200836,4576277,-,M-,2,845093,644257,644257,0.1228310334262651,4,362700,467953,105253
367,4789963,3109886,4625611,+,P,2,3698738,588852,588852,0.12293456128993063,4,529612,4169111,3639499
368,7014131,3212710,6560053,+,P,2,2349958,862752,862752,0.12300197986037044,4,622874,4458459,3835585
369,4067513,2899777,3921079,+,P,2,2394197,505580,505580,0.12429708276285779,4,142697,3185172,3042475
370,5561849,630053,5118637,+,P,2,1322314,692261,692261,0.12446598244576579,4,1829311,4288676,2459365
371,3327169,1004210,2995477,+,P,2,585187,419023,419023,0.12593980047301476,4,1114,1006439,1005325
372,5857307,2020366,5318683,+,P,2,2761169,740803,740803,0.12647501659038873,4,66572,2153511,2086939
373,8514697,3732976,8018887,+,P,2,2641480,1091496,1091496,0.12818964667797339,4,1311050,6355077,5044027
374,1476529,363070,1340617,+,P,2,552429,189359,189359,0.12824604189961727,4,162074,687219,525145
375,8302759,1364533,7318613,+,P,2,298529,1066004,1066004,0.12839153828263594,4,49203,1462940,1413737
376,4351349,303038,3937783,-,M+,4,862122,559084,559084,0.12848521228704018,8,110527,1153348,1042821
377,5311217,3750838,5121979,+,P,2,4433252,682414,682414,0.12848542998713855,6,235712,4222263,3986551
378,9136499,1295935,8137289,+,P,2,2476637,1180702,1180702,0.12922915002781701,4,846093,2988122,2142029
379,5145197,3811883,4979617,+,P,2,3143215,668668,668668,0.12995964974713312,6,174253,4160390,3986137
380,5258867,3621634,5092193,+,P,2,2932754,688880,688880,0.13099399547469065,6,470514,4562663,4092149
381,7482679,711402,6772357,+,P,2,1694571,983169,983169,0.13139264693834921,8,1799022,4309447,2510425
382,3166333,711422,2920409,+,P,2,1130768,419346,419346,0.13243900752068719,8,733442,2178307,1444865
383,7366607,2926056,6838241,+,P,4,1946592,979464,979464,0.13295999094291305,6,741988,4410033,3668045
384,4440221,438164,4103543,+,P,2,1030815,592651,592651,0.13347331135094401,6,1645310,3728785,2083475
385,2797999,2157293,2707801,+,P,2,2531746,374453,374453,0.13382885412039103,6,9319,2175932,2166613
386,3053881,2117547,2952913,+,P,2,1707501,410046,410046,0.13427045782072058,6,229557,2576662,2347105
387,4733329,750559,4196789,+,P,2,113438,637121,637121,0.13460315139725129,4,226989,1204538,977549
388,3212509,1262546,2941753,+,P,2,828656,433890,433890,0.13506265663380243,4,54670,1371887,1317217
389,3166333,702763,2920409,+,P,2,1130768,428005,428005,0.1351737167253097,8,742101,2186966,1444865
390,1888907,721212,1742579,+,P,2,464960,256252,256252,0.13566152277481106,6,143398,1008009,864611
391,5565047,1189916,5096249,+,P,2,1946366,756450,756450,0.13592877113167237,4,1093544,3377005,2283461
392,4413061,118855,3914819,-,M+,8,718764,599909,599909,0.13593943070354114,6,379386,806511,427125
393,3250189,329710,2906663,-,M+,2,771952,442242,442242,0.13606654874531912,6,13815,515796,501981
394,6684449,4252129,6359231,+,P,6,3342253,909876,909876,0.13611832478638106,4,155793,4563716,4407923
395,8301703,1613384,7419299,+,P,2,483117,1130267,1130267,0.1361488118763102,4,511490,2636365,2124875
396,3002189,174112,2631653,+,P,2,585374,411262,411262,0.13698737820969967,4,234324,642761,408437
397,1076381,588748,1038187,+,P,4,736723,147975,147975,0.13747455594255195,4,220274,1029297,809023
398,4243091,804144,3923687,+,P,4,1387855,583711,583711,0.13756740074629556,4,1203118,3210381,2007263
399,6898907,138571,6059653,+,P,2,1097128,958557,958557,0.13894331377419641,6,885557,1909686,1024129
400,7964569,5935443,7704467,+,P,2,7047059,1111616,1111616,0.13957013869802623,8,208411,6352266,6143855
401,2457641,409749,2235997,+,P,4,753649,343900,343900,0.13993093376941546,4,496383,1402516,906133
402,1762627,515771,1663381,+,P,2,268261,247510,247510,0.14042108738831302,4,552133,1620038,1067905
403,2043539,172708,1841951,-,M+,2,460522,287814,287814,0.14084096266330126,6,28879,459714,430835
404,5360881,153832,5121527,-,M+,2,912129,758297,758297,0.1414500713595396,4,85521,3531570,3446049
405,8061019,5940832,7800967,+,P,2,7086513,1145681,1145681,0.14212607612015304,4,299822,6540477,6240655
406,8751089,536400,7635449,-,M-,4,1784613,1248213,1248213,0.14263516232094087,6,405208,579239,174031
407,9074053,2242901,8180611,+,P,2,3538229,1295328,1295328,0.14275076418442784,4,577057,3397016,2819959
408,7423879,6769240,7347871,+,P,2,5708503,1060737,1060737,0.14288177380046199,4,122582,7014405,6891823
409,8722643,47126,8011693,-,M+,4,1293839,1246713,1246713,0.14292835325256348,4,663823,3698866,3035043
410,8173547,5689008,7952761,+,P,2,4520311,1168697,1168697,0.14298529145302522,4,939036,7567081,6628045
411,5050091,1851220,4724089,+,P,2,1126796,724424,724424,0.14344771213033586,4,916856,3684933,2768077
412,2022791,12620,1846261,-,M+,2,304937,292317,292317,0.14451171673198071,6,163909,774460,610551
413,4261589,3079258,4130261,+,P,2,2463026,616232,616232,0.14460146203681304,4,263034,3605327,3342293
414,6223601,2673671,5722603,+,P,2,1767587,906084,906084,0.14558838203156019,4,42943,2759558,2716615
415,7683593,1127363,6982081,+,P,2,8142,1119221,1119221,0.14566375392345743,4,1645645,4418654,2773009
416,7128307,334999,6310919,+,P,2,1379163,1044164,1044164,0.14648134543026836,6,1071591,2478182,1406591
417,1120799,120554,982187,+,P,2,285086,164532,164532,0.14679884618026962,6,29960,180475,150515
418,9332339,882476,8387447,-,M+,2,2253730,1371254,1371254,0.14693572533102367,6,62415,1835618,1773203
419,9931379,961776,8862173,-,M+,2,2428401,1466625,1466625,0.14767586656394846,4,107429,1485160,1377731
420,4867301,1384300,4441289,+,P,2,2106557,722257,722257,0.1483896311323257,4,500916,2386133,1885217
421,7112717,3230173,6618013,+,P,2,2173416,1056757,1056757,0.14857290118529951,6,419615,4069404,3649789
422,6497347,3282531,6085741,+,P,4,4250319,967788,967788,0.1489512565667187,6,333573,3949678,3616105
423,5465459,4145297,5302837,+,P,2,4960375,815078,815078,0.14913257971562865,4,181807,4508912,4327105
424,4634111,31264,4143499,+,P,4,726050,694786,694786,0.14992864866637851,8,1168562,2368389,1199827
425,2435929,143496,2192131,+,P,2,509519,366023,366023,0.15026012662930652,6,585846,1315189,729343
426,3230797,853329,3033913,+,P,4,1338946,485617,485617,0.15030873187018559,4,999279,2851888,1852609
427,1196537,530648,1116491,+,P,2,350769,179879,179879,0.15033300265683386,6,105566,741781,636215
428,3207119,282070,2817599,+,P,2,765249,483179,483179,0.15065826993011486,8,198408,678887,480479
429,7112717,1101180,6618013,+,P,2,2173416,1072236,1072236,0.15074914410344176,6,2548608,6198397,3649789
430,9941089,2275626,9223519,+,P,8,3777858,1502232,1502232,0.15111342429385755,10,2642472,7560571,4918099
431,6848929,1367724,6210289,+,P,2,2405096,1037372,1037372,0.15146484946770511,6,1010724,3389173,2378449
432,6400921,1392985,5721389,+,P,4,422677,970308,970308,0.1515888104227501,4,251211,1895408,1644197
433,7436113,1162839,6888577,+,P,4,2291687,1128848,1128848,0.15180619229428063,6,2440521,6043882,3603361
434,8492797,1168127,7837127,+,P,2,2459478,1291351,1291351,0.1520524981345957,4,2734979,6638086,3903107
435,7859581,1667749,7335047,+,P,2,471282,1196467,1196467,0.1522303797110813,4,2520093,6707936,4187843
436,4440221,1708717,4103543,+,P,2,1030815,677902,677902,0.15267303136488025,6,374757,2458232,2083475
437,4259903,1029176,3805621,+,P,2,1684205,655029,655029,0.15376617730497619,4,50752,1130681,1079929
438,6719917,289400,5993539,-,M+,4,1329980,1040580,1040580,0.1548501268691265,6,436977,1345870,908893
439,3232597,2581042,3157181,+,P,2,3081668,500626,500626,0.15486805190996589,6,123642,2828327,2704685
440,3560173,2478500,3460069,+,P,2,1926368,552132,552132,0.15508572195789361,6,380944,3240389,2859445
441,4318991,173335,3823717,+,P,4,845045,671710,671710,0.15552475103560068,6,678737,1530810,852073
442,6168377,1260282,5579131,+,P,2,290586,969696,969696,0.15720439914745807,6,783372,2827027,2043655
443,5397113,4375373,5285219,+,P,2,5225205,849832,849832,0.15746047933404397,4,238481,4852336,4613855
444,1754147,91880,1591553,-,M+,4,368130,276250,276250,0.15748395088895059,4,70713,524108,453395
445,9830329,7999783,9584101,+,P,2,9553059,1553276,1553276,0.15800854681465901,6,106949,8213682,8106733
446,6028283,988519,5365267,+,P,2,1943390,954871,954871,0.15839850252551183,4,398651,1785822,1387171
447,2556091,530784,2297051,+,P,4,125821,404963,404963,0.15843058795637557,4,212026,954837,742811
448,5390023,519293,4820441,+,P,2,1374764,855471,855471,0.15871379398566574,4,883655,2286604,1402949
449,1142789,344223,1065689,+,P,2,161861,182362,182362,0.15957626473478481,4,258865,861954,603089
450,3031981,280534,2745103,-,M+,2,765173,484639,484639,0.15984236048972603,4,6343,743300,736957
451,8472047,463904,7923067,-,M+,2,1836362,1372458,1372458,0.16199839306840483,4,85075,4165282,4080207
452,3717893,390507,3301933,+,P,4,993357,602850,602850,0.16214829205681822,4,415665,1221838,806173
453,1028329,685874,996511,+,P,2,853296,167422,167422,0.16280976224535143,4,119728,925331,805603
454,2639071,1576228,2514509,+,P,2,2006845,430617,430617,0.16316991850541346,4,190908,1958045,1767137
455,1731407,447900,1586617,+,P,2,162882,285018,285018,0.16461640734962951,8,269976,987853,717877
456,5152841,1275439,4683967,+,P,2,2126617,851178,851178,0.16518615652996085,4,595283,2466006,1870723
457,5736833,2268282,5351257,+,P,2,1320500,947782,947782,0.16520996863600526,4,769518,3807319,3037801
458,6083927,334941,5401247,-,M+,2,1340356,1005415,1005415,0.16525757130221977,4,347738,970225,622487
459,5987677,1043625,5601251,+,P,2,44576,999049,999049,0.16685085050512913,6,2239069,5521764,3282695
460,3309997,2260376,3182147,+,P,2,2816670,556294,556294,0.16806480489257242,4,154670,2569717,2415047
461,4801697,2077233,4510091,+,P,2,1267698,809535,809535,0.16859352016589135,4,683221,3443676,2760455
462,6702469,2410613,6102773,+,P,2,1280377,1130236,1130236,0.16862979895915967,4,93983,2598580,2504597
463,2698063,11609,2400577,+,P,4,468723,457114,457114,0.1694230268159046,4,604051,1219712,615661
464,8483317,2124422,7840267,+,P,2,3562632,1438210,1438210,0.16953392169595927,4,1857544,5839511,3981967
465,5976023,338270,5460797,+,P,2,1354528,1016258,1016258,0.1700559050726545,4,2031170,4400611,2369441
466,6513373,240665,5840347,+,P,6,1352708,1112043,1112043,0.1707322765025126,4,1561525,3363716,1802191
467,7177481,2305061,6721541,+,P,4,3531726,1226665,1226665,0.17090466697160187,4,1680839,5666740,3985901
468,5110423,3754707,4959083,+,P,2,4632717,878010,878010,0.17180769576217075,6,296335,4347378,4051043
469,4015741,381476,3517967,+,P,4,1081171,699695,699695,0.17423807959726487,6,149846,681169,531323
470,9171677,4447289,8710909,+,P,2,2844904,1602385,1602385,0.17471014297603371,6,1499011,7445312,5946301
471,8891879,2411607,8002277,+,P,2,853882,1557725,1557725,0.17518513241127101,4,253057,2917722,2664665
472,7391519,2002011,6624659,+,P,2,698177,1303834,1303834,0.1763959478423853,4,21487,2044986,2023499
473,9343127,2711422,8494253,+,P,2,4361293,1649871,1649871,0.17658659675716706,6,689586,4090595,3401009
474,7316299,2542244,6928421,+,P,2,1248373,1293871,1293871,0.17684774774787088,4,2058908,6660061,4601153
475,1888907,130041,1742579,+,P,2,464960,334919,334919,0.17730835874926612,6,734569,1599180,864611
476,2511323,1960208,2451919,+,P,2,2408176,447968,447968,0.17837928454444132,4,135286,2230781,2095495
477,8552909,933583,7609909,-,M+,2,2468388,1534805,1534805,0.17944830232614423,6,9416,1018325,1008909
478,9171677,4680704,8710909,+,P,2,6326772,1646068,1646068,0.17947295788981665,6,1265596,7211897,5946301
479,8921911,1075421,8104753,+,P,2,2684386,1608965,1608965,0.18033860682985967,6,2126383,5328188,3201805
480,3314477,169124,3071231,-,M+,2,767885,598761,598761,0.18065022023082375,8,74121,1442630,1368509
481,5085637,842902,4550857,+,P,2,1766293,923391,923391,0.18156840529514789,4,499274,1841451,1342177
482,8899469,6485269,8637059,+,P,2,8103511,1618242,1618242,0.18183579267482139,6,577329,7639928,7062599
483,5710919,1187842,5278001,+,P,2,2236221,1048379,1048379,0.18357448249572442,4,1492650,4173143,2680493
484,2343343,730145,2210387,+,P,2,298520,431625,431625,0.18419198555226443,4,682505,2095156,1412651
485,1452169,574346,1365167,+,P,2,306758,267588,267588,0.18426780904977313,4,268808,1111963,843155
486,2997727,251157,2723881,-,M+,2,805157,554000,554000,0.1848066885343462,4,22688,829647,806959
487,7640443,3455724,7078693,+,P,2,2042162,1413562,1413562,0.18501047648676916,4,252468,3960661,3708193
488,9789293,1812629,8828857,+,P,6,868,1811761,1811761,0.18507577615666423,6,1253611,4319852,3066241
489,1773847,380212,1625867,+,P,2,709270,329058,329058,0.1855052887875899,6,357774,1095761,737987
490,9889307,1011834,8686529,-,M+,2,2849872,1838038,1838038,0.18586115285934596,6,190943,458026,267083
491,4310563,1139730,3894857,+,P,2,1942650,802920,802920,0.18626801185831177,4,260890,1661511,1400621
492,8483317,1981211,7840267,+,P,2,3562632,1581421,1581421,0.18641540802966575,4,2000755,5982722,3981967
493,4390781,601290,3965123,+,P,2,1429374,828084,828084,0.18859606070081839,4,809884,2221059,1411175
494,7640443,590161,7078693,+,P,2,2042162,1452001,1452001,0.19004146749082482,4,3118031,6826224,3708193
495,9838397,627039,8819659,-,M+,2,2497047,1870008,1870008,0.19007242744930908,4,391698,2080191,1688493
496,4443841,1030480,4032967,+,P,2,1876652,846172,846172,0.19041455353600636,4,537242,2104965,1567723
497,1184461,354101,1080263,+,P,2,579936,225835,225835,0.19066478339092632,8,100973,556048,455075
498,5397113,4180972,5285219,+,P,2,5225205,1044233,1044233,0.19347992158029673,4,432882,5046737,4613855
499,7669553,157245,6886519,-,M+,4,1645455,1488210,1488210,0.19404129549662152,4,625788,2031069,1405281
500,1057117,477496,977023,+,P,2,271627,205869,205869,0.19474570932072799,4,18962,515421,496459
501,1452169,589951,1365167,+,P,2,306758,283193,283193,0.1950138034898142,4,253203,1096358,843155
502,8057701,4267,7510729,-,M+,2,1584559,1580292,1580292,0.19612194594959531,4,542704,4224629,3681925
503,2026081,1039203,1903921,+,P,2,1437419,398216,398216,0.19654495550770182,6,131757,1302718,1170961
504,2874023,2213509,2821859,+,P,2,1643784,569725,569725,0.19823258199395064,4,295365,2804240,2508875
505,2630609,107203,2414597,-,M+,2,633244,526041,526041,0.19996928467894698,6,108808,1011321,902513
506,7570637,5757265,7318613,+,P,2,7272976,1515711,1515711,0.20020917658580117,4,49203,5855672,5806469
507,3560173,2639765,3460069,+,P,2,1926368,713397,713397,0.20038267803278098,6,219679,3079124,2859445
508,7148893,4475999,6845981,+,P,2,5910315,1434316,1434316,0.20063469966608816,4,552509,5581018,5028509
509,2679587,2006192,2608561,+,P,2,2543965,537773,537773,0.20069249477624723,4,176212,2358617,2182405
510,2751299,131233,2391671,-,M-,2,686238,555005,555005,0.20172471258122074,4,102669,228394,125725
511,6096593,4256735,5895707,+,P,2,5489514,1232779,1232779,0.202207856092739,4,433655,5124046,4690391
512,9915911,103712,8974429,-,M+,2,2111971,2008259,2008259,0.20252894565108542,8,837769,3221824,2384055
513,1625483,47922,1408999,+,P,2,377868,329946,329946,0.20298335940763454,4,62172,172267,110095
514,9931379,407526,8973863,+,P,2,2428401,2020875,2020875,0.20348382636489856,4,2821240,6050007,3228767
515,6212203,2051585,5770321,+,P,2,784302,1267283,1267283,0.20399896783797955,6,1067443,4186472,3119029
516,3516209,285761,3086801,-,M+,2,1003937,718176,718176,0.20424724468881117,4,143646,224591,80945
517,3636839,659908,3251173,+,P,2,1404434,744526,744526,0.20471788825405798,6,277268,1214445,937177
518,8170243,578982,7496933,-,M+,6,2254799,1675817,1675817,0.20511225920697829,4,94327,2878090,2783763
519,2036071,723856,1852637,+,P,2,306164,417692,417692,0.2051460877346615,8,28176,780209,752033
520,1275611,18169,1121297,-,M+,2,281157,262988,262988,0.20616629991431557,6,136144,177243,41099
521,4148483,780591,3712231,+,P,4,1637607,857016,857016,0.20658539519144709,4,314127,1408846,1094719
522,6279997,25358,5462239,-,M-,2,1323132,1297774,1297774,0.20665200954713833,8,530332,792399,262067
523,1151401,283666,1041203,+,P,4,45668,237998,237998,0.20670296447545208,8,96348,476363,380015
524,1885243,1135062,1823963,+,P,2,1525124,390062,390062,0.20690277062426435,12,321220,1777503,1456283
525,1142789,399354,1065689,+,P,2,161861,237493,237493,0.2078187661939343,4,203734,806823,603089
526,2829557,810238,2650931,+,P,2,1402194,591956,591956,0.20920447971184181,4,768936,2348111,1579175
527,1011271,8568,875593,-,M-,4,221066,212498,212498,0.21012962895208109,4,52956,127109,74153
528,8323291,2257551,7619917,+,P,2,4010242,1752691,1752691,0.21057668174764044,6,1142121,4541794,3399673
529,8173547,6242365,7952761,+,P,2,4520311,1722054,1722054,0.21068625408283576,4,385679,7013724,6628045
530,9737683,172752,8845691,-,M+,2,2227457,2054705,2054705,0.21100553386262419,4,719239,3320986,2601747
531,2511323,1874357,2451919,+,P,2,2408176,533819,533819,0.21256485127560254,4,221137,2316632,2095495
532,7306661,4537320,7092307,+,P,2,6092388,1555068,1555068,0.21282881469388001,4,1268862,7075045,5806183
533,9931379,304911,8973863,+,P,2,2428401,2123490,2123490,0.21381622834049532,4,2923855,6152622,3228767
534,5598091,1527275,5092193,+,P,2,323126,1204149,1204149,0.21509993317364795,6,529529,2586334,2056805
535,4090703,133506,3806119,-,M+,2,1017074,883568,883568,0.21599417019519629,4,151077,1965108,1814031
536,1651921,1230997,1597601,+,P,2,1590738,359741,359741,0.21777130988709509,6,40683,1312364,1271681
537,3232597,2375831,3157181,+,P,2,3081668,705837,705837,0.21834982832688393,6,328853,3033538,2704685
538,8895851,2157793,8165761,+,P,2,208450,1949343,1949343,0.21912945709185103,4,1627427,5412648,3785221
539,2639071,1210673,2514509,+,P,2,632225,578448,578448,0.21918622121193404,4,556463,2323600,1767137
