q,occurrences,plus_occurrences,minus_occurrences,unique_Aq,zq_size,selected_occurrences,selected_digits,min_linear_distance,min_cyclic_distance,min_normalized_distance,heuristic_AZ_over_q,max_K_premark,max_K_selected
1423159,2,2,0,2,2,0,0,61591,61591,0.043277666093528552,2.8106487047476776e-06,1,0
1426987,1,0,1,1,2,0,0,26240,26240,0.018388394568415831,1.4015544640560846e-06,1,0
1439359,1,0,1,1,0,0,0,-1,-1,,0,1,0
1441367,1,0,1,1,0,0,0,-1,-1,,0,1,0
1444913,1,1,0,1,2,0,0,30014,30014,0.020772184899713685,1.3841663823358223e-06,1,0
1452169,2,2,0,2,2,0,0,267588,267588,0.18426780904977313,2.7545003370819787e-06,1,0
1456709,2,2,0,2,0,0,0,-1,-1,,0,1,0
1459153,2,2,0,2,2,0,0,326463,326463,0.22373459123203668,2.7413163664125696e-06,1,0
1460741,2,2,0,2,0,0,0,-1,-1,,0,1,0
1462693,1,0,1,1,2,0,0,422411,422411,0.28878992379125351,1.3673409252659308e-06,1,0
1468741,1,0,1,1,2,0,0,500208,500208,0.3405692358285089,1.3617104717577845e-06,1,0
1476529,1,1,0,1,2,0,0,189359,189359,0.12824604189961727,1.3545280858012271e-06,1,0
1477843,1,0,1,1,2,0,0,535869,535869,0.3626021167336449,1.3533237292459348e-06,1,0
1487113,1,0,1,1,0,0,0,-1,-1,,0,1,0
1487599,1,0,1,1,0,0,0,-1,-1,,0,1,0
1490161,2,2,0,2,0,0,0,-1,-1,,0,1,0
1495511,1,1,0,1,2,0,0,133925,133925,0.089551330615421754,1.3373355328045062e-06,1,0
1499231,1,0,1,1,0,0,0,-1,-1,,0,1,0
1499551,1,1,0,1,2,0,0,54054,54054,0.036046790005808405,1.3337325639474749e-06,1,0
1505681,2,2,0,2,0,0,0,-1,-1,,0,1,0
1509581,1,0,1,1,0,0,0,-1,-1,,0,1,0
1510039,1,0,1,1,2,0,0,124598,124598,0.0825131006550162,1.3244691031158799e-06,1,0
1514783,1,0,1,1,2,0,0,589369,589369,0.38907817159289482,1.3203211285048749e-06,1,0
1517317,1,1,0,1,0,0,0,-1,-1,,0,1,0
1519159,1,1,0,1,0,0,0,-1,-1,,0,1,0
1521901,2,2,0,2,0,0,0,-1,-1,,0,1,0
1522253,1,0,1,1,0,0,0,-1,-1,,0,1,0
1529149,1,1,0,1,0,0,0,-1,-1,,0,1,0
1533139,1,1,0,1,2,0,0,459311,459311,0.29958862177532503,1.3045131589503625e-06,1,0
1534051,2,2,0,2,2,0,0,337818,337818,0.2202130176897639,2.6074752403929204e-06,1,0
1536487,1,1,0,1,2,0,0,574533,574533,0.37392636579417854,1.301670629169007e-06,1,0
1537411,1,0,1,1,0,0,0,-1,-1,,0,1,0
1538167,2,2,0,2,0,0,0,-1,-1,,0,1,0
1538261,1,0,1,1,2,0,0,386294,386294,0.2511238339917608,1.3001694770913389e-06,1,0
1545539,2,2,0,2,2,0,0,487028,487028,0.31511854440424991,2.5880938624001077e-06,1,0
1548623,2,2,0,2,0,0,0,-1,-1,,0,1,0
1551133,2,2,0,2,0,0,0,-1,-1,,0,1,0
1553561,1,0,1,1,0,0,0,-1,-1,,0,1,0
1563253,2,2,0,2,0,0,0,-1,-1,,0,1,0
1570237,1,1,0,1,0,0,0,-1,-1,,0,1,0
1576501,1,0,1,1,6,0,0,593023,593023,0.37616404937262965,3.8058967295295088e-06,1,0
1579313,2,2,0,2,2,0,0,502595,502595,0.31823647370723851,2.5327468335915681e-06,1,0
1597331,1,1,0,1,2,0,0,151462,151462,0.094821924823345949,1.252088640363206e-06,1,0
1610149,1,1,0,1,2,0,0,7160,7160,0.004446793433402747,1.2421210707828902e-06,1,0
1611917,1,1,0,1,0,0,0,-1,-1,,0,1,0
1616623,2,2,0,2,0,0,0,-1,-1,,0,1,0
1625483,1,1,0,1,2,0,0,329946,329946,0.20298335940763454,1.2304035169854129e-06,1,0
1626503,2,2,0,2,0,0,0,-1,-1,,0,1,0
1635971,2,2,0,2,0,0,0,-1,-1,,0,1,0
1638569,1,1,0,1,0,0,0,-1,-1,,0,1,0
1649287,2,2,0,2,0,0,0,-1,-1,,0,1,0
1651921,2,2,0,2,2,0,0,359741,359741,0.21777130988709509,2.4214233005089229e-06,1,0
1663589,1,0,1,1,4,0,0,78183,78183,0.046996583891814624,2.4044400389759729e-06,1,0
1663919,2,2,0,2,0,0,0,-1,-1,,0,1,0
1670687,1,1,0,1,2,0,0,518772,518772,0.31051417770055073,1.1971123256480718e-06,1,0
1675339,1,1,0,1,0,0,0,-1,-1,,0,1,0
1676713,1,0,1,1,0,0,0,-1,-1,,0,1,0
1679059,2,2,0,2,0,0,0,-1,-1,,0,1,0
1679417,1,1,0,1,2,0,0,124140,124140,0.073918508625314613,1.1908894574724444e-06,1,0
1680439,1,1,0,1,0,0,0,-1,-1,,0,1,0
1689211,1,0,1,1,0,0,0,-1,-1,,0,1,0
1691033,1,1,0,1,2,0,0,31693,31693,0.018741798652066519,1.1827090305156672e-06,1,0
1700807,1,1,0,1,0,0,0,-1,-1,,0,1,0
1702249,2,2,0,2,4,0,0,65669,65669,0.038577787385981721,4.6996649726332635e-06,1,0
1703957,1,0,1,1,0,0,0,-1,-1,,0,1,0
1706641,1,0,1,1,0,0,0,-1,-1,,0,1,0
