lo_exclusive,hi_inclusive,prime_count,q_with_z,q_with_a,q_with_both,total_z,total_a,assigned_occurrences,actual_occurrences,max_z,max_a,mean_z,mean_a,mean_a_times_log_mid,heuristic_sum,heuristic_times_log_mid,heuristic_times_log_mid_squared,norm_gap_q25,norm_gap_median,norm_gap_q75,scaled_gap_median
1000000,1500000,35657,14137,86,44,36080,122,122,0,10,2,1.0118630282973891,0.0034214880668592424,0.048033087509660795,0.00012280401364967204,0.0017240030708588594,0.024202682795121451,0.066219527864235878,0.17192203689227897,0.25782467700730227,0.70744328891408104
1500000,2000000,34778,13555,97,38,34570,140,140,0,12,2,0.99401920754499973,0.0040255333831732704,0.057867550992752821,6.8934615281024373e-05,0.00099094380427071339,0.014244942388078004,0.064349443408132798,0.14895251913863181,0.29736685663016438,0.77697729639044888
2000000,2500000,34139,13537,81,27,34442,113,113,0,10,2,1.0088754796566977,0.0033099973637189138,0.048413480403128623,4.8840143302778559e-05,0.00071435746342058402,0.010448507130315058,0.037943011844528238,0.092080224914830811,0.14738592168064363,0.4194755095708434
2500000,3000000,33744,13167,88,41,33458,117,117,0,10,2,0.99152441915599809,0.0034672830725462306,0.051409792613448385,4.9379496283331931e-05,0.00073215529570777257,0.010855748182548397,0.044473039419244777,0.13382885412039103,0.22786884515262645,0.7135171381777653
3000000,3500000,33334,13229,87,39,33750,114,114,0,10,2,1.0124797504049918,0.0034199316013679725,0.05127902061531394,3.7342589108441089e-05,0.00055992096331838675,0.008395547621322344,0.038447080304570946,0.098939101045507002,0.17435751256169807,0.52975603008274874
3500000,4000000,32996,13144,74,26,33430,101,101,0,10,2,1.0131531094678143,0.0030609770881318949,0.046334825621063343,2.4872881033154548e-05,0.00037650742628329349,0.0056992932124554528,0.052139825871391716,0.12335373705450869,0.24328142046026513,0.5161503271782969
4000000,4500000,32802,13057,96,41,33242,131,131,0,10,2,1.0134138162307176,0.0039936589232363881,0.060952937926284326,3.709039945443709e-05,0.00056608960831720421,0.008639902760777347,0.031276146201329867,0.10800940066849303,0.20658539519144709,0.71201728892985106
4500000,5000000,32565,12861,92,32,32670,131,131,0,10,4,1.0032243205895901,0.0040227237832028253,0.061843968311297959,2.5600216314459636e-05,0.00039356889804978911,0.0060505925266200172,0.05094189261806395,0.088928055668709066,0.22945420509618178,0.41929248994306001
5000000,5500000,32287,12600,83,30,31984,119,119,0,10,2,0.99061541797008079,0.0036856939325425092,0.057031464599175179,2.01972042110236e-05,0.00031252625911037149,0.0048359496499131042,0.039033276253280749,0.083097506256740131,0.14721195262660638,0.45252980749401478
5500000,6000000,32049,12566,69,30,32384,94,94,0,10,2,1.0104527442353897,0.0029330088302287121,0.045651433080617559,1.8136174996724716e-05,0.00028228431181940417,0.004393673567538091,0.031628236982622474,0.071573161489755691,0.2462991856263029,0.42667161965677103
6000000,6500000,31908,12602,76,23,32052,101,101,0,10,2,1.0045129748025574,0.0031653503823492542,0.049531694063964238,1.0196783776714963e-05,0.00015956021086354171,0.0024968128625965647,0.069199807079478204,0.1515888104227501,0.2228013258555066,0.6335940101020473
6500000,7000000,31891,12372,77,28,31330,108,108,0,10,4,0.98240883007745128,0.0033865353861591042,0.053253448646566774,1.6678243791251243e-05,0.00026226626861255292,0.0041241509905277285,0.033342007121679375,0.064056843719494716,0.15231116881806045,0.27785593997374936
7000000,7500000,31613,12403,83,26,31546,115,115,0,12,2,0.99788061873279976,0.0036377439660898996,0.057463666310870486,1.2934970194996516e-05,0.00020432741225196114,0.0032276604250493311,0.056382070295178992,0.10829409134536636,0.19468796168653385,0.59010849323113579
7500000,8000000,31516,12179,71,29,31082,93,93,0,12,2,0.98622921690569865,0.0029508820916359945,0.046810442832962505,1.3923717567286915e-05,0.00022087476387253752,0.0035037813055306941,0.0281373716339463,0.079600056096081701,0.22389672422719603,0.50669428417895623
8000000,8500000,31342,12357,63,24,31446,85,85,0,10,2,1.0033182311275604,0.0027120158254099929,0.043190814863646974,9.7018656111960611e-06,0.00015450923166416427,0.002460671341592338,0.075072777596282031,0.14255568378658912,0.23617015036906119,0.60996736904286009
8500000,9000000,31370,12274,75,31,31062,98,98,0,12,2,0.99018170226330893,0.0031240038253108064,0.049935839888961178,1.0756391742463362e-05,0.00017193623499521665,0.0027483257966170209,0.034951530867069591,0.092589005818555184,0.17989345457800193,0.47295658596665646
9000000,9500000,31089,12297,53,23,31174,69,69,0,12,2,1.0027340860111293,0.0022194345266814629,0.035600027455200037,8.4233983054707527e-06,0.00013511243847738998,0.0021672216330373638,0.037664539851412021,0.099209320794616349,0.19796464985207271,0.5660540021676469
9500000,10000000,31001,12328,64,31,31370,88,88,0,10,3,1.0119028418438114,0.002838618109093255,0.045681250610680769,1.1473706828044516e-05,0.00018464381501913463,0.0029714318951821251,0.059012050687988836,0.18507577615666423,0.27605594060096666,0.81011578260434169
