rank,cyclic,linear,nearest_zero,sign,q,t,p,Z,selected
34,290731,290731,5302083,+,17370653,5592814,16460767,4,0
35,293651,293651,815516,-,19741147,521865,18137281,2,0
36,310950,310950,3001318,+,17722987,3312268,15739111,4,0
37,323796,323796,362887,-,16270549,686683,14609641,4,0
38,329823,329823,2286313,+,18076099,2616136,16717693,2,0
39,341227,341227,14512350,+,18293467,14171123,17785181,2,0
40,394904,394904,6232577,+,17875951,5837673,16545241,2,0
41,419427,419427,1136554,-,16066597,1555981,14055131,2,0
42,422035,422035,11633678,+,16697501,12055713,16152841,2,0
43,462926,462926,1154467,-,18985679,691541,17919103,4,0
44,473519,473519,6573208,+,18681961,7046727,17701183,2,0
45,486788,486788,9780077,+,17386199,9293289,16736059,2,0
46,527793,527793,1934030,+,15354883,1406237,13921571,2,0
47,545244,545244,12323268,+,17095207,11778024,16451437,4,0
48,568437,568437,12396512,+,17515829,12964949,16986391,2,0
49,580056,580056,770489,-,16164191,1350545,14162509,4,0
50,598559,598559,1931742,+,17405513,2530301,16025803,2,0
51,600358,600358,1440692,-,18236651,840334,16542269,2,0
52,603615,603615,4991107,+,18540493,4387492,16939501,4,0
53,606889,606889,11947132,+,15664289,12554021,15395299,2,0
54,612432,612432,1931626,-,16676123,1319194,15353203,2,0
55,617648,617648,1812332,-,19472527,1194684,16900337,2,0
56,619969,619969,9399037,+,15010921,8779068,14323433,2,0
57,657179,657179,11356929,+,15451217,12014108,15174209,2,0
58,679516,679516,1144866,+,16108619,1824382,14692591,2,0
59,735538,735538,666315,-,17271203,1401853,15102259,2,0
60,751003,751003,978518,+,18626299,1729521,16959101,2,0
61,763645,763645,1559404,-,16057439,795759,14249021,2,0
62,777828,777828,1347811,-,16335013,569983,15162491,2,0
63,793465,793465,1656123,-,15333343,862658,13671809,2,0
64,815739,815739,5768343,+,18332101,6584082,16720049,2,0
65,820386,820386,1181386,+,16171877,2001772,14193161,2,0
66,820978,820978,97919,+,18546917,918897,16578097,2,0
67,860656,860656,3010624,+,18088319,2149968,15824441,2,0
68,887142,887142,5249043,+,19937429,4361901,18703703,4,0
69,917323,917323,6643070,+,17207717,7560393,16136489,2,0
70,918564,918564,12396512,+,17515829,11477948,16986391,2,0
71,920010,920010,14629379,+,18332689,13709369,17710727,4,0
72,920701,920701,6638019,+,15115913,5717318,14325097,2,0
73,927429,927429,1144866,+,16108619,2072295,14692591,2,0
74,933492,933492,10757414,+,17057863,9823922,16377017,2,0
75,934276,934276,9271408,+,15367369,10205684,14811617,2,0
76,957438,957438,1793700,-,17868647,836262,16096939,4,0
77,965494,965494,1926837,-,15428107,961343,14117179,2,0
78,988859,988859,1780883,+,19631657,792024,17081567,2,0
79,1014907,1014907,13521285,+,17868449,12506378,17379799,2,0
80,1057574,1057574,45958,-,18860921,1103532,17141297,6,0
81,1082728,1082728,10235159,+,18256313,11317887,17336947,2,0
82,1094200,1094200,11930940,+,18800797,10836740,17996611,2,0
83,1100813,1100813,8266652,+,19839341,7165839,18860921,2,0
84,1105905,1105905,2001718,+,16452497,895813,14869163,2,0
85,1106925,1106925,1905312,-,15891223,798387,14091041,4,0
86,1117798,1117798,12068569,+,17370653,10950771,16460767,4,0
87,1134910,1134910,1591939,-,19432477,457029,16969201,2,0
88,1139607,1139607,2020176,+,19737973,880569,17508683,2,0
89,1147415,1147415,1462456,+,16856501,2609871,15110791,2,0
90,1152634,1152634,1299015,+,16432111,146381,14432251,6,0
91,1183564,1183564,12022000,+,19937429,10838436,18703703,4,0
92,1187590,1187590,11633678,+,16697501,10446088,16152841,2,0
93,1189748,1189748,3568441,+,16859867,4758189,15458659,4,0
94,1194803,1194803,192727,+,16241419,1387530,15077371,2,0
95,1200598,1200598,978518,+,18626299,2179116,16959101,2,0
96,1209542,1209542,4314133,+,18074261,5523675,16623587,2,0
97,1212590,1212590,6643070,+,17207717,5430480,16136489,2,0
98,1213735,1213735,8021153,+,18256313,6807418,17336947,2,0
99,1239589,1239589,5574522,+,18885509,4334933,17760647,2,0
100,1247918,1247918,70141,+,18459247,1318059,16844917,4,0
101,1249807,1249807,11930940,+,18800797,10681133,17996611,2,0
102,1253476,1253476,2935532,-,19169989,1682056,17305051,2,0
103,1258138,1258138,2463081,-,16515559,1204943,15104281,2,0
104,1296742,1296742,1934030,+,15354883,637288,13921571,2,0
105,1306487,1306487,1275511,+,16405139,2581998,14574029,4,0
106,1308836,1308836,4287444,+,17862577,5596280,16842667,2,0
107,1314810,1314810,1827100,-,19755163,512290,18068767,4,0
108,1317660,1317660,1352774,-,16411163,35114,14972261,2,0
109,1322236,1322236,2343126,-,18809789,1020890,16352213,2,0
110,1327312,1327312,1836446,+,15021781,509134,13707203,2,0
111,1331703,1331703,3855915,+,15427541,5187618,14461061,2,0
112,1359317,1359317,2382120,+,19743043,1022803,17666741,2,0
113,1361183,1361183,7628210,+,16160581,6267027,15119597,4,0
114,1371754,1371754,11572688,+,19839341,12944442,18860921,2,0
115,1393923,1393923,74583,+,16835719,1468506,14856761,2,0
116,1397625,1397625,1554879,-,15847283,157254,14304271,2,0
117,1406421,1406421,1836446,+,15021781,3242867,13707203,2,0
118,1407118,1407118,12108752,+,18681961,10701634,17701183,2,0
119,1415411,1415411,51744,-,16890917,1467155,15258053,8,0
120,1447624,1447624,11947132,+,15664289,13394756,15395299,2,0
121,1453827,1453827,7344470,+,15965861,5890643,14646119,2,0
122,1489432,1489432,1489461,-,19356301,29,16701127,4,0
123,1491232,1491232,2532427,+,18735397,4023659,17435461,2,0
124,1493790,1493790,1241562,+,15951557,2735352,14158471,2,0
125,1536869,1536869,1004249,+,15421409,2541118,14240581,2,0
126,1539805,1539805,1858849,+,19493959,3398654,17571703,2,0
127,1554549,1554549,2124635,-,18180731,570086,16081237,2,0
128,1560726,1560726,621580,+,17567867,2182306,15386069,2,0
129,1582400,1582400,2892622,-,17602033,1310222,15796709,2,0
130,1584135,1584135,2866200,-,19038631,1282065,16608083,4,0
131,1588602,1588602,1999036,-,16296277,410434,15773843,2,0
132,1593483,1593483,10276436,+,16678307,11869919,16266659,2,0
133,1609132,1609132,7195292,+,19910057,8804424,18362369,4,0
134,1612981,1612981,16232669,+,17031041,14619688,16747603,2,0
135,1628327,1628327,3281702,+,15571141,1653375,13683443,2,0
136,1640483,1640483,5018089,+,19573843,6658572,18503789,4,0
137,1640693,1640693,1661735,-,18289199,21042,18177077,2,0
138,1645388,1645388,4160904,+,17700707,2515516,16362187,2,0
139,1658976,1658976,1913044,-,19572769,254068,17736233,2,0
140,1659218,1659218,2001718,+,16452497,342500,14869163,2,0
141,1695451,1695451,12970049,+,17791327,11274598,16909447,2,0
142,1712516,1712516,2370563,-,17610539,658047,15249307,2,0
143,1716483,1716483,16495179,+,18224719,14778696,17849327,2,0
144,1718130,1718130,807906,+,17495897,2526036,16159579,2,0
145,1731933,1731933,1955505,+,16876003,3687438,15705491,2,0
146,1746429,1746429,1862718,-,15023867,116289,13633943,8,0
147,1748217,1748217,4729438,+,18784309,6477655,17102819,2,0
148,1789217,1789217,1829453,-,17501749,40236,16278347,2,0
149,1793238,1793238,2030081,+,16988921,3823319,15799297,2,0
150,1799985,1799985,2444331,-,15715571,644346,13720501,6,0
151,1801412,1801412,2831424,+,15710911,4632836,14808347,2,0
152,1805139,1805139,6681512,+,15694747,4876373,14300129,4,0
153,1805595,1805595,2321838,+,16823383,4127433,15477907,2,0
154,1835847,1835847,2529482,+,17982761,4365329,16920859,2,0
155,1849178,1849178,4821277,+,17791327,6670455,16909447,2,0
156,1872416,1872416,2186505,-,18230959,314089,16874729,6,0
157,1875079,1875079,4810143,+,16890011,6685222,15576367,2,0
158,1881130,1881130,5611883,+,15010921,7493013,14323433,2,0
159,1912404,1912404,2945590,-,16814657,1033186,14997391,4,0
160,1936550,1936550,6657103,+,15142433,4720553,13916467,2,0
161,1949144,1949144,4556250,+,15685147,6505394,14373929,2,0
162,1954593,1954593,4160904,+,17700707,6115497,16362187,2,0
163,1961949,1961949,2951269,+,15192293,4913218,13924787,2,0
164,1977278,1977278,2451670,+,19569709,474392,18036323,2,0
165,1979853,1979853,3588615,-,17925437,1608762,15863117,2,0
166,1991236,1991236,11356929,+,15451217,13348165,15174209,2,0
167,2046738,2046738,1720633,+,18165467,3767371,16862033,2,0
168,2049303,2049303,2701649,+,16800271,652346,14525299,2,0
169,2077897,2077897,13036368,+,16944071,10958471,16258603,2,0
170,2091659,2091659,5405493,+,18459247,3313834,16844917,4,0
171,2120922,2120922,7566845,+,19251251,5445923,17351011,2,0
172,2132044,2132044,5529124,+,19179887,7661168,17915981,4,0
173,2139141,2139141,4908852,+,15606211,7047993,14414891,6,0
174,2201786,2201786,6859541,+,15872533,4657755,14275033,4,0
175,2214821,2214821,3142037,+,19690823,5356858,17677489,4,0
176,2262260,2262260,14512350,+,18293467,12250090,17785181,2,0
177,2276499,2276499,4329909,+,15528691,2053410,13963871,2,0
178,2332278,2332278,16495179,+,18224719,14162901,17849327,2,0
179,2372142,2372142,13310986,+,18885509,10938844,17760647,2,0
180,2393756,2393756,7628210,+,16160581,5234454,15119597,4,0
181,2430250,2430250,12068749,+,17205059,9638499,16583129,2,0
182,2444235,2444235,9218624,+,18700321,6774389,17212777,2,0
183,2452797,2452797,784282,+,19864457,3237079,18351521,4,0
184,2459036,2459036,16232669,+,17031041,13773633,16747603,2,0
185,2481948,2481948,3855915,+,15427541,6337863,14461061,2,0
186,2491161,2491161,3724636,+,18137417,6215797,16975663,2,0
187,2531891,2531891,967806,+,16113281,3499697,14717537,2,0
188,2577350,2577350,1024962,+,17737309,3602312,16394173,2,0
189,2613290,2613290,2990340,-,17299123,377050,15335543,2,0
190,2631057,2631057,3568441,+,16859867,937384,15458659,4,0
191,2633424,2633424,3186763,-,17369713,553339,15164971,2,0
192,2652920,2652920,531322,+,16110737,3184242,14472251,2,0
193,2656812,2656812,5417168,+,18200471,8073980,16887071,4,0
194,2660932,2660932,2785565,+,18274709,124633,16278989,2,0
195,2681357,2681357,9665318,+,15505031,12346675,15222247,2,0
196,2696231,2696231,9780077,+,17386199,12476308,16736059,2,0
197,2702767,2702767,4314133,+,18074261,1611366,16623587,2,0
198,2713269,2713269,2840614,-,15792523,127345,14193677,4,0
199,2716171,2716171,2971991,-,16986037,255820,15504943,2,0
200,2737964,2737964,3040790,-,18351521,302826,16457263,4,0
