rank,cyclic,linear,nearest_zero,sign,q,t,p,Z,selected
1,5309,5309,2547985,+,17163317,2542676,15177187,2,0
2,20868,20868,597919,-,17010401,618787,15075997,6,0
3,21646,21646,5115800,+,18166979,5094154,16469171,2,0
4,37983,37983,686388,+,15061117,724371,13064827,2,0
5,48201,48201,1117348,+,15124381,1069147,13715257,4,0
6,63766,63766,13521285,+,17868449,13457519,17379799,2,0
7,82531,82531,10757414,+,17057863,10674883,16377017,2,0
8,84878,84878,5118153,+,18525523,5033275,17396719,2,0
9,103132,103132,5489273,+,15177473,5592405,13985969,2,0
10,108639,108639,5529124,+,19179887,5420485,17915981,4,0
11,111952,111952,991238,+,16603061,879286,15264209,2,0
12,115320,115320,301034,+,19591267,416354,17394569,2,0
13,117251,117251,6152680,+,16246921,6035429,15442543,2,0
14,120214,120214,1117348,+,15124381,997134,13715257,4,0
15,129592,129592,475576,-,16534949,605168,15327443,4,0
16,142605,142605,9271408,+,15367369,9414013,14811617,2,0
17,155822,155822,967806,+,16113281,811984,14717537,2,0
18,168752,168752,2648259,+,15555413,2817011,13816357,2,0
19,192092,192092,1818655,+,17196961,2010747,15034363,2,0
20,205542,205542,805543,-,16058461,600001,14698777,4,0
21,206715,206715,512573,-,15714151,719288,13953997,2,0
22,214104,214104,1844857,+,18200471,2058961,16887071,4,0
23,214490,214490,1245856,+,19379551,1460346,16910989,6,0
24,220294,220294,8477893,+,15115913,8698187,14325097,2,0
25,228309,228309,15629020,+,18966601,15400711,18477847,2,0
26,231681,231681,260329,+,18287837,492010,16335919,2,0
27,251288,251288,6994420,+,17102849,7245708,15954937,2,0
28,251428,251428,2043026,+,18618623,2294454,16448917,2,0
29,255942,255942,1348465,-,19892963,1092523,17581121,6,0
30,264269,264269,12068749,+,17205059,12333018,16583129,2,0
31,276612,276612,10094240,+,16246921,10370852,15442543,2,0
32,279851,279851,562422,+,18641977,282571,16629341,2,0
33,287974,287974,2321838,+,16823383,2609812,15477907,2,0
