lo_exclusive,hi_inclusive,prime_count,q_with_z,q_with_a,q_with_both,total_z,total_a,assigned_occurrences,actual_occurrences,max_z,max_a,mean_z,mean_a,mean_a_times_log_mid,heuristic_sum,heuristic_times_log_mid,heuristic_times_log_mid_squared,norm_gap_q25,norm_gap_median,norm_gap_q75,scaled_gap_median
16000000,16250000,15022,5906,28,13,14976,40,40,0,10,2,0.99693782452403146,0.0026627612834509385,0.044190870511639224,2.8488440923709462e-06,4.7279078742896419e-05,0.00078463798449449908,0.026105528133929044,0.047557085535246311,0.084228593019025744,0.20291670533976977
16250000,16500000,15046,5863,32,8,14988,41,41,0,10,2,0.99614515485843413,0.0027249767380034561,0.045265314363878054,1.5875559490882799e-06,2.6371314699140244e-05,0.00043806093218980987,0.062317854580647307,0.074892051911102972,0.084588480654071707,0.35554596292112506
16500000,16750000,15023,5931,23,7,14982,36,36,0,12,2,0.99727085136124605,0.0023963256340278241,0.039842312001745518,1.3244479846345568e-06,2.2020826003182654e-05,0.00036612746101632982,0.016556399511048384,0.036725082922451462,0.08586060240747162,0.14690033168980585
16750000,17000000,15093,6030,33,17,15296,48,48,0,10,2,1.0134499436825017,0.0031802822500496919,0.05292417028733172,3.7888666422348498e-06,6.3051832385787376e-05,0.0010492672196191291,0.083797167436202552,0.1137343449824757,0.16366641428740583,0.56453493968843294
17000000,17250000,14953,5851,37,14,14814,50,50,0,12,2,0.99070420651374302,0.0033438106065672439,0.055694676459949723,2.8059508231470622e-06,4.6736057045449318e-05,0.00077843810024642564,0.012050774039709201,0.042601684356271513,0.19530933444265772,0.23419584509719554
17250000,17500000,15122,5882,37,14,14998,53,53,0,12,2,0.99180002645152754,0.0035048274037825684,0.058427375765044434,2.645671228325213e-06,4.410477584182735e-05,0.00073525055994550967,0.056491123207930469,0.18269926075760096,0.29451661789829431,0.73079704303040383
17500000,17750000,14931,5882,38,18,15038,48,48,0,10,2,1.0071662983055387,0.0032147880249146074,0.053638188166888028,2.9448214215903153e-06,4.9133841579909363e-05,0.00081978974028785285,0.094027999564205281,0.18130222422695794,0.31171064030767182,0.86457936961167448
17750000,18000000,15047,5945,35,11,15094,50,50,0,10,2,1.0031235462218382,0.0033229215125938727,0.055489179393049599,2.0151013458285601e-06,3.3650003363026422e-05,0.00056191850036510504,0.063427263524374305,0.10208927316556117,0.19858076115308726,0.42865607004268425
