X,active_triples,primitive_signed_total_exact,primitive_signed_total_decimal,primitive_abs_mass_exact,primitive_abs_mass_decimal,top1_abs_share,top5_abs_share,top10_abs_share,participation_ratio
32,4,-10444104/5459683,-1.9129506236900566,1740684/5459683,0.31882510394834279,0.29664660558722894,1,1,3.9069785137262198
64,0,0,0,0,0,0,0,0,0
128,286,6146674110274189047960285848844/543404033598502288453922853793,11.31142525676521,67774385485375318730901040982/3909381536679872578805200387,17.336344598111083,0.057148131957953908,0.2802028320696025,0.55153620424657113,31.752953287151012
256,680,-3983276385463737532707707048401450690486200/119464954774992001588137260461212861991231,-33.342635026029996,1260426250408431592519815205886445087012954884/50055816050721648665429512133248189174325789,25.18041558110329,0.039219175142939294,0.19421452223027463,0.38417885054262674,62.786882974368659
