X,set_label,p,q,r,C_exact,C_decimal,scanned_through_k,M_half,unseen_single_mode_bound,ranking_certified_tolerance,top1_abs_over_abs_C,top5_abs_over_abs_C,top10_abs_over_abs_C,top5_signed_over_C,top10_signed_over_C,residual_after_top10_over_C,max_hp_80_140_delta
32,actual,37,41,61,-8752/92537,-0.094578384862271311,128,46268,0.039480422166330721,1,1.371380722320869161023893,4.416285124282171459242363,7.195515816700281064299816,1.214638754873806458789431,1.816075471108314021151386,-0.8160754711083141321736889,3.8879425e-80
32,actual,37,41,59,-7920/89503,-0.088488654011597376,192,44751,0.026388586184898633,1,1.198073254166677870102831,5.116976941232973530304662,8.299093578605788223967465,0.785091727419555907019344,2.35973265924552189076735,-1.359732659245521668722745,2.9822092e-80
32,actual,41,59,61,-10558/147559,-0.071551040600708868,192,73779,0.02638845860520431,1,1.117319081595063323675276,4.392899588586311132587525,7.309667038495724966651323,1.298958335734172742093051,1.670334988193929781630231,-0.670334988193929670607929,1.6333861e-80
32,random_0,37,41,61,82475/92537,0.89126511557539145,192,46268,0.026388573166522915,1,0.1449627432901304524559549,0.5487937459558973607443022,0.7659082951010059980845313,0.436773156054272859716292,0.5572642064155762797739158,0.4427357935844237202260842,2.1940895e-80
32,random_1,37,59,61,-8550/133163,-0.064207024473765237,192,66581,0.026388475528991637,1,1.616423123813928386383054,5.790446639662559569217137,9.616228484232340889548141,-0.1542757335179948674497297,0.5657333258080120552691028,0.434266674191987889219746,2.5099174e-80
32,random_2,41,59,61,-17748/147559,-0.12027731280369208,192,73779,0.02638845860520431,1,0.755212793123446135545862,2.627372582008684176457791,4.351336414947479802606267,0.8217437536266150033270605,0.4194019313184405017835843,0.5805980686815594982164157,2.1355435e-80
32,random_3,37,41,61,-11934/92537,-0.12896463036407058,192,46268,0.026388573166522915,1,1.042907412326086857845553,3.414064584764718635057079,5.39954774601265263811456,0.7783757039289069812326716,1.346606513985641573327712,-0.3466065139856414623054093,4.0907813e-80
128,actual,163,193,241,7511411/7581619,0.9907397087614136,448,3790809,0.022685782665136114,1,0.05481846971703361465211302,0.2312513513097994855005624,0.3881088101958887759401762,0.2312513513097994855005624,0.3881088101958887759401762,0.6118911898041111685486726,5.3066882e-80
128,actual,179,191,251,8424945/8581439,0.9817636645788661,256,4290719,0.019816957923947616,1,0.02791380648190262131480566,0.132464130695087139999444,0.2451724263081425381205491,0.132464130695087139999444,0.2451724263081425381205491,0.754827573691857378612724,1.79393e-80
128,actual,139,191,197,5071511/5230153,0.96966780895319893,192,2615076,0.026388384405950871,1,0.04884783956474311045203862,0.2109628117357540133536276,0.3668659947329196424625763,0.2109628117357540133536276,0.3668659947329196424625763,0.6331340052670803020262724,3.0443228e-80
128,random_0,151,233,251,8760365/8830933,0.99200899836970791,320,4415466,0.01586591336451661,1,0.02892048010008584080221539,0.1211702961006648759934023,0.224204944476175144218999,0.1211702961006648759934023,0.224204944476175144218999,0.7757950555238248835365766,2.9300327e-80
128,random_1,193,233,251,11113273/11287219,0.98458911801037974,512,5643609,0.019855587509730849,1,0.04525402753776951170205933,0.1912376902777407905453799,0.3322162496108400087102552,0.1912376902777407905453799,0.3322162496108400087102552,0.6677837503891599357785935,3.949003e-80
128,random_2,181,191,227,7673835/7847617,0.97785544325111684,384,3923808,0.026456925709631603,1,0.05922595295633261563983396,0.224390767051622141980971,0.3806923567669804886470786,0.224390767051622141980971,0.3231521174832725495917884,0.6768478825167274504082116,3.0062165e-80
128,random_3,179,193,233,7783987/8049451,0.96702085645344016,448,4024725,0.022685782650364868,1,0.05469273318098642061579895,0.2209235401791921071801283,0.3849274232452392641157246,0.2209235401791920794245527,0.3849274232452392641157246,0.6150725767547607913954266,6.4282359e-80
256,actual,307,367,463,51516551/52165747,0.98755512884728747,384,26082873,0.013228462803628493,1,0.01920935377978189723124913,0.08944245613805126837725368,0.1696801260860588134171678,0.08944245613805128225504149,0.1696801260860587856615922,0.8303198739139412420939834,1.1367025e-80
256,actual,283,347,367,35369167/36039767,0.98139277648493117,320,18019883,0.015865913332103607,1,0.02856315096497389488527929,0.1292821040162892287650465,0.2296802764426764120742064,0.1292821040162892287650465,0.2296802764426764120742064,0.7703197235573235879257936,1.7789721e-80
256,actual,271,431,499,56796411/58283699,0.9744819216089905,896,29141849,0.034066609905852571,1,0.06807779954405637767855808,0.2871466849529162868037702,0.4978024674023000528677585,0.2871466849529162868037702,0.4978024674023000528677585,0.5021975325976999471322415,1.397476e-79
256,random_0,271,293,379,51495584/30093737,1.7111727931961391,960,15046868,0.063595731789598806,1,0.11053091925692962171901,0.4419021820565917080259055,0.679770879497773816702022,0.4419021820565917080259055,0.6002235923851442223053709,0.3997764076148557776946291,4.7733898e-79
256,random_1,331,419,433,59246249/60052337,0.986576908738789,448,30026168,0.011342891268171449,1,0.01743811697905834484645382,0.08270060058360451105130551,0.1573595991945643257636789,0.08270060058360451105130551,0.1573595991945643257636789,0.8426404008054356742363211,1.5816608e-80
256,random_2,379,419,463,73217819/73524863,0.9958239432557664,832,36762431,0.01834198624255454,1,0.03258740902945247291944142,0.1453915699073774769889411,0.2523475689154547896286829,0.1453915699073774769889411,0.2523475689154547896286829,0.7476524310845451548601659,4.5298478e-80
256,random_3,283,331,439,40719879/41122447,0.99021050473966199,320,20561223,0.015865913331623432,1,0.02495918766680434858207249,0.1144330317607816643876717,0.2087308035097908687216517,0.1144330317607816643876717,0.2087308035097908687216517,0.7912691964902092145450752,2.9132153e-80
