X,set_label,p,q,r,M,conjugate_pair_count,C_exact,C_decimal,full_fourier_sum_double,absolute_error,asserted_tolerance,within_tolerance,frequency_abs_mass_double
32,actual,37,41,61,92537,43200,-8752/92537,-0.094578384862271311,-0.094578384862270215,1.0963452368173421e-15,2.4059609736867281e-09,1,3.811921947373456
32,actual,37,41,59,89503,41760,-7920/89503,-0.088488654011597376,-0.088488654011600928,3.5527136788005009e-15,2.3936637460374981e-09,1,3.7873274920749962
32,actual,41,59,61,147559,69600,-10558/147559,-0.071551040600708868,-0.0715510406007107,1.8318679906315083e-15,2.4536102081999761e-09,1,3.9072204163999515
