X,rank_abs_C,p,q,r,zp,zq,zr,Hpqr,den,base_num,single_total_num,pair_total_num,primitive_num,lower_exact,C_exact,C_decimal,abs_C_decimal,total_excess_exact,scaled_reconstruction_error
256,33,271,293,347,4,4,2,0,27552841,2097152,-2976,158354,-2252530,2252530/27552841,-2252530/27552841,-0.081753093991287509,0.081753093991287509,-2097152/27552841,0
256,34,257,293,379,2,4,6,0,28539079,3145728,-984,-817968,-2326776,2326776/28539079,-2326776/28539079,-0.08152947052005427,0.08152947052005427,-3145728/28539079,0
256,35,271,283,499,4,2,6,0,38269807,3145728,-2560,-36412,-3106756,3106756/38269807,-3106756/38269807,-0.081180341463441399,0.081180341463441399,-3145728/38269807,0
256,36,271,293,331,4,4,2,0,26282393,2097152,-4416,-55342,-2037394,2037394/26282393,-2037394/26282393,-0.077519349170374244,0.077519349170374244,-2097152/26282393,0
256,37,271,379,503,4,6,2,0,51662627,3145728,2256,782950,-3930934,3930934/51662627,-3930934/51662627,-0.076088542690637861,0.076088542690637861,-3145728/51662627,0
256,38,283,379,499,2,6,6,0,53521243,4718592,4836,-681480,-4041948,4041948/53521243,-4041948/53521243,-0.075520443349942373,0.075520443349942373,-4718592/53521243,0
256,39,379,419,499,6,2,6,0,79241699,4718592,-1104,1120116,-5837604,5837604/79241699,-5837604/79241699,-0.073668334647897946,0.073668334647897946,-4718592/79241699,0
256,40,283,293,499,2,4,6,0,41376581,3145728,-688,-137376,-3007664,3007664/41376581,-3007664/41376581,-0.072690007905679782,0.072690007905679782,-3145728/41376581,0
256,41,271,367,499,4,2,6,0,49629043,3145728,-784,456250,-3601194,3601194/49629043,-3601194/49629043,-0.07256222933817201,0.07256222933817201,-3145728/49629043,0
256,42,271,307,499,4,2,6,0,41515303,3145728,-7912,-230502,-2907314,2907314/41515303,-2907314/41515303,-0.070029935708285695,0.070029935708285695,-3145728/41515303,0
256,43,271,379,439,4,6,2,0,45089251,3145728,-8808,726,-3137646,3137646/45089251,-3137646/45089251,-0.069587450011090221,0.069587450011090221,-3145728/45089251,0
256,44,331,379,499,2,6,6,0,62599051,4718592,-3660,-376638,-4338294,4338294/62599051,-4338294/62599051,-0.069302871700083757,0.069302871700083757,-4718592/62599051,0
256,45,271,293,307,4,4,2,0,24376721,2097152,-4208,-407638,-1685306,1685306/24376721,-1685306/24376721,-0.069135877626855552,0.069135877626855552,-2097152/24376721,0
256,46,367,379,499,2,6,6,0,69407407,4718592,7500,34908,-4761000,4761000/69407407,-4761000/69407407,-0.068594984394100764,0.068594984394100764,-4718592/69407407,0
256,47,293,379,419,4,6,2,0,46528693,3145728,864,-16152,-3130440,3130440/46528693,-3130440/46528693,-0.067279775084161511,0.067279775084161511,-3145728/46528693,0
256,48,257,379,499,2,6,6,0,48604097,4718592,-3876,-1485864,-3228852,3228852/48604097,-3228852/48604097,-0.066431683732340513,0.066431683732340513,-4718592/48604097,0
256,49,293,367,499,4,2,6,0,53657969,3145728,1088,373370,-3520186,3520186/53657969,-3520186/53657969,-0.065604160306552042,0.065604160306552042,-3145728/53657969,0
256,50,257,293,331,2,4,2,0,24924631,1048576,-792,585540,-1633324,1633324/24924631,-1633324/24924631,-0.065530518786817746,0.065530518786817746,-1048576/24924631,0
256,51,271,419,499,4,2,6,0,56660951,3145728,-6520,573118,-3712326,3712326/56660951,-3712326/56660951,-0.065518243772505688,0.065518243772505688,-3145728/56660951,0
256,52,271,331,499,4,2,6,0,44760799,3145728,-8224,-303300,-2834204,2834204/44760799,-2834204/44760799,-0.063318887582860167,0.063318887582860167,-3145728/44760799,0
256,53,257,271,331,2,4,2,0,23053157,1048576,-1416,408940,-1456100,1456100/23053157,-1456100/23053157,-0.063162715631529337,0.063162715631529337,-1048576/23053157,0
256,54,271,283,293,4,2,4,0,22471049,2097152,-640,-712622,-1383890,1383890/22471049,-1383890/22471049,-0.061585464924223163,0.061585464924223163,-2097152/22471049,0
256,55,283,293,379,2,4,6,0,31426301,3145728,4824,-1222452,-1928100,1928100/31426301,-1928100/31426301,-0.061353068565085024,0.061353068565085024,-3145728/31426301,0
256,56,257,283,293,2,2,4,0,21310183,1048576,1096,215620,-1265292,1265292/21310183,-1265292/21310183,-0.059374994574190189,0.059374994574190189,-1048576/21310183,0
256,57,271,463,499,4,2,6,0,62611027,3145728,-9352,534960,-3671336,3671336/62611027,-3671336/62611027,-0.058637210982020786,0.058637210982020786,-3145728/62611027,0
256,58,271,283,307,4,2,2,0,23544751,1048576,624,328194,-1377394,1377394/23544751,-1377394/23544751,-0.058501107104509197,0.058501107104509197,-1048576/23544751,0
256,59,293,367,379,4,2,6,0,40754249,3145728,6600,-777466,-2374862,2374862/40754249,-2374862/40754249,-0.058272745990240182,0.058272745990240182,-3145728/40754249,0
256,60,271,293,367,4,4,2,0,29140901,2097152,544,-405918,-1691778,1691778/29140901,-1691778/29140901,-0.058055102688829012,0.058055102688829012,-2097152/29140901,0
256,61,293,379,443,4,6,2,0,49193821,3145728,408,-299756,-2846380,2846380/49193821,-2846380/49193821,-0.057860518702135377,0.057860518702135377,-3145728/49193821,0
256,62,271,379,463,4,6,2,0,47554267,3145728,-3840,-409486,-2732402,2732402/47554267,-2732402/47554267,-0.057458608288505422,0.057458608288505422,-3145728/47554267,0
256,63,257,331,379,2,2,6,0,32240393,1572864,768,246602,-1820234,1820234/32240393,-1820234/32240393,-0.056458182752300815,0.056458182752300815,-1572864/32240393,0
256,64,271,293,433,4,4,2,0,34381499,2097152,-9376,-149074,-1938702,1938702/34381499,-1938702/34381499,-0.056387942829368785,0.056387942829368785,-2097152/34381499,0
256,65,271,439,499,4,2,6,0,59365531,3145728,-14320,197184,-3328592,3328592/59365531,-3328592/59365531,-0.056069438678144727,0.056069438678144727,-3145728/59365531,0
256,66,293,379,431,4,6,2,0,47861257,3145728,-2088,-470108,-2673532,2673532/47861257,-2673532/47861257,-0.055860045631480178,0.055860045631480178,-3145728/47861257,0
256,67,257,271,283,2,4,2,0,19710101,1048576,472,51692,-1100740,1100740/19710101,-1100740/19710101,-0.055846492110821759,0.055846492110821759,-1048576/19710101,0
256,68,293,307,379,4,2,6,0,34091429,3145728,-528,-1279998,-1865202,1865202/34091429,-1865202/34091429,-0.054711757609221957,0.054711757609221957,-3145728/34091429,0
256,69,271,293,419,4,4,2,0,33269857,2097152,-3280,-302778,-1791094,1791094/33269857,-1791094/33269857,-0.053835338095982802,0.053835338095982802,-2097152/33269857,0
256,70,257,293,347,2,4,2,0,26129447,1048576,-72,349432,-1397936,1397936/26129447,-1397936/26129447,-0.053500405117643708,0.053500405117643708,-1048576/26129447,0
256,71,293,463,499,4,2,6,0,67693841,3145728,-7480,454324,-3592572,3592572/67693841,-3592572/67693841,-0.053070884247800328,0.053070884247800328,-3145728/67693841,0
256,72,257,271,307,2,4,2,0,21381629,1048576,-1312,82794,-1130058,1130058/21381629,-1130058/21381629,-0.052851819662571076,0.052851819662571076,-1048576/21381629,0
256,73,307,379,499,2,6,6,0,58060147,4718592,-3192,-1745148,-2970252,2970252/58060147,-2970252/58060147,-0.051158189454807962,0.051158189454807962,-4718592/58060147,0
256,74,271,307,347,4,2,2,0,28869359,1048576,-544,426910,-1474942,1474942/28869359,-1474942/28869359,-0.051090223374893773,0.051090223374893773,-1048576/28869359,0
256,75,257,283,499,2,2,6,0,36292769,1572864,844,258784,-1832492,1832492/36292769,-1832492/36292769,-0.050491931326595664,0.050491931326595664,-1572864/36292769,0
256,76,293,439,499,4,2,6,0,64184873,3145728,-12448,103876,-3237156,3237156/64184873,-3237156/64184873,-0.050434874273257504,0.050434874273257504,-3145728/64184873,0
256,77,257,271,347,2,4,2,0,24167509,1048576,-696,168608,-1216488,1216488/24167509,-1216488/24167509,-0.05033568002395282,0.05033568002395282,-1048576/24167509,0
256,78,283,307,379,2,2,6,0,32927899,1572864,3828,42216,-1618908,1618908/32927899,-1618908/32927899,-0.049165238268010968,0.049165238268010968,-1572864/32927899,0
256,79,283,347,499,2,2,6,0,49002299,1572864,1996,817474,-2392334,2392334/49002299,-2392334/49002299,-0.048820852262462217,0.048820852262462217,-1572864/49002299,0
256,80,293,419,499,4,2,6,0,61260733,3145728,-4648,-212044,-2929036,2929036/61260733,-2929036/61260733,-0.047812617586537855,0.047812617586537855,-3145728/61260733,0
256,81,257,271,503,2,4,2,0,35032441,1048576,240,609900,-1658716,1658716/35032441,-1658716/35032441,-0.047347999529921421,0.047347999529921421,-1048576/35032441,0
256,82,271,293,463,4,4,2,0,36763589,2097152,-5168,-356142,-1735842,1735842/36763589,-1735842/36763589,-0.047216336794538752,0.047216336794538752,-2097152/36763589,0
256,83,257,347,499,2,2,6,0,44500321,1572864,-908,505198,-2077154,2077154/44500321,-2077154/44500321,-0.046677281271746335,0.046677281271746335,-1572864/44500321,0
