X,rank_abs_C,p,q,r,zp,zq,zr,Hpqr,den,base_num,single_total_num,pair_total_num,primitive_num,lower_exact,C_exact,C_decimal,abs_C_decimal,total_excess_exact,scaled_reconstruction_error
256,6,271,443,503,4,2,2,1,60386659,1048576,704,686424,58650955,1735704/60386659,58650955/60386659,0.97125683008891084,0.97125683008891084,59338083/60386659,0
256,7,257,271,443,2,4,2,1,30853621,1048576,-1000,-158144,29964189,889432/30853621,29964189/30853621,0.97117252461226511,0.97117252461226511,29805045/30853621,0
256,8,379,443,499,6,2,6,1,83780603,4718592,-1788,-597360,79661159,4119444/83780603,79661159/83780603,0.95083057590311204,0.95083057590311204,79062011/83780603,0
256,9,379,439,499,6,2,6,1,83024119,4718592,-12804,-340656,78658987,4365132/83024119,78658987/83024119,0.94742332646733651,0.94742332646733651,78305527/83024119,0
256,10,293,331,499,4,2,6,1,48394517,3145728,-6352,-366248,45621389,2773128/48394517,45621389/48394517,0.94269747541854798,0.94269747541854798,45248789/48394517,0
256,11,271,379,499,4,6,6,0,51251791,9437184,-20496,2252562,-11669250,11669250/51251791,-11669250/51251791,-0.22768472617864222,0.22768472617864222,-9437184/51251791,0
256,12,271,293,379,4,4,6,0,30093737,6291456,-10464,-476702,-5804290,5804290/30093737,-5804290/30093737,-0.19287368664117721,0.19287368664117721,-6291456/30093737,0
256,13,271,331,379,4,2,6,0,33996679,3145728,-2712,1212990,-4356006,4356006/33996679,-4356006/33996679,-0.12813033884868577,0.12813033884868577,-3145728/33996679,0
256,14,271,293,499,4,4,6,0,39622097,6291456,-21488,-1251522,-5018446,5018446/39622097,-5018446/39622097,-0.12665775867440837,0.12665775867440837,-6291456/39622097,0
256,15,293,379,499,4,6,6,0,55412453,9437184,-14880,-2436180,-6986124,6986124/55412453,-6986124/55412453,-0.12607498173740839,0.12607498173740839,-9437184/55412453,0
256,16,257,271,379,2,4,6,0,26396213,3145728,-2856,152198,-3295070,3295070/26396213,-3295070/26396213,-0.12483116422798983,0.12483116422798983,-3145728/26396213,0
256,17,271,307,379,4,2,6,0,31531663,3145728,-2400,757304,-3900632,3900632/31531663,-3900632/31531663,-0.12370524193411556,0.12370524193411556,-3145728/31531663,0
256,18,271,347,379,4,2,6,0,35640023,3145728,-552,1008506,-4153682,4153682/35640023,-4153682/35640023,-0.11654543545047656,0.11654543545047656,-3145728/35640023,0
256,19,271,379,419,4,6,2,0,43035071,3145728,-1008,1685468,-4830188,4830188/43035071,-4830188/43035071,-0.11223841131806196,0.11223841131806196,-3145728/43035071,0
256,20,257,271,293,2,4,4,0,20406571,2097152,-4512,102770,-2195410,2195410/20406571,-2195410/20406571,-0.1075834837709873,0.1075834837709873,-2097152/20406571,0
256,21,271,283,379,4,2,6,0,29066647,3145728,2952,-205030,-2943650,2943650/29066647,-2943650/29066647,-0.10127243090680532,0.10127243090680532,-3145728/29066647,0
256,22,257,271,499,2,4,6,0,34753853,3145728,-8368,245936,-3383296,3383296/34753853,-3383296/34753853,-0.097350242000505668,0.097350242000505668,-3145728/34753853,0
256,23,271,347,499,4,2,6,0,46924463,3145728,-6064,1361444,-4501108,4501108/46924463,-4501108/46924463,-0.095922418973659856,0.095922418973659856,-3145728/46924463,0
256,24,347,379,499,2,6,6,0,65624987,4718592,-420,1351944,-6070116,6070116/65624987,-6070116/65624987,-0.092497024037505718,0.092497024037505718,-4718592/65624987,0
256,25,293,331,379,4,2,6,0,36756557,3145728,-840,233584,-3378472,3378472/36756557,-3378472/36756557,-0.091914811281154543,0.091914811281154543,-3145728/36756557,0
