lo_exclusive,hi_inclusive,prime_count,q_with_z,q_with_a,q_with_both,total_z,total_a,assigned_occurrences,actual_occurrences,max_z,max_a,mean_z,mean_a,mean_a_times_log_mid,heuristic_sum,heuristic_times_log_mid,heuristic_times_log_mid_squared,norm_gap_q25,norm_gap_median,norm_gap_q75,scaled_gap_median
1000000,1250000,17971,7119,40,20,18034,56,56,0,8,2,1.0035056479884259,0.0031161315452673754,0.04341797569655316,6.6564862047153612e-05,0.00092746776592184826,0.012922680681208552,0.10534915242913667,0.20072433689809005,0.24955114479603183,0.86712234112697684
1250000,1500000,17686,7018,46,24,18046,66,66,0,10,2,1.0203550831165893,0.0037317652380413889,0.052744636609717593,5.6239151602518416e-05,0.00079488216039830955,0.011234836069098701,0.053960694422679478,0.10108575696242235,0.2696480551345582,0.53494631957459382
1500000,1750000,17453,6815,54,21,17256,75,75,0,10,2,0.98871254225634564,0.0042972554861628372,0.061455129664295428,4.070269917302919e-05,0.00058209004873454554,0.0083244804821274269,0.046996583891814624,0.21777130988709509,0.31511854440424991,0.87108523954838035
1750000,2000000,17325,6740,43,17,17314,65,65,0,12,2,0.99936507936507935,0.0037518037518037518,0.054191500671291901,2.8231916107995183e-05,0.00040778516199914091,0.0058900974949969188,0.081196494751913872,0.13566152277481106,0.24715611482201696,0.56168434955325208
2000000,2250000,17148,6824,49,17,17348,70,70,0,10,2,1.0116631677163517,0.0040821087007231168,0.059473394286438407,3.1224202300912118e-05,0.00045491421979838696,0.0066277737179767709,0.036936273327328406,0.067283920112729198,0.14084096266330126,0.40553357923016881
2250000,2500000,16991,6713,32,10,17094,43,43,0,8,2,1.0060620328409158,0.0025307515743628979,0.037152718721934423,1.7615941001866441e-05,0.00025861096272529124,0.0037965403059998875,0.053651291018431475,0.12239990558106315,0.17570902082152495,0.51025800804403476
2500000,2750000,16921,6600,41,21,16670,56,56,0,10,2,0.98516636132616275,0.0033094970746409785,0.048916324178502467,2.6897278428438739e-05,0.00039755768367545163,0.005876137701808541,0.10133955533474294,0.1694230268159046,0.23540293266645818,0.80276997910498893
2750000,3000000,16823,6567,47,20,16788,61,61,0,10,2,0.99791951494977116,0.0036259882303988585,0.053924113247638877,2.2482217854893189e-05,0.00033434572442944536,0.0049722435822727564,0.030486762821328773,0.068748550998061306,0.19910561464076815,0.39609115432146136
3000000,3250000,16761,6662,41,18,16934,55,55,0,10,2,1.0103215798580036,0.0032814271224867251,0.049073561617051197,1.770232171392553e-05,0.00026473724479209493,0.003959130893264504,0.045652849317702811,0.10933726113202899,0.15381560641500314,0.53500332830897923
3250000,3500000,16573,6567,46,21,16816,59,59,0,10,2,1.0146624027031919,0.0035600072406926928,0.053513693782359095,1.9640267394515558e-05,0.00029523065097734267,0.0044378793590582593,0.038818344182343943,0.098939101045507002,0.24895597060813532,0.50375920189205903
3500000,3750000,16567,6589,32,12,16666,43,43,0,10,2,1.0059757348946701,0.0025955212168769239,0.039201103904729237,9.8061538260809817e-06,0.00014810591897395652,0.002236897730155903,0.067965279384208765,0.12140295098249979,0.20436490558012288,0.48561180392999914
3750000,4000000,16429,6555,42,14,16764,58,58,0,10,2,1.0203907724146326,0.0035303426867125207,0.05355549703601168,1.5066727207073565e-05,0.00022856309879430467,0.0034673150587029148,0.044224040417157044,0.16257820992619509,0.26036229188409421,0.67304821866504239
4000000,4250000,16437,6526,42,18,16676,57,57,0,10,2,1.0145403662468819,0.0034677860923526191,0.052823317207020888,1.6975837688466037e-05,0.00025858574756102906,0.0039389272016383432,0.021133602853301743,0.045748865313725434,0.19849856629290152,0.25970262927195714
4250000,4500000,16365,6531,54,23,16566,74,74,0,10,2,1.012282309807516,0.0045218454017720748,0.069145423999710659,2.0114561765971053e-05,0.00030758015330010672,0.0047033364089575517,0.08607395396284806,0.13593943070354114,0.22127269978220671,0.75438424280327354
4500000,4750000,16271,6433,48,18,16398,66,66,0,10,2,1.007805297769037,0.0040562964783971483,0.062251929033820402,1.2490743693115048e-05,0.00019169528019083475,0.0029419449594260587,0.065681691370079107,0.14226590003181488,0.25297159224914195,0.81103539134121194
4750000,5000000,16294,6428,44,14,16272,65,65,0,10,4,0.99864980974591877,0.0039891984779673499,0.061432183199761597,1.3109472621344588e-05,0.00020188103654773608,0.0031088934005804548,0.021425696748030621,0.070873718630015167,0.10301963986134233,0.35571222267483626
